Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ARG,202001,1 – 5,0,0,0,0,0,1,1
ARG,202002,60 – 70,0,0,0,0,0,1,1
ARG,202010,40 – 50,0,0,0,0,0,1,1
ARG,202010,50 – 60,0,0,0,0,0,1,1
ARG,202011,40 – 50,0,0,0,0,0,1,1
ARG,202011,50 – 60,0,0,0,0,0,2,2
ARG,202012,30 – 40,0,0,0,0,0,1,1
ARG,202012,40 – 50,0,0,0,0,0,2,2
ARG,202012,50 – 60,0,0,0,0,0,3,3
ARG,202013,10 – 20,0,0,0,0,0,1,1
ARG,202013,20 – 30,0,0,0,0,0,4,4
ARG,202013,30 – 40,0,0,0,0,0,7,7
ARG,202013,40 – 50,0,0,0,0,0,2,2
ARG,202013,50 – 60,0,0,0,0,0,5,5
ARG,202013,60 – 70,0,0,0,0,0,4,4
ARG,202013,70 – 80,0,0,0,0,0,3,3
ARG,202013,>= 80,0,0,0,0,0,1,1
ARG,202014,10 – 20,0,0,0,0,0,1,1
ARG,202014,20 – 30,0,0,0,0,0,5,5
ARG,202014,30 – 40,0,0,0,0,0,10,10
ARG,202014,40 – 50,0,0,0,0,0,5,5
ARG,202014,5 – 10,0,0,0,0,0,1,1
ARG,202014,50 – 60,0,0,0,0,0,7,7
ARG,202014,60 – 70,0,0,0,0,0,6,6
ARG,202014,70 – 80,0,0,0,0,0,2,2
ARG,202014,>= 80,0,0,0,0,0,1,1
ARG,202015,1 – 5,0,0,0,0,0,1,1
ARG,202015,10 – 20,0,0,0,0,0,2,2
ARG,202015,20 – 30,0,0,0,0,0,9,9
ARG,202015,30 – 40,0,0,0,0,0,2,2
ARG,202015,40 – 50,0,0,0,0,0,5,5
ARG,202015,50 – 60,0,0,0,0,0,7,7
ARG,202015,60 – 70,0,0,0,0,0,3,3
ARG,202015,70 – 80,0,0,0,0,0,1,1
ARG,202015,>= 80,0,0,0,0,0,2,2
ARG,202016,10 – 20,0,0,0,0,0,1,1
ARG,202016,30 – 40,0,0,0,0,0,10,10
ARG,202016,40 – 50,0,0,0,0,0,8,8
ARG,202016,5 – 10,0,0,0,0,0,2,2
ARG,202016,50 – 60,0,0,0,0,0,7,7
ARG,202016,60 – 70,0,0,0,0,0,2,2
ARG,202016,70 – 80,0,0,0,0,0,2,2
ARG,202016,>= 80,0,0,0,0,0,1,1
ARG,202017,1 – 5,0,0,0,0,0,1,1
ARG,202017,10 – 20,0,0,0,0,0,2,2
ARG,202017,20 – 30,0,0,0,0,0,11,11
ARG,202017,30 – 40,0,0,0,0,0,7,7
ARG,202017,40 – 50,0,0,0,0,0,6,6
ARG,202017,50 – 60,0,0,0,0,0,7,7
ARG,202017,60 – 70,0,0,0,0,0,2,2
ARG,202017,>= 80,0,0,0,0,0,1,1
ARG,202018,1 – 5,0,0,0,0,0,3,3
ARG,202018,10 – 20,0,0,0,0,0,8,8
ARG,202018,20 – 30,0,0,0,0,0,6,6
ARG,202018,30 – 40,0,0,0,0,0,22,22
ARG,202018,40 – 50,0,0,0,0,0,16,16
ARG,202018,5 – 10,0,0,0,0,0,1,1
ARG,202018,50 – 60,0,0,0,0,0,4,4
ARG,202018,60 – 70,0,0,0,0,0,3,3
ARG,202018,>= 80,0,0,0,0,0,2,2
ARG,202019,1 – 5,0,0,0,0,0,4,4
ARG,202019,10 – 20,0,0,0,0,0,12,12
ARG,202019,20 – 30,0,0,0,0,0,22,22
ARG,202019,30 – 40,0,0,0,0,0,16,16
ARG,202019,40 – 50,0,0,0,0,0,16,16
ARG,202019,5 – 10,0,0,0,0,0,3,3
ARG,202019,50 – 60,0,0,0,0,0,3,3
ARG,202019,60 – 70,0,0,0,0,0,2,2
ARG,202019,70 – 80,0,0,0,0,0,3,3
ARG,202019,>= 80,0,0,0,0,0,1,1
ARG,202020,1 – 5,0,0,0,0,0,2,2
ARG,202020,10 – 20,0,0,0,0,0,4,4
ARG,202020,20 – 30,0,0,0,0,0,12,12
ARG,202020,30 – 40,0,0,0,0,0,25,25
ARG,202020,40 – 50,0,0,0,0,0,20,20
ARG,202020,5 – 10,0,0,0,0,0,4,4
ARG,202020,50 – 60,0,0,0,0,0,9,9
ARG,202020,60 – 70,0,0,0,0,0,5,5
ARG,202020,70 – 80,0,0,0,0,0,2,2
ARG,202021,1 – 5,0,0,0,0,0,4,4
ARG,202021,10 – 20,0,0,0,0,0,10,10
ARG,202021,20 – 30,0,0,0,0,0,23,23
ARG,202021,30 – 40,0,0,0,0,0,15,15
ARG,202021,40 – 50,0,0,0,0,0,14,14
ARG,202021,5 – 10,0,0,0,0,0,4,4
ARG,202021,50 – 60,0,0,0,0,0,9,9
ARG,202021,60 – 70,0,0,0,0,0,6,6
ARG,202021,70 – 80,0,0,0,0,0,3,3
ARG,202021,>= 80,0,0,0,0,0,2,2
ARG,202022,1 – 5,0,0,0,0,0,1,1
ARG,202022,10 – 20,0,0,0,0,0,1,1
ARG,202022,20 – 30,0,0,0,0,0,5,5
ARG,202022,30 – 40,0,0,0,0,0,13,13
ARG,202022,40 – 50,0,0,0,0,0,5,5
ARG,202022,50 – 60,0,0,0,0,0,4,4
ARG,202022,60 – 70,0,0,0,0,0,1,1
ARG,202022,70 – 80,0,0,0,0,0,3,3
ARG,202023,1 – 5,0,0,0,0,0,1,1
ARG,202023,10 – 20,0,0,0,0,0,1,1
ARG,202023,20 – 30,0,0,0,0,0,2,2
ARG,202023,30 – 40,0,0,0,0,0,4,4
ARG,202023,40 – 50,0,0,0,0,0,7,7
ARG,202023,5 – 10,0,0,0,0,0,1,1
ARG,202023,50 – 60,0,0,0,0,0,4,4
ARG,202023,60 – 70,0,0,0,0,0,2,2
ARG,202023,70 – 80,0,0,0,0,0,1,1
ARG,202024,10 – 20,0,0,0,0,0,3,3
ARG,202024,20 – 30,0,0,0,0,0,5,5
ARG,202024,30 – 40,0,0,0,0,0,11,11
ARG,202024,40 – 50,0,0,0,0,0,3,3
ARG,202024,50 – 60,0,0,0,0,0,4,4
ARG,202024,60 – 70,0,0,0,0,0,3,3
ARG,202024,>= 80,0,0,0,0,0,2,2
ARG,202025,1 – 5,0,0,0,0,0,2,2
ARG,202025,10 – 20,0,0,0,0,0,3,3
ARG,202025,20 – 30,0,0,0,0,0,9,9
ARG,202025,30 – 40,0,0,0,0,0,4,4
ARG,202025,40 – 50,0,0,0,0,0,10,10
ARG,202025,50 – 60,0,0,0,0,0,5,5
ARG,202025,60 – 70,0,0,0,0,0,6,6
ARG,202025,70 – 80,0,0,0,0,0,2,2
ARG,202025,< 1,0,0,0,0,0,1,1
ARG,202025,>= 80,0,0,0,0,0,3,3
ARG,202026,1 – 5,0,0,0,0,0,1,1
ARG,202026,10 – 20,0,0,0,0,0,1,1
ARG,202026,20 – 30,0,0,0,0,0,2,2
ARG,202026,30 – 40,0,0,0,0,0,8,8
ARG,202026,40 – 50,0,0,0,0,0,3,3
ARG,202026,5 – 10,0,0,0,0,0,2,2
ARG,202026,50 – 60,0,0,0,0,0,3,3
ARG,202026,60 – 70,0,0,0,0,0,1,1
ARG,202027,1 – 5,0,0,0,0,0,2,2
ARG,202027,10 – 20,0,0,0,0,0,1,1
ARG,202027,20 – 30,0,0,0,0,0,2,2
ARG,202027,30 – 40,0,0,0,0,0,7,7
ARG,202027,40 – 50,0,0,0,0,0,3,3
ARG,202027,5 – 10,0,0,0,0,0,1,1
ARG,202027,50 – 60,0,0,0,0,0,5,5
ARG,202027,60 – 70,0,0,0,0,0,1,1
ARG,202027,70 – 80,0,0,0,0,0,2,2
ARG,202027,>= 80,0,0,0,0,0,2,2
ARG,202028,1 – 5,0,0,0,0,0,1,1
ARG,202028,10 – 20,0,0,0,0,0,4,4
ARG,202028,20 – 30,0,0,0,0,0,6,6
ARG,202028,30 – 40,0,0,0,0,0,6,6
ARG,202028,40 – 50,0,0,0,0,0,9,9
ARG,202028,5 – 10,0,0,0,0,0,2,2
ARG,202028,50 – 60,0,0,0,0,0,4,4
ARG,202028,60 – 70,0,0,0,0,0,3,3
ARG,202028,70 – 80,0,0,0,0,0,1,1
ARG,202028,>= 80,0,0,0,0,0,5,5
ARG,202029,1 – 5,0,0,0,0,0,1,1
ARG,202029,10 – 20,0,0,0,0,0,1,1
ARG,202029,20 – 30,0,0,0,0,0,9,9
ARG,202029,30 – 40,0,0,0,0,0,6,6
ARG,202029,40 – 50,0,0,0,0,0,5,5
ARG,202029,5 – 10,0,0,0,0,0,6,6
ARG,202029,50 – 60,0,0,0,0,0,5,5
ARG,202029,60 – 70,0,0,0,0,0,1,1
ARG,202029,70 – 80,0,0,0,0,0,4,4
ARG,202029,>= 80,0,0,0,0,0,4,4
ARG,202030,10 – 20,0,0,0,0,0,2,2
ARG,202030,20 – 30,0,0,0,0,0,9,9
ARG,202030,30 – 40,0,0,0,0,0,6,6
ARG,202030,40 – 50,0,0,0,0,0,10,10
ARG,202030,50 – 60,0,0,0,0,0,5,5
ARG,202030,60 – 70,0,0,0,0,0,4,4
ARG,202030,>= 80,0,0,0,0,0,2,2
ARG,202031,1 – 5,0,0,0,0,0,1,1
ARG,202031,10 – 20,0,0,0,0,0,2,2
ARG,202031,20 – 30,0,0,0,0,0,6,6
ARG,202031,30 – 40,0,0,0,0,0,12,12
ARG,202031,40 – 50,0,0,0,0,0,5,5
ARG,202031,50 – 60,0,0,0,0,0,3,3
ARG,202031,60 – 70,0,0,0,0,0,1,1
ARG,202031,< 1,0,0,0,0,0,2,2
ARG,202031,>= 80,0,0,0,0,0,6,6
ARG,202032,10 – 20,0,0,0,0,0,3,3
ARG,202032,20 – 30,0,0,0,0,0,6,6
ARG,202032,30 – 40,0,0,0,0,0,7,7
ARG,202032,40 – 50,0,0,0,0,0,4,4
ARG,202032,5 – 10,0,0,0,0,0,1,1
ARG,202032,50 – 60,0,0,0,0,0,2,2
ARG,202032,60 – 70,0,0,0,0,0,1,1
ARG,202032,70 – 80,0,0,0,0,0,2,2
ARG,202032,>= 80,0,0,0,0,0,5,5
ARG,202033,10 – 20,0,0,0,0,0,2,2
ARG,202033,20 – 30,0,0,0,0,0,6,6
ARG,202033,30 – 40,0,0,0,0,0,12,12
ARG,202033,40 – 50,0,0,0,0,0,6,6
ARG,202033,5 – 10,0,0,0,0,0,1,1
ARG,202033,50 – 60,0,0,0,0,0,5,5
ARG,202033,60 – 70,0,0,0,0,0,4,4
ARG,202033,70 – 80,0,0,0,0,0,3,3
ARG,202033,>= 80,0,0,0,0,0,5,5
ARG,202034,10 – 20,0,0,0,0,0,2,2
ARG,202034,20 – 30,0,0,0,0,0,3,3
ARG,202034,30 – 40,0,0,0,0,0,7,7
ARG,202034,40 – 50,0,0,0,0,0,9,9
ARG,202034,50 – 60,0,0,0,0,0,7,7
ARG,202034,60 – 70,0,0,0,0,0,6,6
ARG,202034,70 – 80,0,0,0,0,0,5,5
ARG,202034,< 1,0,0,0,0,0,1,1
ARG,202034,>= 80,0,0,0,0,0,1,1
ARG,202035,1 – 5,0,0,0,0,0,1,1
ARG,202035,10 – 20,0,0,0,0,0,2,2
ARG,202035,20 – 30,0,0,0,0,0,7,7
ARG,202035,30 – 40,0,0,0,0,0,6,6
ARG,202035,40 – 50,0,0,0,0,0,14,14
ARG,202035,50 – 60,0,0,0,0,0,3,3
ARG,202035,60 – 70,0,0,0,0,0,3,3
ARG,202035,70 – 80,0,0,0,0,0,3,3
ARG,202035,>= 80,0,0,0,0,0,5,5
ARG,202036,20 – 30,0,0,0,0,0,4,4
ARG,202036,30 – 40,0,0,0,0,0,2,2
ARG,202036,40 – 50,0,0,0,0,0,5,5
ARG,202036,5 – 10,0,0,0,0,0,1,1
ARG,202036,50 – 60,0,0,0,0,0,2,2
ARG,202036,60 – 70,0,0,0,0,0,3,3
ARG,202036,70 – 80,0,0,0,0,0,2,2
ARG,202036,>= 80,0,0,0,0,0,1,1
ARG,202037,20 – 30,0,0,0,0,0,1,1
ARG,202037,30 – 40,0,0,0,0,0,1,1
