Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ARG,202002,0,0,0,0,1,1
ARG,202010,0,0,0,0,2,2
ARG,202011,0,0,0,0,3,3
ARG,202012,0,0,0,0,6,6
ARG,202013,0,0,0,0,27,27
ARG,202014,0,0,0,0,38,38
ARG,202015,0,0,0,0,32,32
ARG,202016,0,0,0,0,33,33
ARG,202017,0,0,0,0,37,37
ARG,202018,0,0,0,0,65,65
ARG,202019,0,0,0,0,82,82
ARG,202020,0,0,0,0,83,83
ARG,202021,0,0,0,0,90,90
ARG,202022,0,0,0,0,33,33
ARG,202023,0,0,0,0,19,19
ARG,202024,0,0,0,0,24,24
ARG,202025,0,0,0,0,38,38
ARG,202026,0,0,0,0,19,19
ARG,202027,0,0,0,0,24,24
ARG,202028,0,0,0,0,35,35
ARG,202029,0,0,0,0,35,35
ARG,202030,0,0,0,0,30,30
ARG,202031,0,0,0,0,32,32
ARG,202032,0,0,0,0,27,27
ARG,202033,0,0,0,0,39,39
ARG,202034,0,0,0,0,37,37
ARG,202035,0,0,0,0,43,43
ARG,202036,0,0,0,0,19,19
ARG,202037,0,0,0,0,4,4
ARG,202038,0,0,0,0,21,21
ARG,202039,0,0,0,0,24,24
ARG,202040,0,0,0,0,14,14
ARG,202041,0,0,0,0,13,13
ARG,202042,0,0,0,0,46,46
ARG,202043,0,0,0,0,41,41
ARG,202044,0,0,0,0,20,20
ARG,202045,0,0,0,0,25,25
ARG,202046,0,0,0,0,14,14
ARG,202047,0,0,0,0,28,28
ARG,202048,0,0,0,0,27,27
ARG,202049,0,0,0,0,11,11
ARG,202050,0,0,0,0,13,13
ARG,202051,0,0,0,0,25,25
ARG,202052,1,0,0,0,15,16
ARG,202053,0,0,0,0,14,14
ARG,202101,0,0,0,0,14,14
ARG,202102,0,0,0,0,5,5
ARG,202103,0,0,0,0,16,16
ARG,202104,0,0,0,0,12,12
ARG,202105,2,0,0,0,22,24
ARG,202106,0,0,0,0,13,13
ARG,202107,0,0,0,0,8,8
ARG,202108,0,0,0,0,7,7
ARG,202109,3,0,1,0,17,21
ARG,202110,5,0,0,0,35,40
ARG,202111,14,0,0,0,61,75
ARG,202112,12,0,0,0,56,68
ARG,202113,11,0,0,0,44,55
ARG,202114,7,0,0,0,98,105
ARG,202115,18,0,0,0,108,126
ARG,202116,18,1,1,0,153,173
ARG,202117,14,0,0,0,86,100
ARG,202118,15,0,0,0,135,150
ARG,202119,13,0,0,0,171,184
ARG,202120,11,0,0,0,168,179
ARG,202121,15,0,0,0,148,163
ARG,202122,14,0,1,0,208,223
ARG,202123,14,0,0,0,235,249
ARG,202124,17,0,0,0,200,217
ARG,202125,16,0,2,0,200,218
ARG,202126,8,0,9,0,191,208
ARG,202127,6,0,8,0,241,255
ARG,202128,4,0,24,0,216,244
ARG,202129,10,0,21,0,150,181
ARG,202130,6,0,32,0,197,235
ARG,202131,5,0,42,0,296,343
ARG,202132,3,0,39,0,186,228
ARG,202133,5,0,33,0,187,225
ARG,202134,1,0,38,0,173,212
ARG,202135,1,0,39,0,206,246
ARG,202136,1,0,37,0,137,175
ARG,202137,1,0,59,0,70,130
ARG,202138,1,0,28,0,40,69
ARG,202139,0,0,34,0,42,76
ARG,202140,0,0,35,0,54,89
ARG,202141,0,0,83,0,79,162
ARG,202142,7,0,159,0,80,246
ARG,202143,2,0,240,0,90,332
ARG,202144,3,0,206,0,57,266
ARG,202145,0,0,151,0,40,191
ARG,202146,0,0,208,0,40,248
ARG,202147,0,0,255,0,9,264
ARG,202148,0,0,89,1,10,100
ARG,202149,0,0,28,19,6,53
ARG,202150,0,0,9,91,3,103
ARG,202151,0,0,8,33,0,41
ARG,202152,0,0,1,30,1,32
ARG,202201,0,0,1,5,0,6
