Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
ARG,202002,Male,0,0,0,0,1,1
ARG,202010,Male,0,0,0,0,2,2
ARG,202011,Female,0,0,0,0,3,3
ARG,202012,Female,0,0,0,0,2,2
ARG,202012,Male,0,0,0,0,4,4
ARG,202013,Female,0,0,0,0,10,10
ARG,202013,Male,0,0,0,0,19,19
ARG,202014,Female,0,0,0,0,21,21
ARG,202014,Male,0,0,0,0,17,17
ARG,202015,Female,0,0,0,0,13,13
ARG,202015,Male,0,0,0,0,19,19
ARG,202016,Female,0,0,0,0,18,18
ARG,202016,Male,0,0,0,0,16,16
ARG,202017,Female,0,0,0,0,20,20
ARG,202017,Male,0,0,0,0,18,18
ARG,202018,Female,0,0,0,0,26,26
ARG,202018,Male,0,0,0,0,39,39
ARG,202019,Female,0,0,0,0,40,40
ARG,202019,Male,0,0,0,0,42,42
ARG,202020,Female,0,0,0,0,51,51
ARG,202020,Male,0,0,0,0,34,34
ARG,202021,Female,0,0,0,0,55,55
ARG,202021,Male,0,0,0,0,36,36
ARG,202022,Female,0,0,0,0,16,16
ARG,202022,Male,0,0,0,0,18,18
ARG,202023,Female,0,0,0,0,17,17
ARG,202023,Male,0,0,0,0,4,4
ARG,202024,Female,0,0,0,0,17,17
ARG,202024,Male,0,0,0,0,8,8
ARG,202025,Female,0,0,0,0,24,24
ARG,202025,Male,0,0,0,0,18,18
ARG,202026,Female,0,0,0,0,10,10
ARG,202026,Male,0,0,0,0,13,13
ARG,202027,Female,0,0,0,0,17,17
ARG,202027,Male,0,0,0,0,17,17
ARG,202028,Female,0,0,0,0,20,20
ARG,202028,Male,0,0,0,0,20,20
ARG,202029,Female,0,0,0,0,20,20
ARG,202029,Male,0,0,0,0,26,26
ARG,202030,Female,0,0,0,0,24,24
ARG,202030,Male,0,0,0,0,16,16
ARG,202031,Female,0,0,0,0,20,20
ARG,202031,Male,0,0,0,0,21,21
ARG,202032,Female,0,0,0,0,23,23
ARG,202032,Male,0,0,0,0,22,22
ARG,202033,Female,0,0,0,0,34,34
ARG,202033,Male,0,0,0,0,18,18
ARG,202034,Female,0,0,0,0,22,22
ARG,202034,Male,0,0,0,0,35,35
ARG,202035,Female,0,0,0,0,37,37
ARG,202035,Male,0,0,0,0,25,25
ARG,202036,Female,0,0,0,0,21,21
ARG,202036,Male,0,0,0,0,22,22
ARG,202037,Female,0,0,0,0,2,2
ARG,202037,Male,0,0,0,0,4,4
ARG,202038,Female,0,0,0,0,10,10
ARG,202038,Male,0,0,0,0,13,13
ARG,202039,Female,0,0,0,0,15,15
ARG,202039,Male,0,0,0,0,13,13
ARG,202040,Female,0,0,0,0,8,8
ARG,202040,Male,0,0,0,0,7,7
ARG,202041,Female,0,0,0,0,8,8
ARG,202041,Male,0,0,0,0,8,8
ARG,202042,Female,0,0,0,0,22,22
ARG,202042,Male,0,0,0,0,25,25
ARG,202043,Female,0,0,0,0,22,22
ARG,202043,Male,0,0,0,0,27,27
ARG,202044,Female,0,0,0,0,10,10
ARG,202044,Male,0,0,0,0,10,10
ARG,202045,Female,0,0,0,0,11,11
ARG,202045,Male,0,0,0,0,17,17
ARG,202046,Female,0,0,0,0,8,8
ARG,202046,Male,0,0,0,0,8,8
ARG,202047,Female,0,0,0,0,14,14
ARG,202047,Male,0,0,0,0,20,20
ARG,202048,Female,0,0,0,0,14,14
ARG,202048,Male,0,0,0,0,15,15
ARG,202049,Female,0,0,0,0,3,3
ARG,202049,Male,0,0,0,0,12,12
ARG,202050,Female,0,0,0,0,10,10
ARG,202050,Male,0,0,0,0,12,12
ARG,202051,Female,0,0,0,0,17,17
ARG,202051,Male,0,0,0,0,21,21
ARG,202052,Female,0,0,0,0,17,17
ARG,202052,Male,1,0,0,0,14,15
ARG,202053,Female,0,0,0,0,4,4
ARG,202053,Male,0,0,0,0,12,12
ARG,202101,Female,0,0,0,0,11,11
ARG,202101,Male,0,0,0,0,13,13
ARG,202102,Female,0,0,0,0,10,10
ARG,202102,Male,0,0,0,0,11,11
ARG,202103,Female,0,0,0,0,9,9
ARG,202103,Male,0,0,0,0,9,9
ARG,202104,Female,0,0,0,0,7,7
ARG,202104,Male,0,0,0,0,7,7
ARG,202105,Female,1,0,0,0,10,11
ARG,202105,Male,1,0,0,0,21,22
ARG,202106,Female,0,0,0,0,7,7
ARG,202106,Male,0,0,0,0,10,10
ARG,202107,Female,0,0,0,0,4,4
ARG,202107,Male,0,0,0,0,7,7
ARG,202108,Female,0,0,0,0,3,3
ARG,202108,Male,0,0,0,0,6,6
ARG,202109,Female,2,0,0,0,5,7
ARG,202109,Male,1,0,1,0,13,15
ARG,202110,Female,3,0,0,0,24,27
ARG,202110,Male,1,0,0,0,15,16
ARG,202111,Female,7,0,0,0,35,42
ARG,202111,Male,7,0,0,0,28,35
ARG,202112,Female,8,0,0,0,44,52
ARG,202112,Male,4,0,0,0,21,25
ARG,202113,Female,6,0,0,0,35,41
ARG,202113,Male,8,0,0,0,15,23
ARG,202114,Female,2,0,0,0,58,60
ARG,202114,Male,6,0,0,0,49,55
ARG,202115,Female,11,0,0,0,39,50
ARG,202115,Male,7,0,0,0,75,82
ARG,202116,Female,12,0,0,0,85,97
ARG,202116,Male,13,1,0,0,76,90
ARG,202117,Female,9,0,0,0,44,53
ARG,202117,Male,5,0,0,0,49,54
ARG,202118,Female,5,0,0,0,77,82
ARG,202118,Male,9,0,0,0,67,76
ARG,202119,Female,6,0,0,0,104,110
ARG,202119,Male,11,0,0,0,77,88
ARG,202120,Female,8,0,0,0,77,85
ARG,202120,Male,3,0,0,0,93,96
ARG,202121,Female,5,0,0,0,88,93
ARG,202121,Male,9,0,0,0,68,77
ARG,202122,Female,11,0,0,0,102,113
ARG,202122,Male,4,0,1,0,107,112
ARG,202123,Female,6,0,0,0,111,117
ARG,202123,Male,7,0,0,0,125,132
ARG,202124,Female,8,0,0,0,108,116
ARG,202124,Male,9,0,0,0,92,101
ARG,202125,Female,12,0,0,0,111,123
ARG,202125,Male,5,0,1,0,94,100
ARG,202126,Female,2,0,5,0,90,97
ARG,202126,Male,6,0,4,0,102,112
ARG,202127,Female,3,0,2,0,126,131
ARG,202127,Male,3,0,6,0,111,120
ARG,202128,Female,1,0,8,0,112,121
ARG,202128,Male,3,0,16,0,92,111
ARG,202129,Female,8,0,10,0,73,91
ARG,202129,Male,2,0,11,0,76,89
ARG,202130,Female,2,0,14,0,105,121
ARG,202130,Male,4,0,18,0,91,113
ARG,202131,Female,3,0,23,0,141,167
ARG,202131,Male,1,0,19,0,142,162
ARG,202132,Female,1,0,16,0,75,92
ARG,202132,Male,1,0,21,0,65,87
ARG,202133,Female,0,0,15,0,61,76
ARG,202133,Male,1,0,17,0,58,76
ARG,202134,Female,0,0,13,0,79,92
ARG,202134,Male,1,0,17,0,63,81
ARG,202135,Female,1,0,13,0,108,122
ARG,202135,Male,0,0,21,0,81,102
ARG,202136,Female,1,0,16,0,76,93
ARG,202136,Male,0,0,19,0,54,73
ARG,202137,Female,1,0,14,0,30,45
ARG,202137,Male,0,0,21,0,25,46
ARG,202138,Female,1,0,7,0,29,37
ARG,202138,Male,0,0,4,0,10,14
ARG,202139,Female,0,0,14,0,26,40
ARG,202139,Male,0,0,13,0,16,29
ARG,202140,Female,0,0,17,0,27,44
ARG,202140,Male,0,0,14,0,27,41
ARG,202141,Female,0,0,51,0,34,85
ARG,202141,Male,0,0,28,0,50,78
ARG,202142,Female,2,0,87,0,47,136
ARG,202142,Male,5,0,66,0,34,105
ARG,202143,Female,1,0,124,0,48,173
ARG,202143,Male,1,0,112,0,57,170
ARG,202144,Female,1,0,100,0,23,124
ARG,202144,Male,2,0,98,0,38,138
ARG,202145,Female,0,0,83,0,21,104
ARG,202145,Male,0,0,74,0,24,98
