Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ARG,202001,0,0,0,0,1,1
ARG,202002,0,0,0,0,1,1
ARG,202010,0,0,0,0,2,2
ARG,202011,0,0,0,0,3,3
ARG,202012,0,0,0,0,6,6
ARG,202013,0,0,0,0,29,29
ARG,202014,0,0,0,0,38,38
ARG,202015,0,0,0,0,32,32
ARG,202016,0,0,0,0,34,34
ARG,202017,0,0,0,0,38,38
ARG,202018,0,0,0,0,65,65
ARG,202019,0,0,0,0,82,82
ARG,202020,0,0,0,0,85,85
ARG,202021,0,0,0,0,91,91
ARG,202022,0,0,0,0,34,34
ARG,202023,0,0,0,0,25,25
ARG,202024,0,0,0,0,29,29
ARG,202025,0,0,0,0,48,48
ARG,202026,0,0,0,0,25,25
ARG,202027,0,0,0,0,36,36
ARG,202028,0,0,0,0,46,46
ARG,202029,0,0,0,0,53,53
ARG,202030,0,0,0,0,46,46
ARG,202031,0,0,0,0,47,47
ARG,202032,0,0,0,0,49,49
ARG,202033,0,0,0,0,57,57
ARG,202034,0,0,0,0,61,61
ARG,202035,0,0,0,0,63,63
ARG,202036,0,0,0,0,44,44
ARG,202037,0,0,0,0,8,8
ARG,202038,0,0,0,0,24,24
ARG,202039,0,0,0,0,30,30
ARG,202040,0,0,0,0,15,15
ARG,202041,0,0,0,0,19,19
ARG,202042,0,0,0,0,48,48
ARG,202043,0,0,0,0,51,51
ARG,202044,0,0,0,0,22,22
ARG,202045,0,0,0,0,30,30
ARG,202046,0,0,0,0,18,18
ARG,202047,0,0,0,0,37,37
ARG,202048,0,0,0,0,29,29
ARG,202049,0,0,0,0,15,15
ARG,202050,0,0,0,0,24,24
ARG,202051,0,0,0,0,42,42
ARG,202052,1,0,0,0,31,32
ARG,202053,0,0,0,0,18,18
ARG,202101,0,0,0,0,30,30
ARG,202102,0,0,0,0,28,28
ARG,202103,0,0,0,0,22,22
ARG,202104,0,0,0,0,15,15
ARG,202105,2,0,0,0,35,37
ARG,202106,0,0,0,0,21,21
ARG,202107,0,0,0,0,15,15
ARG,202108,0,0,0,0,13,13
ARG,202109,3,0,1,0,24,28
ARG,202110,4,0,0,0,39,43
ARG,202111,14,0,0,0,72,86
ARG,202112,13,0,0,0,70,83
ARG,202113,15,0,0,0,55,70
ARG,202114,10,0,0,0,121,131
ARG,202115,19,0,0,0,117,136
ARG,202116,26,1,0,0,172,199
ARG,202117,15,0,0,0,101,116
ARG,202118,15,0,0,0,160,175
ARG,202119,18,0,0,0,183,201
ARG,202120,17,0,0,0,177,194
ARG,202121,15,0,0,0,166,181
ARG,202122,15,0,1,0,215,231
ARG,202123,14,0,0,0,248,262
ARG,202124,17,0,0,0,206,223
ARG,202125,17,0,1,0,214,232
ARG,202126,8,0,9,0,193,210
ARG,202127,6,0,8,0,237,251
ARG,202128,5,0,24,0,204,233
ARG,202129,10,0,21,0,149,180
ARG,202130,6,0,33,0,199,238
ARG,202131,4,0,44,0,283,331
ARG,202132,2,0,37,0,141,180
ARG,202133,1,0,32,0,119,152
ARG,202134,1,0,30,0,143,174
ARG,202135,1,0,34,0,189,224
ARG,202136,1,0,35,0,130,166
ARG,202137,1,0,35,0,55,91
ARG,202138,1,0,11,0,39,51
ARG,202139,0,0,27,0,42,69
ARG,202140,0,0,31,0,59,90
ARG,202141,0,0,79,0,99,178
ARG,202142,7,0,153,0,103,263
ARG,202143,2,0,236,0,121,359
ARG,202144,3,0,198,0,77,278
ARG,202145,0,0,159,0,64,223
ARG,202146,0,0,223,0,56,279
ARG,202147,0,0,373,0,32,405
ARG,202148,0,0,330,2,30,362
ARG,202149,1,0,252,23,25,301
ARG,202150,0,0,250,134,50,434
ARG,202151,0,0,220,248,30,498
ARG,202152,0,0,90,222,21,333
ARG,202201,0,0,19,165,2,186
ARG,202202,0,0,3,93,0,96
ARG,202203,0,0,0,23,0,23
