Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ARG,202001,0,0,0,0,1,1
ARG,202002,0,0,0,0,1,1
ARG,202010,0,0,0,0,2,2
ARG,202011,0,0,0,0,3,3
ARG,202012,0,0,0,0,6,6
ARG,202013,0,0,0,0,29,29
ARG,202014,0,0,0,0,38,38
ARG,202015,0,0,0,0,32,32
ARG,202016,0,0,0,0,34,34
ARG,202017,0,0,0,0,38,38
ARG,202018,0,0,0,0,65,65
ARG,202019,0,0,0,0,82,82
ARG,202020,0,0,0,0,86,86
ARG,202021,0,0,0,0,91,91
ARG,202022,0,0,0,0,34,34
ARG,202023,0,0,0,0,30,30
ARG,202024,0,0,0,0,32,32
ARG,202025,0,0,0,0,50,50
ARG,202026,0,0,0,0,26,26
ARG,202027,0,0,0,0,36,36
ARG,202028,0,0,0,0,52,52
ARG,202029,0,0,0,0,55,55
ARG,202030,0,0,0,0,56,56
ARG,202031,0,0,0,0,49,49
ARG,202032,0,0,0,0,51,51
ARG,202033,0,0,0,0,67,67
ARG,202034,0,0,0,0,70,70
ARG,202035,0,0,0,0,65,65
ARG,202036,0,0,0,0,45,45
ARG,202037,0,0,0,0,9,9
ARG,202038,0,0,0,0,27,27
ARG,202039,0,0,0,0,31,31
ARG,202040,0,0,0,0,17,17
ARG,202041,0,0,0,0,20,20
ARG,202042,0,0,0,0,49,49
ARG,202043,0,0,0,0,51,51
ARG,202044,0,0,0,0,29,29
ARG,202045,0,0,0,0,33,33
ARG,202046,0,0,1,0,24,25
ARG,202047,0,0,0,0,39,39
ARG,202048,0,0,0,0,37,37
ARG,202049,0,0,0,0,32,32
ARG,202050,0,0,0,0,24,24
ARG,202051,0,0,0,0,93,93
ARG,202052,1,0,0,0,103,104
ARG,202053,0,0,0,0,85,85
ARG,202101,0,0,0,0,132,132
ARG,202102,0,0,0,0,89,89
ARG,202103,0,0,0,0,63,63
ARG,202104,0,0,0,0,62,62
ARG,202105,5,0,0,0,66,71
ARG,202106,0,0,0,0,75,75
ARG,202107,0,0,0,0,78,78
ARG,202108,0,0,0,0,87,87
ARG,202109,4,0,1,0,149,154
ARG,202110,6,0,0,0,167,173
ARG,202111,14,0,0,0,189,203
ARG,202112,19,0,0,0,232,251
ARG,202113,15,0,0,0,209,224
ARG,202114,14,0,0,0,297,311
ARG,202115,22,0,0,0,310,332
ARG,202116,29,1,1,0,337,368
ARG,202117,17,0,0,0,198,215
ARG,202118,17,0,0,0,218,235
ARG,202119,20,0,0,0,282,302
ARG,202120,19,0,0,0,313,332
ARG,202121,16,0,0,0,261,277
ARG,202122,18,0,1,0,331,350
ARG,202123,17,0,0,0,356,373
ARG,202124,18,0,0,0,267,285
ARG,202125,17,0,2,0,265,284
ARG,202126,8,0,9,0,262,279
ARG,202127,6,0,8,0,304,318
ARG,202128,5,0,24,0,298,327
ARG,202129,10,0,21,0,202,233
ARG,202130,6,0,34,0,293,333
ARG,202131,7,0,48,0,384,439
ARG,202132,4,0,42,0,289,335
ARG,202133,5,0,41,0,299,345
ARG,202134,2,0,42,0,276,320
ARG,202135,1,0,46,0,298,345
ARG,202136,1,0,55,0,247,303
ARG,202137,3,0,72,0,125,200
ARG,202138,2,0,58,0,119,179
ARG,202139,0,0,62,0,96,158
ARG,202140,0,0,50,0,126,176
ARG,202141,2,0,121,0,217,340
ARG,202142,8,0,198,0,137,343
ARG,202143,2,0,286,0,144,432
ARG,202144,3,0,274,0,93,370
ARG,202145,0,0,310,0,79,389
ARG,202146,0,0,283,0,59,342
ARG,202147,0,0,375,0,32,407
ARG,202148,0,0,336,2,31,369
ARG,202149,1,0,254,23,25,303
ARG,202150,0,0,251,134,50,435
ARG,202151,0,0,221,249,30,500
ARG,202152,0,0,92,224,21,337
ARG,202201,0,0,19,170,2,191
ARG,202202,0,0,3,97,0,100
ARG,202203,0,0,0,79,0,79
ARG,202204,0,0,0,10,0,10
