Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUS,202002,20 – 30,0,0,0,0,1,1
AUS,202004,20 – 30,0,0,0,0,2,2
AUS,202004,30 – 40,0,0,0,0,1,1
AUS,202004,40 – 50,0,0,0,0,1,1
AUS,202004,50 – 60,0,0,0,0,4,4
AUS,202004,60 – 70,0,0,0,0,1,1
AUS,202005,40 – 50,0,0,0,0,3,3
AUS,202006,20 – 30,0,0,0,0,1,1
AUS,202006,30 – 40,0,0,0,0,1,1
AUS,202006,5 – 10,0,0,0,0,1,1
AUS,202006,60 – 70,0,0,0,0,1,1
AUS,202008,70 – 80,0,0,0,0,1,1
AUS,202009,20 – 30,0,0,0,0,2,2
AUS,202009,40 – 50,0,0,0,0,1,1
AUS,202009,50 – 60,0,0,0,0,3,3
AUS,202009,60 – 70,0,0,0,0,3,3
AUS,202009,>= 80,0,0,0,0,1,1
AUS,202010,10 – 20,0,0,0,0,3,3
AUS,202010,20 – 30,0,0,0,0,2,2
AUS,202010,30 – 40,0,0,0,0,6,6
AUS,202010,40 – 50,0,0,0,0,2,2
AUS,202010,50 – 60,0,0,0,0,2,2
AUS,202010,70 – 80,0,0,0,0,2,2
AUS,202010,>= 80,0,0,0,0,6,6
AUS,202011,10 – 20,0,0,0,0,1,1
AUS,202011,20 – 30,0,0,0,0,15,15
AUS,202011,30 – 40,0,0,0,0,41,41
AUS,202011,40 – 50,0,0,0,0,30,30
AUS,202011,50 – 60,0,0,0,0,19,19
AUS,202011,60 – 70,0,0,0,0,23,23
AUS,202011,70 – 80,0,0,0,0,7,7
AUS,202011,>= 80,0,0,0,0,6,6
AUS,202012,10 – 20,0,0,0,0,7,7
AUS,202012,20 – 30,0,0,0,0,94,94
AUS,202012,30 – 40,0,0,0,0,60,60
AUS,202012,40 – 50,0,0,0,0,71,71
AUS,202012,50 – 60,0,0,0,0,89,89
AUS,202012,60 – 70,0,0,0,0,96,96
AUS,202012,70 – 80,0,0,0,0,34,34
AUS,202012,>= 80,0,0,0,0,20,20
AUS,202013,1 – 5,0,0,0,0,2,2
AUS,202013,10 – 20,0,0,0,0,9,9
AUS,202013,20 – 30,0,0,0,0,173,173
