Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUS,202002,0,0,0,0,1,1
AUS,202004,0,0,0,0,10,10
AUS,202005,0,0,0,0,3,3
AUS,202006,0,0,0,0,4,4
AUS,202008,0,0,0,0,1,1
AUS,202009,0,0,0,0,10,10
AUS,202010,0,0,0,0,23,23
AUS,202011,0,0,0,0,143,143
AUS,202012,0,0,0,0,474,474
AUS,202013,0,0,0,0,722,722
AUS,202014,0,0,0,0,355,355
AUS,202015,0,0,0,0,261,261
AUS,202016,0,0,0,0,107,107
AUS,202017,0,0,0,0,31,31
AUS,202018,0,0,0,0,50,50
AUS,202019,0,0,0,0,53,53
AUS,202020,0,0,0,0,54,54
AUS,202021,0,0,0,0,38,38
AUS,202022,0,0,0,0,45,45
AUS,202023,0,0,0,0,27,27
AUS,202024,0,0,0,0,46,46
AUS,202025,0,0,0,0,92,92
AUS,202026,0,0,0,0,205,205
AUS,202027,0,0,0,0,373,373
AUS,202028,0,0,0,0,898,898
AUS,202029,0,0,0,0,1418,1418
AUS,202030,0,0,0,0,1679,1679
AUS,202031,0,0,0,0,1766,1766
AUS,202032,0,0,0,0,1637,1637
AUS,202033,0,0,0,0,1046,1046
AUS,202034,0,0,0,0,1103,1103
AUS,202035,0,0,0,0,702,702
AUS,202036,0,0,0,0,389,389
AUS,202037,0,0,0,0,243,243
AUS,202038,0,0,0,0,180,180
AUS,202039,0,0,0,0,73,73
AUS,202040,0,0,0,0,65,65
AUS,202041,0,0,0,0,58,58
AUS,202042,0,0,0,0,34,34
AUS,202043,0,0,0,0,28,28
AUS,202044,0,0,0,0,13,13
AUS,202045,0,0,0,0,3,3
AUS,202046,0,0,0,0,5,5
AUS,202047,0,0,0,0,11,11
AUS,202048,0,0,0,0,6,6
AUS,202049,1,0,0,0,0,1
AUS,202050,4,0,0,0,14,18
AUS,202051,1,0,0,0,11,12
AUS,202052,2,0,0,0,11,13
AUS,202053,1,0,0,0,58,59
AUS,202101,7,4,0,0,12,23
AUS,202102,7,2,0,0,15,24
AUS,202103,10,0,0,0,9,19
AUS,202104,6,0,0,0,2,8
AUS,202105,7,0,0,0,8,15
AUS,202106,31,0,0,0,2,33
AUS,202107,10,0,0,0,5,15
AUS,202108,4,0,0,0,3,7
AUS,202109,5,1,0,0,1,7
AUS,202110,11,0,0,0,4,15
AUS,202111,8,0,0,0,3,11
AUS,202112,2,1,0,0,2,5
AUS,202113,5,3,1,0,4,13
AUS,202114,7,3,0,0,3,13
AUS,202115,11,4,8,0,0,23
AUS,202116,11,1,8,0,4,24
AUS,202117,11,1,10,0,4,26
AUS,202118,5,0,14,0,5,24
AUS,202119,5,0,1,0,9,15
AUS,202120,2,0,4,0,3,9
AUS,202121,3,1,3,0,54,61
AUS,202122,7,0,13,0,26,46
AUS,202123,0,1,7,0,23,31
AUS,202124,0,1,20,0,9,30
AUS,202125,2,0,29,0,6,37
AUS,202126,2,3,20,0,1,26
AUS,202127,0,0,27,0,4,31
AUS,202128,1,0,72,0,11,84
AUS,202129,1,0,105,0,4,110
AUS,202130,1,0,67,0,4,72
AUS,202131,0,0,82,0,0,82
AUS,202132,0,0,125,0,5,130
AUS,202133,0,0,226,0,9,235
AUS,202134,0,0,335,0,10,345
AUS,202135,0,0,711,0,16,727
AUS,202136,0,0,1207,0,43,1250
AUS,202137,0,0,317,0,31,348
AUS,202138,0,0,129,0,3,132
AUS,202139,0,0,344,0,13,357
AUS,202140,0,0,311,0,10,321
AUS,202141,0,0,348,0,5,353
AUS,202142,0,0,233,0,7,240
AUS,202143,0,0,183,0,6,189
AUS,202144,0,0,165,0,1,166
AUS,202145,0,0,260,0,7,267
AUS,202146,0,0,276,0,10,286
AUS,202147,0,0,270,1,10,281
AUS,202148,0,0,266,3,9,278
AUS,202149,0,0,557,22,18,597
AUS,202150,0,0,609,173,20,802
AUS,202151,0,0,520,549,49,1118
AUS,202152,0,0,183,1228,101,1512
AUS,202201,0,0,64,939,79,1082
AUS,202202,0,0,42,963,81,1086
AUS,202203,0,0,19,572,28,619
AUS,202204,0,0,7,432,21,460
AUS,202205,0,0,2,445,12,459
AUS,202206,0,0,0,672,25,697
AUS,202207,0,0,0,171,10,181
AUS,202208,0,0,0,39,3,42
AUS,202209,0,0,0,12,0,12
