Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUS,202002,Female,0,0,0,0,1,1
AUS,202004,Female,0,0,0,0,2,2
AUS,202004,Male,0,0,0,0,8,8
AUS,202005,Female,0,0,0,0,2,2
AUS,202005,Male,0,0,0,0,1,1
AUS,202006,Female,0,0,0,0,1,1
AUS,202006,Male,0,0,0,0,3,3
AUS,202008,Male,0,0,0,0,1,1
AUS,202009,Female,0,0,0,0,6,6
AUS,202009,Male,0,0,0,0,4,4
AUS,202010,Female,0,0,0,0,11,11
AUS,202010,Male,0,0,0,0,11,11
AUS,202011,Female,0,0,0,0,66,66
AUS,202011,Male,0,0,0,0,76,76
AUS,202012,Female,0,0,0,0,193,193
AUS,202012,Male,0,0,0,0,264,264
AUS,202013,Female,0,0,0,0,355,355
AUS,202013,Male,0,0,0,0,345,345
AUS,202014,Female,0,0,0,0,160,160
AUS,202014,Male,0,0,0,0,169,169
AUS,202015,Female,0,0,0,0,123,123
AUS,202015,Male,0,0,0,0,112,112
AUS,202016,Female,0,0,0,0,52,52
AUS,202016,Male,0,0,0,0,53,53
AUS,202017,Female,0,0,0,0,18,18
AUS,202017,Male,0,0,0,0,12,12
AUS,202018,Female,0,0,0,0,21,21
AUS,202018,Male,0,0,0,0,27,27
AUS,202019,Female,0,0,0,0,22,22
AUS,202019,Male,0,0,0,0,33,33
AUS,202020,Female,0,0,0,0,20,20
AUS,202020,Male,0,0,0,0,38,38
AUS,202021,Female,0,0,0,0,16,16
AUS,202021,Male,0,0,0,0,24,24
AUS,202022,Female,0,0,0,0,16,16
AUS,202022,Male,0,0,0,0,29,29
AUS,202023,Female,0,0,0,0,7,7
AUS,202023,Male,0,0,0,0,13,13
AUS,202024,Female,0,0,0,0,22,22
AUS,202024,Male,0,0,0,0,19,19
AUS,202025,Female,0,0,0,0,33,33
AUS,202025,Male,0,0,0,0,50,50
AUS,202026,Female,0,0,0,0,86,86
AUS,202026,Male,0,0,0,0,99,99
AUS,202027,Female,0,0,0,0,163,163
AUS,202027,Male,0,0,0,0,182,182
AUS,202028,Female,0,0,0,0,385,385
AUS,202028,Male,0,0,0,0,460,460
AUS,202029,Female,0,0,0,0,692,692
AUS,202029,Male,0,0,0,0,628,628
AUS,202030,Female,0,0,0,0,985,985
AUS,202030,Male,0,0,0,0,728,728
AUS,202031,Female,0,0,0,0,938,938
AUS,202031,Male,0,0,0,0,742,742
AUS,202032,Female,0,0,0,0,870,870
AUS,202032,Male,0,0,0,0,703,703
AUS,202033,Female,0,0,0,0,542,542
AUS,202033,Male,0,0,0,0,501,501
AUS,202034,Female,0,0,0,0,581,581
AUS,202034,Male,0,0,0,0,468,468
AUS,202035,Female,0,0,0,0,367,367
AUS,202035,Male,0,0,0,0,314,314
AUS,202036,Female,0,0,0,0,218,218
AUS,202036,Male,0,0,0,0,162,162
AUS,202037,Female,0,0,0,0,136,136
AUS,202037,Male,0,0,0,0,108,108
AUS,202038,Female,0,0,0,0,99,99
AUS,202038,Male,0,0,0,0,83,83
AUS,202039,Female,0,0,0,0,41,41
AUS,202039,Male,0,0,0,0,45,45
AUS,202040,Female,0,0,0,0,36,36
AUS,202040,Male,0,0,0,0,36,36
AUS,202041,Female,0,0,0,0,46,46
AUS,202041,Male,0,0,0,0,26,26
AUS,202042,Female,0,0,0,0,17,17
AUS,202042,Male,0,0,0,0,18,18
AUS,202043,Female,0,0,0,0,12,12
AUS,202043,Male,0,0,0,0,25,25
AUS,202044,Female,0,0,0,0,6,6
AUS,202044,Male,0,0,0,0,9,9
AUS,202045,Female,0,0,0,0,1,1
AUS,202046,Female,0,0,0,0,2,2
AUS,202046,Male,0,0,0,0,3,3
AUS,202047,Male,0,0,0,0,9,9
AUS,202048,Female,0,0,0,0,3,3
AUS,202048,Male,0,0,0,0,2,2
AUS,202049,Male,1,0,0,0,0,1
AUS,202050,Female,1,0,0,0,3,4
AUS,202050,Male,2,0,0,0,10,12
AUS,202051,Female,1,0,0,0,4,5
AUS,202051,Male,0,0,0,0,7,7
AUS,202052,Female,1,0,0,0,4,5
AUS,202052,Male,1,0,0,0,10,11
AUS,202053,Female,1,0,0,0,30,31
AUS,202053,Male,0,1,0,0,28,29
AUS,202101,Female,5,2,0,0,4,11
AUS,202101,Male,5,1,0,0,5,11
AUS,202102,Female,2,0,0,0,4,6
AUS,202102,Male,5,0,0,0,10,15
AUS,202103,Female,6,0,0,0,3,9
AUS,202103,Male,6,0,0,0,9,15
AUS,202104,Female,5,0,0,0,0,5
AUS,202104,Male,2,2,0,0,3,7
AUS,202105,Female,1,0,0,0,2,3
AUS,202105,Male,7,0,0,0,9,16
AUS,202106,Female,21,0,0,0,0,21
AUS,202106,Male,19,0,0,0,4,23
AUS,202107,Female,4,0,0,0,3,7
AUS,202107,Male,11,0,0,0,3,14
AUS,202108,Female,1,0,0,0,1,2
AUS,202108,Male,2,0,0,0,2,4
AUS,202109,Female,2,0,0,0,1,3
AUS,202109,Male,2,1,0,0,1,4
AUS,202110,Female,7,0,0,0,4,11
AUS,202110,Male,6,0,0,0,2,8
AUS,202111,Female,1,0,0,0,2,3
AUS,202111,Male,6,0,0,0,1,7
AUS,202112,Female,4,1,0,0,0,5
AUS,202112,Male,3,1,0,0,2,6
AUS,202113,Female,2,0,0,0,0,2
AUS,202113,Male,0,2,1,0,4,7
AUS,202114,Female,2,0,0,0,0,2
AUS,202114,Male,3,1,0,0,2,6
AUS,202115,Female,11,2,4,0,1,18
AUS,202115,Male,9,3,4,0,0,16
AUS,202116,Female,4,1,0,0,1,6
AUS,202116,Male,10,1,7,0,2,20
AUS,202117,Female,7,1,7,0,1,16
AUS,202117,Male,11,0,5,0,2,18
AUS,202118,Female,4,0,7,0,2,13
AUS,202118,Male,4,0,8,0,5,17
AUS,202119,Female,6,0,1,0,5,12
AUS,202119,Male,5,0,1,0,5,11
AUS,202120,Female,0,0,1,0,1,2
AUS,202120,Male,2,0,3,0,2,7
AUS,202121,Female,0,0,0,0,17,17
AUS,202121,Male,2,1,4,0,32,39
AUS,202122,Female,1,0,8,0,16,25
AUS,202122,Male,2,0,13,0,17,32
AUS,202123,Female,0,0,2,0,10,12
AUS,202123,Male,0,0,7,0,11,18
AUS,202124,Female,0,0,11,0,5,16
AUS,202124,Male,0,2,13,0,8,23
AUS,202125,Female,0,0,14,0,4,18
AUS,202125,Male,0,0,15,0,2,17
AUS,202126,Female,2,0,12,0,0,14
AUS,202126,Male,0,1,18,0,1,20
AUS,202127,Female,1,0,15,0,3,19
AUS,202127,Male,0,0,17,0,1,18
AUS,202128,Female,1,0,34,0,2,37
AUS,202128,Male,0,0,46,0,8,54
AUS,202129,Female,0,0,60,0,4,64
AUS,202129,Male,1,0,75,0,3,79
AUS,202129,Other,0,0,1,0,0,1
AUS,202130,Female,0,0,41,0,3,44
AUS,202130,Male,1,0,36,0,1,38
AUS,202131,Female,0,0,40,0,1,41
AUS,202131,Male,0,0,49,0,0,49
AUS,202132,Female,0,0,75,0,1,76
AUS,202132,Male,0,0,89,0,3,92
AUS,202133,Female,0,0,157,0,8,165
AUS,202133,Male,0,0,159,0,4,163
AUS,202134,Female,0,0,224,0,7,231
AUS,202134,Male,0,0,263,0,9,272
AUS,202134,Other,0,0,1,0,0,1
AUS,202135,Female,0,0,405,0,14,419
AUS,202135,Male,0,0,513,0,19,532
AUS,202135,Other,0,0,2,0,0,2
AUS,202136,Female,0,0,806,0,31,837
AUS,202136,Male,0,0,840,0,30,870
AUS,202137,Female,0,0,208,0,20,228
AUS,202137,Male,0,0,206,0,21,227
AUS,202138,Female,0,0,62,0,1,63
AUS,202138,Male,0,0,87,0,2,89
AUS,202139,Female,0,0,176,0,7,183
AUS,202139,Male,0,0,226,0,8,234
AUS,202140,Female,0,0,151,0,6,157
AUS,202140,Male,0,0,208,0,5,213
AUS,202141,Female,0,0,176,0,4,180
AUS,202141,Male,0,0,231,0,3,234
AUS,202142,Female,0,0,153,0,8,161
AUS,202142,Male,0,0,158,0,3,161
AUS,202143,Female,0,0,112,0,5,117
AUS,202143,Male,0,0,114,0,4,118
AUS,202144,Female,0,0,104,0,3,107
AUS,202144,Male,0,0,106,0,2,108
AUS,202145,Female,0,0,186,0,5,191
AUS,202145,Male,0,0,159,0,4,163
AUS,202146,Female,0,0,199,0,7,206
AUS,202146,Male,0,0,180,0,5,185
AUS,202147,Female,0,0,166,0,8,174
AUS,202147,Male,0,0,179,1,5,185
AUS,202148,Female,0,0,186,3,7,196
AUS,202148,Male,0,0,191,4,7,202
AUS,202149,Female,0,0,386,11,11,408
AUS,202149,Male,0,0,397,17,12,426
AUS,202150,Female,0,0,414,109,15,538
AUS,202150,Male,0,0,424,137,12,573
AUS,202151,Female,0,0,353,309,23,685
AUS,202151,Male,0,0,340,327,32,699
AUS,202152,Female,0,0,118,810,63,991
AUS,202152,Male,0,0,113,711,52,876
AUS,202201,Female,0,0,34,677,53,764
AUS,202201,Male,0,0,38,545,36,619
AUS,202202,Female,0,0,17,619,36,672
AUS,202202,Male,0,0,33,655,56,744
AUS,202203,Female,0,0,8,395,19,422
AUS,202203,Male,0,0,13,388,12,413
AUS,202204,Female,0,0,9,365,9,383
AUS,202204,Male,0,0,2,322,18,342
AUS,202205,Female,0,0,2,385,4,391
AUS,202205,Male,0,0,2,387,11,400
AUS,202206,Female,0,0,0,500,17,517
AUS,202206,Male,0,0,0,486,16,502
AUS,202207,Female,0,0,0,170,8,178
AUS,202207,Male,0,0,0,170,4,174
AUS,202208,Female,0,0,0,64,0,64
AUS,202208,Male,0,0,0,97,1,98
AUS,202209,Female,0,0,0,57,0,57
AUS,202209,Male,0,0,0,85,0,85
AUS,202210,Female,0,0,0,7,0,7
AUS,202210,Male,0,0,0,12,0,12
