Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUS,202002,0,0,0,0,1,1
AUS,202004,0,0,0,0,9,9
AUS,202005,0,0,0,0,3,3
AUS,202006,0,0,0,0,4,4
AUS,202008,0,0,0,0,1,1
AUS,202009,0,0,0,0,10,10
AUS,202010,0,0,0,0,22,22
AUS,202011,0,0,0,0,141,141
AUS,202012,0,0,0,0,454,454
AUS,202013,0,0,0,0,671,671
AUS,202014,0,0,0,0,301,301
AUS,202015,0,0,0,0,204,204
AUS,202016,0,0,0,0,85,85
AUS,202017,0,0,0,0,24,24
AUS,202018,0,0,0,0,43,43
AUS,202019,0,0,0,0,48,48
AUS,202020,0,0,0,0,53,53
AUS,202021,0,0,0,0,34,34
AUS,202022,0,0,0,0,42,42
AUS,202023,0,0,0,0,18,18
AUS,202024,0,0,0,0,38,38
AUS,202025,0,0,0,0,81,81
AUS,202026,0,0,0,0,179,179
AUS,202027,0,0,0,0,332,332
AUS,202028,0,0,0,0,778,778
AUS,202029,0,0,0,0,1252,1252
AUS,202030,0,0,0,0,1595,1595
AUS,202031,0,0,0,0,1562,1562
AUS,202032,0,0,0,0,1572,1572
AUS,202033,0,0,0,0,1043,1043
AUS,202034,0,0,0,0,1049,1049
AUS,202035,0,0,0,0,681,681
AUS,202036,0,0,0,0,380,380
AUS,202037,0,0,0,0,244,244
AUS,202038,0,0,0,0,182,182
AUS,202039,0,0,0,0,86,86
AUS,202040,0,0,0,0,72,72
AUS,202041,0,0,0,0,72,72
AUS,202042,0,0,0,0,35,35
AUS,202043,0,0,0,0,37,37
AUS,202044,0,0,0,0,15,15
AUS,202045,0,0,0,0,1,1
AUS,202046,0,0,0,0,5,5
AUS,202047,0,0,0,0,9,9
AUS,202048,0,0,0,0,5,5
AUS,202049,1,0,0,0,0,1
AUS,202050,3,0,0,0,13,16
AUS,202051,1,0,0,0,11,12
AUS,202052,2,0,0,0,14,16
AUS,202053,1,1,0,0,58,60
AUS,202101,10,3,0,0,9,22
AUS,202102,7,0,0,0,14,21
AUS,202103,12,0,0,0,12,24
AUS,202104,7,2,0,0,3,12
AUS,202105,8,0,0,0,11,19
AUS,202106,40,0,0,0,4,44
AUS,202107,15,0,0,0,6,21
AUS,202108,3,0,0,0,3,6
AUS,202109,4,1,0,0,2,7
AUS,202110,13,0,0,0,6,19
AUS,202111,7,0,0,0,3,10
AUS,202112,7,2,0,0,2,11
AUS,202113,2,2,1,0,4,9
AUS,202114,5,1,0,0,2,8
AUS,202115,20,5,8,0,1,34
AUS,202116,14,2,7,0,3,26
AUS,202117,18,1,12,0,3,34
AUS,202118,8,0,15,0,7,30
AUS,202119,11,0,2,0,10,23
AUS,202120,2,0,4,0,3,9
AUS,202121,2,1,4,0,49,56
AUS,202122,3,0,21,0,33,57
AUS,202123,0,0,9,0,21,30
AUS,202124,0,2,24,0,13,39
AUS,202125,0,0,29,0,6,35
AUS,202126,2,1,30,0,1,34
AUS,202127,1,0,32,0,4,37
AUS,202128,1,0,80,0,10,91
AUS,202129,1,0,136,0,7,144
AUS,202130,1,0,77,0,4,82
AUS,202131,0,0,89,0,1,90
AUS,202132,0,0,164,0,4,168
AUS,202133,0,0,316,0,12,328
AUS,202134,0,0,488,0,16,504
AUS,202135,0,0,920,0,33,953
AUS,202136,0,0,1622,0,59,1681
AUS,202137,0,0,354,0,31,385
AUS,202138,0,0,148,0,3,151
AUS,202139,0,0,401,0,15,416
AUS,202140,0,0,311,0,10,321
AUS,202141,0,0,349,0,5,354
AUS,202142,0,0,283,0,11,294
AUS,202143,0,0,202,0,8,210
AUS,202144,0,0,177,0,5,182
AUS,202145,0,0,319,0,9,328
AUS,202146,0,0,347,0,11,358
AUS,202147,0,0,328,1,12,341
AUS,202148,0,0,359,7,13,379
AUS,202149,0,0,782,28,23,833
AUS,202150,0,0,832,233,27,1092
AUS,202151,0,0,658,591,53,1302
AUS,202152,0,0,178,1165,100,1443
AUS,202201,0,0,51,1055,78,1184
AUS,202202,0,0,17,725,64,806
AUS,202203,0,0,19,581,22,622
AUS,202204,0,0,7,89,3,99
