Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUS,202002,0,0,0,0,1,1
AUS,202004,0,0,0,0,10,10
AUS,202005,0,0,0,0,6,6
AUS,202006,0,0,0,0,5,5
AUS,202008,0,0,0,0,8,8
AUS,202009,0,0,0,0,11,11
AUS,202010,0,0,0,0,46,46
AUS,202011,0,0,0,0,198,198
AUS,202012,0,0,0,0,788,788
AUS,202013,0,0,0,0,1353,1353
AUS,202014,0,0,0,0,681,681
AUS,202015,0,0,0,0,416,416
AUS,202016,0,0,0,0,215,215
AUS,202017,0,0,0,0,69,69
AUS,202018,0,0,0,0,75,75
AUS,202019,0,0,0,0,77,77
AUS,202020,0,0,0,0,72,72
AUS,202021,0,0,0,0,50,50
AUS,202022,0,0,0,0,74,74
AUS,202023,0,0,0,0,31,31
AUS,202024,0,0,0,0,64,64
AUS,202025,0,0,0,0,109,109
AUS,202026,0,0,0,0,246,246
AUS,202027,0,0,0,0,497,497
AUS,202028,0,0,0,0,1052,1052
AUS,202029,0,0,0,0,1719,1719
AUS,202030,0,0,0,0,2184,2184
AUS,202031,0,0,0,0,2157,2157
AUS,202032,0,0,0,0,1909,1909
AUS,202033,0,0,0,0,1270,1270
AUS,202034,0,0,0,0,1260,1260
AUS,202035,0,0,0,0,831,831
AUS,202036,0,0,0,0,474,474
AUS,202037,0,0,0,0,316,316
AUS,202038,0,0,0,0,231,231
AUS,202039,0,0,0,0,114,114
AUS,202040,0,0,0,0,79,79
AUS,202041,0,0,0,0,93,93
AUS,202042,0,0,0,0,68,68
AUS,202043,0,0,0,0,89,89
AUS,202044,0,0,0,0,36,36
AUS,202045,0,0,0,0,20,20
AUS,202046,0,0,0,0,33,33
AUS,202047,0,0,0,0,35,35
AUS,202048,0,0,0,0,23,23
AUS,202049,1,0,0,0,29,30
AUS,202050,5,1,0,0,25,31
AUS,202051,1,0,0,0,99,100
AUS,202052,10,5,0,0,61,76
AUS,202053,8,3,0,0,131,142
AUS,202101,18,4,0,0,46,68
AUS,202102,18,4,0,0,42,64
AUS,202103,21,1,0,0,25,47
AUS,202104,11,4,0,0,10,25
AUS,202105,9,0,0,0,20,29
AUS,202106,42,1,0,0,10,53
AUS,202107,17,1,0,0,11,29
AUS,202108,12,1,0,0,13,26
AUS,202109,16,4,0,0,20,40
AUS,202110,38,3,0,0,26,67
AUS,202111,22,4,1,0,28,55
AUS,202112,31,3,0,0,26,60
AUS,202113,38,5,1,0,20,64
AUS,202114,20,5,2,0,15,42
AUS,202115,52,14,26,0,15,107
AUS,202116,34,8,43,0,30,115
AUS,202117,28,2,47,0,20,97
AUS,202118,25,0,39,0,10,74
AUS,202119,22,2,8,0,15,47
AUS,202120,4,2,6,0,7,19
AUS,202121,6,2,12,0,60,80
AUS,202122,13,1,24,0,36,74
AUS,202123,7,5,29,0,27,68
AUS,202124,8,5,42,0,14,69
AUS,202125,13,0,154,0,7,174
AUS,202126,16,5,250,0,1,272
AUS,202127,10,0,381,0,5,396
AUS,202128,4,0,774,0,11,789
AUS,202129,2,0,890,0,8,900
AUS,202130,2,0,1289,0,6,1297
AUS,202131,1,0,1404,0,1,1406
AUS,202132,2,0,1439,0,5,1446
AUS,202133,1,0,1678,0,12,1691
AUS,202134,1,0,1606,0,17,1624
AUS,202135,0,0,1850,0,33,1883
AUS,202136,0,0,2938,0,62,3000
AUS,202137,0,0,1484,0,41,1525
AUS,202138,0,0,898,0,3,901
AUS,202139,0,0,1302,0,15,1317
AUS,202140,0,0,1259,0,11,1270
AUS,202141,0,0,1385,0,8,1393
AUS,202142,0,0,1116,0,11,1127
AUS,202143,0,0,857,0,9,866
AUS,202144,0,0,921,0,5,926
AUS,202145,0,0,1205,0,9,1214
AUS,202146,0,0,935,0,12,947
AUS,202147,0,0,1150,5,13,1168
AUS,202148,0,0,1375,37,14,1426
AUS,202149,0,0,1742,180,23,1945
AUS,202150,0,0,1271,1158,27,2456
AUS,202151,0,0,1150,2544,57,3751
AUS,202152,0,0,350,3010,117,3477
AUS,202201,0,0,152,3394,90,3636
AUS,202202,0,0,97,2756,92,2945
AUS,202203,0,0,30,2021,33,2084
AUS,202204,0,0,14,1775,27,1816
AUS,202205,0,0,5,1797,16,1818
AUS,202206,0,0,0,2558,36,2594
AUS,202207,0,0,2,1259,12,1273
AUS,202208,0,0,0,872,3,875
AUS,202209,0,0,0,565,0,565
AUS,202210,0,0,1,280,2,283
