Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUT,202009,20 – 30,0,0,0,0,1,1
AUT,202009,30 – 40,0,0,0,0,1,1
AUT,202009,40 – 50,0,0,0,0,3,3
AUT,202009,70 – 80,0,0,0,0,2,2
AUT,202010,10 – 20,0,0,0,0,3,3
AUT,202010,20 – 30,0,0,0,0,5,5
AUT,202010,30 – 40,0,0,0,0,9,9
AUT,202010,40 – 50,0,0,0,0,7,7
AUT,202010,50 – 60,0,0,0,0,5,5
AUT,202010,60 – 70,0,0,0,0,8,8
AUT,202010,70 – 80,0,0,0,0,3,3
AUT,202010,>= 80,0,0,0,0,1,1
AUT,202011,10 – 20,0,0,0,0,4,4
AUT,202011,20 – 30,0,0,0,0,29,29
AUT,202011,30 – 40,0,0,0,0,16,16
AUT,202011,40 – 50,0,0,0,0,18,18
AUT,202011,5 – 10,0,0,0,0,1,1
AUT,202011,50 – 60,0,0,0,0,12,12
AUT,202011,60 – 70,0,0,0,0,12,12
AUT,202011,70 – 80,0,0,0,0,9,9
AUT,202011,>= 80,0,0,0,0,1,1
AUT,202012,10 – 20,0,0,0,0,5,5
AUT,202012,20 – 30,0,0,0,0,15,15
AUT,202012,30 – 40,0,0,0,0,19,19
AUT,202012,40 – 50,0,0,0,0,26,26
AUT,202012,50 – 60,0,0,0,0,26,26
AUT,202012,60 – 70,0,0,0,0,13,13
AUT,202012,70 – 80,0,0,0,0,21,21
AUT,202012,>= 80,0,0,0,0,3,3
AUT,202013,10 – 20,0,0,0,0,4,4
AUT,202013,20 – 30,0,0,0,0,10,10
AUT,202013,30 – 40,0,0,0,0,14,14
AUT,202013,40 – 50,0,0,0,0,16,16
AUT,202013,5 – 10,0,0,0,0,1,1
AUT,202013,50 – 60,0,0,0,0,20,20
AUT,202013,60 – 70,0,0,0,0,17,17
AUT,202013,70 – 80,0,0,0,0,32,32
AUT,202013,>= 80,0,0,0,0,18,18
AUT,202014,10 – 20,0,0,0,0,9,9
AUT,202014,20 – 30,0,0,0,0,14,14
AUT,202014,30 – 40,0,0,0,0,3,3
AUT,202014,40 – 50,0,0,0,0,18,18
AUT,202014,50 – 60,0,0,0,0,20,20
AUT,202014,60 – 70,0,0,0,0,8,8
AUT,202014,70 – 80,0,0,0,0,22,22
AUT,202014,>= 80,0,0,0,0,23,23
AUT,202015,10 – 20,0,0,0,0,4,4
AUT,202015,20 – 30,0,0,0,0,5,5
AUT,202015,30 – 40,0,0,0,0,2,2
AUT,202015,40 – 50,0,0,0,0,5,5
AUT,202015,5 – 10,0,0,0,0,1,1
AUT,202015,50 – 60,0,0,0,0,13,13
AUT,202015,60 – 70,0,0,0,0,2,2
AUT,202015,70 – 80,0,0,0,0,9,9
AUT,202015,>= 80,0,0,0,0,15,15
AUT,202016,1 – 5,0,0,0,0,1,1
AUT,202016,20 – 30,0,0,0,0,4,4
AUT,202016,30 – 40,0,0,0,0,4,4
AUT,202016,40 – 50,0,0,0,0,4,4
AUT,202016,50 – 60,0,0,0,0,3,3
AUT,202016,60 – 70,0,0,0,0,2,2
AUT,202016,70 – 80,0,0,0,0,7,7
AUT,202016,>= 80,0,0,0,0,15,15
AUT,202017,10 – 20,0,0,0,0,1,1
AUT,202017,20 – 30,0,0,0,0,2,2
AUT,202017,30 – 40,0,0,0,0,6,6
AUT,202017,40 – 50,0,0,0,0,3,3
AUT,202017,50 – 60,0,0,0,0,3,3
AUT,202017,60 – 70,0,0,0,0,1,1
AUT,202017,70 – 80,0,0,0,0,4,4
AUT,202018,10 – 20,0,0,0,0,2,2
AUT,202018,30 – 40,0,0,0,0,1,1
AUT,202018,40 – 50,0,0,0,0,1,1
AUT,202018,50 – 60,0,0,0,0,6,6
AUT,202018,60 – 70,0,0,0,0,4,4
AUT,202018,70 – 80,0,0,0,0,4,4
AUT,202018,< 1,0,0,0,0,1,1
AUT,202018,>= 80,0,0,0,0,1,1
AUT,202019,20 – 30,0,0,0,0,1,1
AUT,202019,30 – 40,0,0,0,0,1,1
AUT,202019,40 – 50,0,0,0,0,1,1
AUT,202019,50 – 60,0,0,0,0,2,2
AUT,202019,70 – 80,0,0,0,0,5,5
AUT,202019,< 1,0,0,0,0,1,1
AUT,202019,>= 80,0,0,0,0,4,4
AUT,202020,20 – 30,0,0,0,0,4,4
AUT,202020,30 – 40,0,0,0,0,8,8
AUT,202020,40 – 50,0,0,0,0,5,5
AUT,202020,50 – 60,0,0,0,0,3,3
AUT,202020,60 – 70,0,0,0,0,1,1
AUT,202020,70 – 80,0,0,0,0,3,3
AUT,202021,10 – 20,0,0,0,0,1,1
AUT,202021,20 – 30,0,0,0,0,2,2
AUT,202021,30 – 40,0,0,0,0,3,3
AUT,202021,40 – 50,0,0,0,0,3,3
AUT,202021,5 – 10,0,0,0,0,1,1
AUT,202021,50 – 60,0,0,0,0,1,1
AUT,202021,60 – 70,0,0,0,0,2,2
AUT,202021,>= 80,0,0,0,0,1,1
AUT,202022,5 – 10,0,0,0,0,1,1
AUT,202022,60 – 70,0,0,0,0,2,2
AUT,202023,>= 80,0,0,0,0,1,1
AUT,202025,40 – 50,0,0,0,0,1,1
AUT,202029,1 – 5,0,0,0,0,1,1
AUT,202029,10 – 20,0,0,0,0,1,1
AUT,202029,30 – 40,0,0,0,0,2,2
AUT,202029,40 – 50,0,0,0,0,2,2
AUT,202029,50 – 60,0,0,0,0,1,1
AUT,202029,70 – 80,0,0,0,0,1,1
AUT,202030,20 – 30,0,0,0,0,3,3
AUT,202030,30 – 40,0,0,0,0,1,1
AUT,202030,40 – 50,0,0,0,0,2,2
AUT,202030,< 1,0,0,0,0,1,1
AUT,202031,20 – 30,0,0,0,0,2,2
AUT,202032,10 – 20,0,0,0,0,1,1
AUT,202032,30 – 40,0,0,0,0,2,2
AUT,202032,50 – 60,0,0,0,0,1,1
AUT,202033,20 – 30,0,0,0,0,5,5
AUT,202033,30 – 40,0,0,0,0,2,2
AUT,202033,50 – 60,0,0,0,0,2,2
AUT,202033,60 – 70,0,0,0,0,2,2
AUT,202033,70 – 80,0,0,0,0,1,1
AUT,202034,10 – 20,0,0,0,0,1,1
AUT,202034,20 – 30,0,0,0,0,4,4
AUT,202034,30 – 40,0,0,0,0,1,1
AUT,202034,40 – 50,0,0,0,0,1,1
AUT,202034,5 – 10,0,0,0,0,1,1
AUT,202034,50 – 60,0,0,0,0,3,3
AUT,202034,70 – 80,0,0,0,0,2,2
AUT,202034,< 1,0,0,0,0,1,1
AUT,202035,1 – 5,0,0,0,0,1,1
AUT,202035,10 – 20,0,0,0,0,2,2
AUT,202035,20 – 30,0,0,0,0,7,7
AUT,202035,30 – 40,0,0,0,0,1,1
AUT,202035,40 – 50,0,0,0,0,1,1
AUT,202035,5 – 10,0,0,0,0,3,3
AUT,202035,50 – 60,0,0,0,0,5,5
AUT,202035,60 – 70,0,0,0,0,1,1
AUT,202035,70 – 80,0,0,0,0,3,3
AUT,202036,1 – 5,0,0,0,0,1,1
AUT,202036,10 – 20,0,0,0,0,3,3
AUT,202036,20 – 30,0,0,0,0,3,3
AUT,202036,30 – 40,0,0,0,0,1,1
AUT,202036,40 – 50,0,0,0,0,5,5
AUT,202036,50 – 60,0,0,0,0,4,4
AUT,202036,60 – 70,0,0,0,0,3,3
AUT,202036,70 – 80,0,0,0,0,1,1
AUT,202037,10 – 20,0,0,0,0,2,2
