Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUT,202009,0,0,0,0,7,7
AUT,202010,0,0,0,0,41,41
AUT,202011,0,0,0,0,102,102
AUT,202012,0,0,0,0,128,128
AUT,202013,0,0,0,0,132,132
AUT,202014,0,0,0,0,117,117
AUT,202015,0,0,0,0,56,56
AUT,202016,0,0,0,0,40,40
AUT,202017,0,0,0,0,20,20
AUT,202018,0,0,0,0,20,20
AUT,202019,0,0,0,0,15,15
AUT,202020,0,0,0,0,24,24
AUT,202021,0,0,0,0,14,14
AUT,202022,0,0,0,0,3,3
AUT,202023,0,0,0,0,1,1
AUT,202025,0,0,0,0,1,1
AUT,202029,0,0,0,0,8,8
AUT,202030,0,0,0,0,7,7
AUT,202031,0,0,0,0,2,2
AUT,202032,0,0,0,0,4,4
AUT,202033,0,0,0,0,12,12
AUT,202034,0,0,0,0,14,14
AUT,202035,0,0,0,0,24,24
AUT,202036,0,0,0,0,21,21
AUT,202037,0,0,0,0,7,7
AUT,202038,0,0,0,0,15,15
AUT,202039,0,0,0,0,18,18
AUT,202040,0,0,0,0,2,2
AUT,202041,0,0,0,0,18,18
AUT,202042,0,0,0,0,38,38
AUT,202043,0,0,0,0,33,33
AUT,202044,0,0,0,0,45,45
AUT,202045,0,0,0,0,122,122
AUT,202046,0,0,0,0,132,132
AUT,202047,0,0,0,0,15,15
AUT,202048,2,0,0,0,84,86
AUT,202049,0,0,0,0,38,38
AUT,202050,0,0,0,0,7,7
AUT,202051,0,0,0,0,16,16
AUT,202052,1,1,0,0,39,41
AUT,202053,9,0,0,0,199,208
AUT,202101,8,0,0,0,57,65
AUT,202102,6,22,0,0,27,55
AUT,202103,13,44,0,0,16,73
AUT,202104,43,70,0,0,112,225
AUT,202105,18,3,0,0,50,71
AUT,202106,104,5,0,0,71,180
AUT,202107,79,2,0,0,40,121
AUT,202108,44,4,0,0,26,74
AUT,202109,164,3,0,0,47,214
AUT,202110,211,7,0,0,38,256
AUT,202111,146,0,0,0,15,161
AUT,202112,69,0,0,0,7,76
AUT,202113,57,3,0,0,10,70
AUT,202114,106,6,0,0,11,123
AUT,202115,95,5,2,0,25,127
AUT,202116,91,1,1,0,15,108
AUT,202117,115,0,4,0,20,139
AUT,202118,85,1,2,0,6,94
AUT,202119,311,0,0,0,59,370
AUT,202120,199,2,3,0,45,249
AUT,202121,87,0,3,0,12,102
AUT,202122,54,0,18,0,8,80
AUT,202123,53,1,90,0,5,149
AUT,202124,148,1,202,0,15,366
AUT,202125,38,0,155,0,5,198
AUT,202126,40,0,168,0,6,214
AUT,202127,19,0,219,0,1,239
AUT,202128,3,0,303,0,2,308
AUT,202129,3,0,216,0,0,219
AUT,202130,2,1,214,0,3,220
AUT,202131,1,0,145,0,2,148
AUT,202132,0,0,201,0,4,205
AUT,202133,0,0,178,0,4,182
AUT,202134,0,0,216,0,2,218
AUT,202135,0,1,184,0,0,185
AUT,202136,0,0,174,0,2,176
AUT,202137,0,0,141,0,0,141
AUT,202138,0,0,204,0,6,210
AUT,202139,0,0,121,0,1,122
AUT,202140,0,0,180,0,2,182
AUT,202141,0,0,158,0,2,160
AUT,202142,0,0,263,0,3,266
AUT,202143,0,0,152,0,1,153
AUT,202144,0,0,219,2,3,224
AUT,202145,0,0,212,0,0,212
AUT,202146,0,0,128,0,2,130
AUT,202147,0,0,89,2,0,91
AUT,202148,0,0,73,17,1,91
AUT,202149,0,0,41,28,0,69
AUT,202150,0,0,124,43,1,168
AUT,202151,0,0,44,121,0,165
AUT,202152,0,0,161,404,1,566
AUT,202201,0,0,36,168,1,205
AUT,202202,0,0,50,146,1,197
AUT,202203,0,0,1,229,4,234
AUT,202204,0,0,1,116,0,117
AUT,202205,0,0,2,299,0,301
AUT,202206,0,0,0,219,1,220
AUT,202207,0,0,0,92,0,92
AUT,202208,0,0,0,33,0,33
