Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUT,202009,Female,0,0,0,0,3,3
AUT,202009,Male,0,0,0,0,4,4
AUT,202010,Female,0,0,0,0,23,23
AUT,202010,Male,0,0,0,0,18,18
AUT,202011,Female,0,0,0,0,53,53
AUT,202011,Male,0,0,0,0,49,49
AUT,202012,Female,0,0,0,0,56,56
AUT,202012,Male,0,0,0,0,71,71
AUT,202013,Female,0,0,0,0,66,66
AUT,202013,Male,0,0,0,0,66,66
AUT,202014,Female,0,0,0,0,46,46
AUT,202014,Male,0,0,0,0,70,70
AUT,202015,Female,0,0,0,0,29,29
AUT,202015,Male,0,0,0,0,27,27
AUT,202016,Female,0,0,0,0,19,19
AUT,202016,Male,0,0,0,0,21,21
AUT,202017,Female,0,0,0,0,5,5
AUT,202017,Male,0,0,0,0,15,15
AUT,202018,Female,0,0,0,0,11,11
AUT,202018,Male,0,0,0,0,9,9
AUT,202019,Female,0,0,0,0,7,7
AUT,202019,Male,0,0,0,0,8,8
AUT,202020,Female,0,0,0,0,2,2
AUT,202020,Male,0,0,0,0,22,22
AUT,202021,Female,0,0,0,0,4,4
AUT,202021,Male,0,0,0,0,10,10
AUT,202022,Female,0,0,0,0,1,1
AUT,202022,Male,0,0,0,0,2,2
AUT,202023,Female,0,0,0,0,1,1
AUT,202025,Male,0,0,0,0,1,1
AUT,202029,Female,0,0,0,0,4,4
AUT,202029,Male,0,0,0,0,4,4
AUT,202030,Female,0,0,0,0,3,3
AUT,202030,Male,0,0,0,0,4,4
AUT,202031,Female,0,0,0,0,1,1
AUT,202031,Male,0,0,0,0,1,1
AUT,202032,Female,0,0,0,0,2,2
AUT,202032,Male,0,0,0,0,2,2
AUT,202033,Female,0,0,0,0,3,3
AUT,202033,Male,0,0,0,0,9,9
AUT,202034,Female,0,0,0,0,5,5
AUT,202034,Male,0,0,0,0,9,9
AUT,202035,Female,0,0,0,0,11,11
AUT,202035,Male,0,0,0,0,13,13
AUT,202036,Female,0,0,0,0,10,10
AUT,202036,Male,0,0,0,0,11,11
AUT,202037,Female,0,0,0,0,4,4
AUT,202037,Male,0,0,0,0,3,3
AUT,202038,Female,0,0,0,0,8,8
AUT,202038,Male,0,0,0,0,7,7
AUT,202039,Female,0,0,0,0,10,10
AUT,202039,Male,0,0,0,0,8,8
AUT,202040,Female,0,0,0,0,1,1
AUT,202040,Male,0,0,0,0,1,1
AUT,202041,Female,0,0,0,0,11,11
AUT,202041,Male,0,0,0,0,7,7
AUT,202042,Female,0,0,0,0,25,25
AUT,202042,Male,0,0,0,0,13,13
AUT,202043,Female,0,0,0,0,21,21
AUT,202043,Male,0,0,0,0,10,10
AUT,202044,Female,0,0,0,0,12,12
AUT,202044,Male,0,0,0,0,9,9
AUT,202045,Female,0,0,0,0,29,29
AUT,202045,Male,0,0,0,0,30,30
AUT,202046,Female,0,0,0,0,43,43
AUT,202046,Male,0,0,0,0,57,57
AUT,202047,Female,0,0,0,0,4,4
AUT,202047,Male,0,0,0,0,8,8
