Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUT,202009,0,0,0,0,7,7
AUT,202010,0,0,0,0,41,41
AUT,202011,0,0,0,0,102,102
AUT,202012,0,0,0,0,127,127
AUT,202013,0,0,0,0,132,132
AUT,202014,0,0,0,0,116,116
AUT,202015,0,0,0,0,56,56
AUT,202016,0,0,0,0,40,40
AUT,202017,0,0,0,0,20,20
AUT,202018,0,0,0,0,20,20
AUT,202019,0,0,0,0,15,15
AUT,202020,0,0,0,0,24,24
AUT,202021,0,0,0,0,14,14
AUT,202022,0,0,0,0,3,3
AUT,202023,0,0,0,0,1,1
AUT,202025,0,0,0,0,1,1
AUT,202029,0,0,0,0,8,8
AUT,202030,0,0,0,0,7,7
AUT,202031,0,0,0,0,2,2
AUT,202032,0,0,0,0,4,4
AUT,202033,0,0,0,0,12,12
AUT,202034,0,0,0,0,14,14
AUT,202035,0,0,0,0,24,24
AUT,202036,0,0,0,0,21,21
AUT,202037,0,0,0,0,7,7
AUT,202038,0,0,0,0,15,15
AUT,202039,0,0,0,0,18,18
AUT,202040,0,0,0,0,2,2
AUT,202041,0,0,0,0,18,18
AUT,202042,0,0,0,0,38,38
AUT,202043,0,0,0,0,31,31
AUT,202044,0,0,0,0,21,21
AUT,202045,0,0,0,0,59,59
AUT,202046,0,0,0,0,100,100
AUT,202047,0,0,0,0,12,12
AUT,202048,2,0,0,0,32,34
AUT,202049,0,0,0,0,24,24
AUT,202050,0,0,0,0,7,7
AUT,202051,0,0,0,0,17,17
AUT,202052,1,1,0,0,39,41
AUT,202053,9,0,0,0,195,204
AUT,202101,8,0,0,0,57,65
AUT,202102,6,0,0,0,27,33
AUT,202103,13,2,0,0,16,31
AUT,202104,43,70,0,0,111,224
AUT,202105,18,3,0,0,48,69
AUT,202106,99,5,0,0,67,171
AUT,202107,68,2,0,0,34,104
AUT,202108,44,4,0,0,26,74
AUT,202109,159,3,0,0,47,209
AUT,202110,174,7,0,0,38,219
AUT,202111,82,0,0,0,14,96
AUT,202112,71,0,0,0,7,78
AUT,202113,57,3,0,0,10,70
AUT,202114,107,6,0,0,10,123
AUT,202115,50,3,2,0,17,72
AUT,202116,91,1,1,0,14,107
AUT,202117,116,0,3,0,20,139
AUT,202118,84,1,1,0,6,92
AUT,202119,273,0,0,0,29,302
AUT,202120,122,1,3,0,17,143
AUT,202121,40,0,1,0,7,48
AUT,202122,3,0,0,0,2,5
AUT,202123,7,0,2,0,3,12
AUT,202124,6,0,7,0,2,15
AUT,202125,15,0,27,0,0,42
AUT,202126,7,0,38,0,1,46
AUT,202127,9,0,17,0,0,26
AUT,202128,1,0,41,0,0,42
AUT,202129,0,0,70,0,0,70
AUT,202130,0,0,27,0,0,27
AUT,202131,0,0,71,0,0,71
AUT,202132,0,0,54,0,1,55
AUT,202133,0,0,11,0,0,11
AUT,202134,0,0,53,0,0,53
AUT,202135,0,0,18,0,0,18
AUT,202136,0,0,21,0,0,21
AUT,202137,0,0,12,0,0,12
AUT,202138,0,0,13,0,0,13
AUT,202139,0,0,26,0,0,26
AUT,202140,0,0,36,0,0,36
AUT,202141,0,0,32,0,1,33
AUT,202142,0,0,22,0,0,22
AUT,202143,0,0,38,0,1,39
AUT,202144,0,0,29,0,0,29
AUT,202145,0,0,65,0,0,65
AUT,202146,0,0,71,0,0,71
AUT,202147,0,0,77,1,0,78
AUT,202148,0,0,39,13,1,53
AUT,202149,0,0,28,27,0,55
AUT,202150,0,0,43,25,0,68
AUT,202151,0,0,25,39,1,65
AUT,202152,0,0,45,17,0,62
AUT,202202,0,0,2,51,0,53
AUT,202203,0,0,0,14,0,14
