Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
AUT,202009,0,0,0,0,8,8
AUT,202010,0,0,0,0,50,50
AUT,202011,0,0,0,0,112,112
AUT,202012,0,0,0,0,136,136
AUT,202013,0,0,0,0,157,157
AUT,202014,0,0,0,0,117,117
AUT,202015,0,0,0,0,57,57
AUT,202016,0,0,0,0,40,40
AUT,202017,0,0,0,0,27,27
AUT,202018,0,0,0,0,20,20
AUT,202019,0,0,0,0,15,15
AUT,202020,0,0,0,0,24,24
AUT,202021,0,0,0,0,14,14
AUT,202022,0,0,0,0,3,3
AUT,202023,0,0,0,0,1,1
AUT,202025,0,0,0,0,1,1
AUT,202027,0,0,0,0,2,2
AUT,202029,0,0,0,0,8,8
AUT,202030,0,0,0,0,9,9
AUT,202031,0,0,0,0,2,2
AUT,202032,0,0,0,0,10,10
AUT,202033,0,0,0,0,12,12
AUT,202034,0,0,0,0,14,14
AUT,202035,0,0,0,0,25,25
AUT,202036,0,0,0,0,22,22
AUT,202037,0,0,0,0,16,16
AUT,202038,0,0,0,0,16,16
AUT,202039,0,0,0,0,20,20
AUT,202040,0,0,0,0,3,3
AUT,202041,0,0,0,0,19,19
AUT,202042,0,0,0,0,41,41
AUT,202043,0,0,0,0,34,34
AUT,202044,0,0,0,0,46,46
AUT,202045,0,0,0,0,124,124
AUT,202046,0,0,0,0,132,132
AUT,202047,0,0,0,0,16,16
AUT,202048,2,0,0,0,84,86
AUT,202049,0,0,0,0,62,62
AUT,202050,0,0,0,0,11,11
AUT,202051,0,0,0,0,30,30
AUT,202052,1,1,0,0,91,93
AUT,202053,9,0,0,0,320,329
AUT,202101,13,0,0,0,121,134
AUT,202102,122,38,0,0,290,450
AUT,202103,13,46,0,0,722,781
AUT,202104,45,70,0,0,1377,1492
AUT,202105,26,4,0,0,907,937
AUT,202106,126,8,0,0,600,734
AUT,202107,84,4,0,0,443,531
AUT,202108,46,22,0,0,157,225
AUT,202109,170,28,0,0,492,690
AUT,202110,219,16,0,0,1137,1372
AUT,202111,173,1,0,0,1361,1535
AUT,202112,173,1,0,0,1789,1963
AUT,202113,58,3,0,0,1502,1563
AUT,202114,108,6,0,0,790,904
AUT,202115,100,5,2,0,2375,2482
AUT,202116,92,1,1,0,3364,3458
AUT,202117,116,0,4,0,1823,1943
AUT,202118,87,1,2,0,1423,1513
AUT,202119,330,0,1,0,1801,2132
AUT,202120,200,2,4,0,1135,1341
AUT,202121,90,0,6,0,556,652
AUT,202122,63,2,23,0,354,442
AUT,202123,137,2,132,0,767,1038
AUT,202124,216,1,268,0,323,808
AUT,202125,50,0,162,0,244,456
AUT,202126,40,0,168,0,406,614
AUT,202127,19,0,229,0,312,560
AUT,202128,5,0,400,0,618,1023
AUT,202129,4,0,341,0,944,1289
AUT,202130,2,1,343,0,1014,1360
AUT,202131,1,0,226,0,1253,1480
AUT,202132,0,0,283,0,1617,1900
AUT,202133,0,0,266,0,1048,1314
AUT,202134,0,0,287,0,1930,2217
AUT,202135,0,1,199,0,2274,2474
AUT,202136,0,0,194,0,1385,1579
AUT,202137,0,0,155,0,984,1139
AUT,202138,0,0,214,0,562,776
AUT,202139,0,0,128,0,1588,1716
AUT,202140,0,0,186,0,795,981
AUT,202141,0,0,167,0,1363,1530
AUT,202142,0,0,285,0,1992,2277
AUT,202143,0,0,233,0,851,1084
AUT,202144,0,0,233,0,307,540
AUT,202145,0,0,217,0,731,948
AUT,202146,0,0,132,0,596,728
AUT,202147,0,0,88,3,472,563
AUT,202148,0,0,77,21,1215,1313
AUT,202149,0,0,37,27,849,913
AUT,202150,0,0,122,40,330,492
AUT,202151,0,0,38,113,517,668
AUT,202152,0,0,79,124,532,735
AUT,202201,0,0,24,143,2263,2430
AUT,202202,0,0,5,131,1579,1715
AUT,202203,0,0,2,243,275,520
AUT,202204,0,0,1,226,32,259
