Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
BEL,202006,0,0,0,0,2,2
BEL,202007,0,0,0,0,1,1
BEL,202009,0,0,0,0,1,1
BEL,202010,0,0,0,0,108,108
BEL,202011,0,0,0,0,32,32
BEL,202012,0,0,0,0,70,70
BEL,202013,0,0,0,0,206,206
BEL,202014,0,0,0,0,177,177
BEL,202015,0,0,0,0,138,138
BEL,202016,0,0,0,0,83,83
BEL,202017,0,0,0,0,39,39
BEL,202018,0,0,0,0,65,65
BEL,202019,0,0,0,0,58,58
BEL,202020,0,0,0,0,52,52
BEL,202021,0,0,0,0,24,24
BEL,202022,0,0,0,0,7,7
BEL,202023,0,0,0,0,4,4
BEL,202024,0,0,0,0,8,8
BEL,202025,0,0,0,0,29,29
BEL,202026,0,0,0,0,11,11
BEL,202027,0,0,0,0,16,16
BEL,202028,0,0,0,0,7,7
BEL,202029,0,0,0,0,5,5
BEL,202030,0,0,0,0,37,37
BEL,202031,0,0,0,0,75,75
BEL,202032,0,0,0,0,102,102
BEL,202033,0,0,0,0,32,32
BEL,202034,0,0,0,0,29,29
BEL,202035,0,0,0,0,23,23
BEL,202036,0,0,0,0,33,33
BEL,202037,0,0,0,0,53,53
BEL,202038,0,0,0,0,138,138
BEL,202039,0,0,0,0,111,111
BEL,202040,0,0,0,0,12,12
BEL,202041,0,0,0,0,110,110
BEL,202042,0,0,0,0,64,64
BEL,202043,0,0,0,0,245,245
BEL,202044,0,0,0,0,144,144
BEL,202045,0,0,0,0,33,33
BEL,202046,0,0,0,0,113,113
BEL,202047,0,0,0,0,81,81
BEL,202048,0,0,0,0,65,65
BEL,202049,0,0,0,0,52,52
BEL,202050,0,0,0,0,94,94
BEL,202051,0,0,0,0,225,225
BEL,202052,14,2,0,0,45,61
BEL,202053,26,7,0,0,113,146
BEL,202101,58,3,0,0,187,248
BEL,202102,148,10,2,0,253,413
BEL,202103,331,19,0,0,400,750
BEL,202104,304,18,1,0,379,702
BEL,202105,362,46,0,0,462,870
BEL,202106,286,59,0,0,281,626
BEL,202107,455,59,0,0,422,936
BEL,202108,590,47,0,0,329,966
BEL,202109,460,63,0,0,231,754
BEL,202110,986,68,0,0,262,1316
BEL,202111,1109,110,0,0,254,1473
BEL,202112,1266,71,0,0,237,1574
BEL,202113,1383,53,0,0,267,1703
BEL,202114,1063,34,4,0,219,1320
BEL,202115,1228,29,1,0,220,1478
BEL,202116,1220,42,38,0,276,1576
BEL,202117,1244,24,60,0,208,1536
BEL,202118,1331,29,47,0,209,1616
BEL,202119,1099,40,52,0,225,1416
BEL,202120,1259,9,95,0,214,1577
BEL,202121,867,12,85,0,148,1112
BEL,202122,803,11,118,0,164,1096
BEL,202123,491,8,135,0,111,745
BEL,202124,323,4,182,0,61,570
BEL,202125,186,3,253,0,20,462
BEL,202126,155,4,587,0,32,778
BEL,202127,224,1,1324,0,56,1605
BEL,202128,121,6,1667,0,46,1840
BEL,202129,48,4,1842,0,41,1935
BEL,202130,17,2,1445,0,10,1474
BEL,202131,20,0,2143,0,9,2172
BEL,202132,6,0,2198,0,7,2211
BEL,202133,5,0,2063,0,2,2070
BEL,202134,6,0,1953,0,8,1967
BEL,202135,0,0,2206,0,6,2212
BEL,202136,0,0,1522,0,1,1523
BEL,202137,1,0,1370,0,1,1372
BEL,202138,0,0,1312,0,1,1313
BEL,202139,2,0,1347,0,0,1349
BEL,202140,0,0,1482,0,2,1484
BEL,202141,0,0,1608,0,0,1608
BEL,202142,0,0,1827,0,8,1835
BEL,202143,0,0,1455,0,2,1457
BEL,202144,0,0,1060,0,0,1060
BEL,202145,0,0,1503,0,0,1503
BEL,202146,0,0,1715,2,2,1719
BEL,202147,0,0,1211,3,1,1215
BEL,202148,0,0,1132,43,4,1179
BEL,202149,0,0,1482,232,9,1723
BEL,202150,0,0,920,465,7,1392
BEL,202151,0,0,472,414,4,890
BEL,202152,1,0,305,967,9,1282
BEL,202201,0,0,113,992,5,1110
BEL,202202,0,0,27,1007,2,1036
BEL,202203,0,0,16,1102,1,1119
BEL,202204,0,0,7,600,1,608
BEL,202205,0,0,0,49,0,49
