Country,Week,Gender,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
BEL,202006,Male,0,0,0,0,0,2,2
BEL,202007,Male,0,0,0,0,0,1,1
BEL,202009,Female,0,0,0,0,0,1,1
BEL,202010,Female,0,0,0,0,0,42,42
BEL,202010,Male,0,0,0,0,0,66,66
BEL,202011,Female,0,0,0,0,0,13,13
BEL,202011,Male,0,0,0,0,0,19,19
BEL,202012,Female,0,0,0,0,0,32,32
BEL,202012,Male,0,0,0,0,0,34,34
BEL,202013,Female,0,0,0,0,0,110,110
BEL,202013,Male,0,0,0,0,0,103,103
BEL,202014,Female,0,0,0,0,0,108,108
BEL,202014,Male,0,0,0,0,0,69,69
BEL,202015,Female,0,0,0,0,0,96,96
BEL,202015,Male,0,0,0,0,0,42,42
BEL,202016,Female,0,0,0,0,0,49,49
BEL,202016,Male,0,0,0,0,0,35,35
BEL,202017,Female,0,0,0,0,0,27,27
BEL,202017,Male,0,0,0,0,0,12,12
BEL,202018,Female,0,0,0,0,0,45,45
BEL,202018,Male,0,0,0,0,0,20,20
BEL,202019,Female,0,0,0,0,0,39,39
BEL,202019,Male,0,0,0,0,0,16,16
BEL,202020,Female,0,0,0,0,0,19,19
BEL,202020,Male,0,0,0,0,0,15,15
BEL,202021,Female,0,0,0,0,0,5,5
BEL,202021,Male,0,0,0,0,0,9,9
BEL,202022,Female,0,0,0,0,0,5,5
BEL,202023,Female,0,0,0,0,0,3,3
BEL,202023,Male,0,0,0,0,0,1,1
BEL,202024,Female,0,0,0,0,0,4,4
BEL,202024,Male,0,0,0,0,0,3,3
BEL,202025,Female,0,0,0,0,0,18,18
BEL,202025,Male,0,0,0,0,0,8,8
BEL,202026,Female,0,0,0,0,0,3,3
BEL,202026,Male,0,0,0,0,0,3,3
BEL,202027,Female,0,0,0,0,0,20,20
BEL,202027,Male,0,0,0,0,0,4,4
BEL,202028,Female,0,0,0,0,0,2,2
BEL,202028,Male,0,0,0,0,0,3,3
BEL,202029,Female,0,0,0,0,0,3,3
BEL,202029,Male,0,0,0,0,0,2,2
BEL,202030,Female,0,0,0,0,0,17,17
BEL,202030,Male,0,0,0,0,0,17,17
BEL,202031,Female,0,0,0,0,0,33,33
BEL,202031,Male,0,0,0,0,0,42,42
BEL,202032,Female,0,0,0,0,0,38,38
BEL,202032,Male,0,0,0,0,0,63,63
BEL,202033,Female,0,0,0,0,0,12,12
BEL,202033,Male,0,0,0,0,0,20,20
BEL,202034,Female,0,0,0,0,0,14,14
BEL,202034,Male,0,0,0,0,0,15,15
BEL,202035,Female,0,0,0,0,0,11,11
BEL,202035,Male,0,0,0,0,0,12,12
BEL,202036,Female,0,0,0,0,0,10,10
BEL,202036,Male,0,0,0,0,0,23,23
BEL,202037,Female,0,0,0,0,0,27,27
BEL,202037,Male,0,0,0,0,0,26,26
BEL,202038,Female,0,0,0,0,0,67,67
