Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
BEL,202006,0,0,0,0,2,2
BEL,202007,0,0,0,0,1,1
BEL,202009,0,0,0,0,1,1
BEL,202010,0,0,0,0,108,108
BEL,202011,0,0,0,0,32,32
BEL,202012,0,0,0,0,66,66
BEL,202013,0,0,0,0,213,213
BEL,202014,0,0,0,0,177,177
BEL,202015,0,0,0,0,138,138
BEL,202016,0,0,0,0,84,84
BEL,202017,0,0,0,0,39,39
BEL,202018,0,0,0,0,65,65
BEL,202019,0,0,0,0,55,55
BEL,202020,0,0,0,0,34,34
BEL,202021,0,0,0,0,14,14
BEL,202022,0,0,0,0,5,5
BEL,202023,0,0,0,0,4,4
BEL,202024,0,0,0,0,7,7
BEL,202025,0,0,0,0,26,26
BEL,202026,0,0,0,0,6,6
BEL,202027,0,0,0,0,24,24
BEL,202028,0,0,0,0,5,5
BEL,202029,0,0,0,0,5,5
BEL,202030,0,0,0,0,34,34
BEL,202031,0,0,0,0,75,75
BEL,202032,0,0,0,0,101,101
BEL,202033,0,0,0,0,32,32
BEL,202034,0,0,0,0,29,29
BEL,202035,0,0,0,0,23,23
BEL,202036,0,0,0,0,33,33
BEL,202037,0,0,0,0,53,53
BEL,202038,0,0,0,0,138,138
BEL,202039,0,0,0,0,111,111
BEL,202040,0,0,0,0,12,12
BEL,202041,0,0,0,0,110,110
BEL,202042,0,0,0,0,64,64
BEL,202043,0,0,0,0,244,244
BEL,202044,0,0,0,0,143,143
BEL,202045,0,0,0,0,26,26
BEL,202046,0,0,0,0,113,113
BEL,202047,0,0,0,0,81,81
BEL,202048,0,0,0,0,64,64
BEL,202049,0,0,0,0,47,47
BEL,202050,0,0,0,0,94,94
BEL,202051,0,0,0,0,223,223
BEL,202052,14,2,0,0,45,61
BEL,202053,26,7,0,0,111,144
BEL,202101,58,3,0,0,179,240
BEL,202102,165,10,2,0,262,439
BEL,202103,341,19,0,0,400,760
BEL,202104,304,19,1,0,381,705
BEL,202105,362,46,0,0,459,867
BEL,202106,285,59,0,0,281,625
BEL,202107,454,58,0,0,412,924
BEL,202108,593,47,0,0,330,970
BEL,202109,487,64,0,0,236,787
BEL,202110,979,69,0,0,261,1309
BEL,202111,1102,107,0,0,253,1462
BEL,202112,1273,72,0,0,237,1582
BEL,202113,1380,53,0,0,267,1700
BEL,202114,1053,34,4,0,215,1306
BEL,202115,1221,29,2,0,221,1473
BEL,202116,1219,42,38,0,275,1574
BEL,202117,1238,24,59,0,208,1529
BEL,202118,1267,22,40,0,192,1521
BEL,202119,939,24,44,0,195,1202
BEL,202120,1133,9,92,0,208,1442
BEL,202121,846,12,85,0,145,1088
BEL,202122,800,11,118,0,164,1093
BEL,202123,494,8,135,0,112,749
BEL,202124,324,4,182,0,60,570
BEL,202125,174,3,232,0,19,428
BEL,202126,155,4,588,0,32,779
BEL,202127,223,1,1316,0,56,1596
BEL,202128,121,6,1605,0,45,1777
BEL,202129,46,4,1803,0,40,1893
BEL,202130,17,1,1400,0,9,1427
BEL,202131,20,0,2155,0,9,2184
BEL,202132,6,0,2210,0,7,2223
BEL,202133,5,0,2087,0,2,2094
BEL,202134,6,0,1965,0,8,1979
BEL,202135,0,0,2215,0,6,2221
BEL,202136,0,0,1520,0,1,1521
BEL,202137,1,0,1364,0,1,1366
BEL,202138,0,0,1312,0,1,1313
BEL,202139,2,0,1346,0,0,1348
BEL,202140,0,0,1504,0,2,1506
BEL,202141,0,0,1633,0,1,1634
BEL,202142,0,0,1816,0,8,1824
BEL,202143,0,0,1475,0,2,1477
BEL,202144,0,0,1085,0,0,1085
BEL,202145,0,0,1503,0,0,1503
BEL,202146,0,0,1717,2,2,1721
BEL,202147,0,0,1200,3,1,1204
BEL,202148,0,0,1113,43,4,1160
BEL,202149,0,0,1545,232,9,1786
BEL,202150,0,0,928,467,7,1402
BEL,202151,0,0,470,405,4,879
BEL,202152,1,0,304,941,9,1255
BEL,202201,0,0,92,694,6,792
BEL,202202,0,0,25,756,3,784
BEL,202203,0,0,8,536,1,545
BEL,202204,0,0,0,63,0,63
