Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
BEL,202006,0,0,0,0,2,2
BEL,202007,0,0,0,0,1,1
BEL,202009,0,0,0,0,1,1
BEL,202010,0,0,0,0,109,109
BEL,202011,0,0,0,0,47,47
BEL,202012,0,0,0,0,95,95
BEL,202013,0,0,0,0,262,262
BEL,202014,0,0,0,0,209,209
BEL,202015,0,0,0,0,208,208
BEL,202016,0,0,0,0,109,109
BEL,202017,0,0,0,0,47,47
BEL,202018,0,0,0,0,73,73
BEL,202019,0,0,0,0,60,60
BEL,202020,0,0,0,0,53,53
BEL,202021,0,0,0,0,25,25
BEL,202022,0,0,0,0,7,7
BEL,202023,0,0,0,0,7,7
BEL,202024,0,0,0,0,8,8
BEL,202025,0,0,0,0,30,30
BEL,202026,0,0,0,0,11,11
BEL,202027,0,0,0,0,28,28
BEL,202028,0,0,0,0,19,19
BEL,202029,0,0,0,0,19,19
BEL,202030,0,0,0,0,63,63
BEL,202031,0,0,0,0,80,80
BEL,202032,0,0,0,0,103,103
BEL,202033,0,0,0,0,32,32
BEL,202034,0,0,0,0,30,30
BEL,202035,0,0,0,0,23,23
BEL,202036,0,0,0,0,33,33
BEL,202037,0,0,0,0,54,54
BEL,202038,0,0,0,0,138,138
BEL,202039,0,0,0,0,111,111
BEL,202040,0,0,0,0,16,16
BEL,202041,0,0,0,0,114,114
BEL,202042,0,0,0,0,67,67
BEL,202043,0,0,0,0,284,284
BEL,202044,0,0,0,0,164,164
BEL,202045,0,0,0,0,42,42
BEL,202046,0,0,0,0,146,146
BEL,202047,0,0,0,0,101,101
BEL,202048,0,0,0,0,78,78
BEL,202049,3,0,0,0,60,63
BEL,202050,0,0,0,0,106,106
BEL,202051,0,0,0,0,237,237
BEL,202052,15,2,0,0,50,67
BEL,202053,26,7,0,0,127,160
BEL,202101,68,3,0,0,213,284
BEL,202102,189,14,2,0,292,497
BEL,202103,365,27,0,0,468,860
BEL,202104,327,35,1,0,511,874
BEL,202105,387,56,0,0,522,965
BEL,202106,323,67,0,0,334,724
BEL,202107,505,69,0,0,475,1049
BEL,202108,687,102,0,0,389,1178
BEL,202109,617,137,0,0,294,1048
BEL,202110,1040,96,0,0,273,1409
BEL,202111,1141,118,0,0,256,1515
BEL,202112,1350,77,0,0,246,1673
BEL,202113,1432,54,0,0,271,1757
BEL,202114,1098,34,4,0,222,1358
BEL,202115,1264,29,2,0,226,1521
BEL,202116,1268,42,38,0,281,1629
BEL,202117,1316,24,60,0,217,1617
BEL,202118,1400,29,47,0,214,1690
BEL,202119,1203,40,52,0,245,1540
BEL,202120,1379,9,95,0,229,1712
BEL,202121,908,12,85,0,152,1157
BEL,202122,983,12,118,0,171,1284
BEL,202123,609,8,135,0,115,867
BEL,202124,397,4,184,0,63,648
BEL,202125,240,3,268,0,22,533
BEL,202126,179,4,607,0,36,826
BEL,202127,259,1,1347,0,66,1673
BEL,202128,134,6,1741,0,64,1945
BEL,202129,50,5,1980,0,48,2083
BEL,202130,17,2,1593,0,12,1624
BEL,202131,21,0,2308,0,12,2341
BEL,202132,6,0,2307,0,8,2321
BEL,202133,6,0,2256,0,2,2264
BEL,202134,6,0,2170,0,8,2184
BEL,202135,0,0,2288,0,6,2294
BEL,202136,0,0,1647,0,1,1648
BEL,202137,1,0,1516,0,1,1518
BEL,202138,0,0,1405,0,1,1406
BEL,202139,3,0,1504,0,0,1507
BEL,202140,0,0,1566,0,2,1568
BEL,202141,0,0,1730,0,1,1731
BEL,202142,0,0,1956,0,8,1964
BEL,202143,0,0,1636,0,2,1638
BEL,202144,0,0,1164,0,0,1164
BEL,202145,1,0,1636,0,0,1637
BEL,202146,0,0,1848,2,2,1852
BEL,202147,0,0,1408,3,1,1412
BEL,202148,0,0,1385,43,4,1432
BEL,202149,0,0,1896,235,9,2140
BEL,202150,0,0,1159,492,7,1658
BEL,202151,0,0,549,420,4,973
BEL,202152,1,0,395,1137,9,1542
BEL,202201,0,0,118,875,7,1000
BEL,202202,0,0,43,1138,3,1184
BEL,202203,0,0,8,771,1,780
BEL,202204,0,0,0,142,0,142
