Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
BOL,202019,30 – 40,0,0,0,0,0,1,1
BOL,202021,10 – 20,0,0,0,0,0,3,3
BOL,202021,30 – 40,0,0,0,0,0,2,2
BOL,202021,40 – 50,0,0,0,0,0,1,1
BOL,202021,50 – 60,0,0,0,0,0,2,2
BOL,202025,30 – 40,0,0,0,0,0,3,3
BOL,202025,40 – 50,0,0,0,0,0,2,2
BOL,202025,50 – 60,0,0,0,0,0,1,1
BOL,202025,60 – 70,0,0,0,0,0,1,1
BOL,202025,>= 80,0,0,0,0,0,1,1
BOL,202026,50 – 60,0,0,0,0,0,1,1
BOL,202027,40 – 50,0,0,0,0,0,1,1
BOL,202030,30 – 40,0,0,0,0,0,1,1
BOL,202030,50 – 60,0,0,0,0,0,1,1
BOL,202031,40 – 50,0,0,0,0,0,1,1
BOL,202032,>= 80,0,0,0,0,0,1,1
BOL,202033,10 – 20,0,0,0,0,0,1,1
BOL,202033,30 – 40,0,0,0,0,0,1,1
BOL,202035,30 – 40,0,0,0,0,0,1,1
BOL,202035,40 – 50,0,0,0,0,0,1,1
BOL,202035,60 – 70,0,0,0,0,0,1,1
BOL,202036,10 – 20,0,0,0,0,0,1,1
BOL,202036,20 – 30,0,0,0,0,0,2,2
BOL,202036,30 – 40,0,0,0,0,0,1,1
BOL,202036,40 – 50,0,0,0,0,0,1,1
BOL,202037,30 – 40,0,0,0,0,0,1,1
BOL,202037,40 – 50,0,0,0,0,0,2,2
BOL,202041,30 – 40,0,0,0,0,0,3,3
BOL,202042,30 – 40,0,0,0,0,0,2,2
BOL,202042,40 – 50,0,0,0,0,0,1,1
BOL,202043,30 – 40,0,0,0,0,0,1,1
BOL,202046,20 – 30,0,0,0,0,0,1,1
BOL,202046,30 – 40,0,0,0,0,0,1,1
BOL,202047,20 – 30,0,0,0,0,0,1,1
BOL,202047,40 – 50,0,0,0,0,0,2,2
BOL,202047,60 – 70,0,0,0,0,0,1,1
BOL,202047,70 – 80,0,0,0,0,0,1,1
BOL,202048,30 – 40,0,0,0,0,0,2,2
BOL,202050,30 – 40,0,0,0,0,0,1,1
BOL,202050,40 – 50,0,0,0,0,0,2,2
BOL,202051,10 – 20,0,0,0,0,0,1,1
BOL,202051,20 – 30,0,0,0,0,0,1,1
BOL,202051,70 – 80,0,0,0,0,0,1,1
BOL,202052,20 – 30,0,0,0,0,0,1,1
BOL,202052,30 – 40,0,0,0,0,0,1,1
BOL,202052,40 – 50,0,0,0,0,0,1,1
BOL,202052,50 – 60,0,0,0,0,0,1,1
BOL,202053,30 – 40,0,0,0,0,0,1,1
BOL,202053,40 – 50,0,0,0,0,0,1,1
BOL,202053,5 – 10,0,0,0,0,0,1,1
BOL,202053,50 – 60,0,0,0,0,0,2,2
BOL,202101,30 – 40,0,0,0,0,0,2,2
BOL,202101,40 – 50,0,0,0,0,0,2,2
BOL,202102,20 – 30,0,0,0,0,0,2,2
BOL,202102,60 – 70,0,0,0,0,0,1,1
BOL,202102,70 – 80,0,0,0,0,0,1,1
BOL,202102,>= 80,0,0,0,0,0,1,1
BOL,202103,10 – 20,0,0,0,0,0,1,1
BOL,202103,40 – 50,0,0,0,0,0,1,1
BOL,202104,40 – 50,0,0,0,0,0,2,2
BOL,202105,20 – 30,0,0,0,0,0,1,1
BOL,202105,30 – 40,0,0,0,0,0,1,1
BOL,202106,10 – 20,0,0,0,0,0,1,1
BOL,202106,30 – 40,0,0,0,0,0,3,3
BOL,202107,40 – 50,0,0,0,0,0,1,1
BOL,202107,70 – 80,0,0,0,0,0,1,1
BOL,202111,50 – 60,0,0,0,0,0,1,1
BOL,202112,20 – 30,0,0,0,0,0,3,3
BOL,202112,30 – 40,0,0,0,0,0,2,2
BOL,202112,40 – 50,0,0,0,0,0,2,2
BOL,202112,50 – 60,0,0,0,0,0,2,2
BOL,202113,40 – 50,0,0,0,0,0,1,1
BOL,202117,30 – 40,0,0,0,0,0,1,1
BOL,202118,10 – 20,0,0,0,0,0,1,1
BOL,202118,60 – 70,0,0,0,0,0,1,1
BOL,202119,10 – 20,0,0,0,0,0,1,1
BOL,202119,20 – 30,0,0,0,0,0,1,1
BOL,202119,50 – 60,0,0,0,0,0,1,1
BOL,202120,30 – 40,0,0,0,0,0,1,1
BOL,202120,50 – 60,0,0,0,0,0,1,1
BOL,202120,>= 80,0,0,0,0,0,1,1
BOL,202121,30 – 40,0,0,0,0,0,1,1
BOL,202121,40 – 50,0,0,0,0,0,2,2
BOL,202122,10 – 20,0,0,0,0,0,2,2
BOL,202122,20 – 30,0,0,0,0,0,1,1
BOL,202122,30 – 40,0,0,0,0,0,2,2
BOL,202122,40 – 50,0,0,0,0,0,2,2
BOL,202122,50 – 60,0,0,0,0,0,2,2
BOL,202122,70 – 80,0,0,0,0,0,1,1
BOL,202123,20 – 30,0,0,0,0,0,1,1
BOL,202123,30 – 40,0,0,0,0,0,1,1
BOL,202123,40 – 50,0,0,0,0,0,2,2
BOL,202123,60 – 70,0,0,0,0,0,1,1
BOL,202124,20 – 30,0,0,1,0,0,0,1
BOL,202124,30 – 40,0,0,0,0,0,2,2
BOL,202124,40 – 50,0,0,0,0,0,2,2
BOL,202124,50 – 60,0,0,0,0,0,1,1
BOL,202124,70 – 80,0,0,0,0,0,1,1
BOL,202125,20 – 30,0,0,0,0,0,1,1
BOL,202125,30 – 40,0,0,0,0,0,3,3
BOL,202125,40 – 50,0,0,0,0,0,1,1
BOL,202126,30 – 40,0,0,0,0,0,1,1
BOL,202126,50 – 60,0,0,0,0,0,1,1
BOL,202126,70 – 80,0,0,0,0,0,3,3
BOL,202127,20 – 30,0,0,0,0,0,2,2
BOL,202127,30 – 40,0,0,0,0,0,1,1
BOL,202127,50 – 60,0,0,0,0,0,1,1
BOL,202128,30 – 40,0,0,0,0,0,2,2
BOL,202129,30 – 40,0,0,0,0,0,1,1
BOL,202130,30 – 40,0,0,1,0,0,0,1
BOL,202130,5 – 10,0,0,1,0,0,0,1
BOL,202130,70 – 80,0,0,0,0,0,2,2
BOL,202131,10 – 20,0,0,0,0,0,1,1
BOL,202131,20 – 30,0,0,0,0,0,1,1
BOL,202131,30 – 40,0,0,0,0,0,1,1
BOL,202132,40 – 50,0,0,0,0,0,1,1
BOL,202132,50 – 60,0,0,0,0,0,1,1
BOL,202132,60 – 70,0,0,0,0,0,2,2
BOL,202132,70 – 80,0,0,1,0,0,0,1
BOL,202133,20 – 30,0,0,0,0,0,2,2
BOL,202133,30 – 40,0,0,0,0,0,1,1
BOL,202135,40 – 50,0,0,0,0,0,1,1
BOL,202135,>= 80,0,0,0,0,0,1,1
BOL,202136,30 – 40,0,0,1,0,0,0,1
BOL,202137,20 – 30,0,0,1,0,0,0,1
BOL,202137,50 – 60,0,0,0,0,0,1,1
BOL,202138,30 – 40,0,0,0,0,0,1,1
BOL,202139,20 – 30,0,0,1,0,0,0,1
BOL,202139,30 – 40,0,0,1,0,0,0,1
BOL,202139,70 – 80,0,0,1,0,0,0,1
BOL,202140,30 – 40,0,0,1,0,0,0,1
BOL,202140,40 – 50,0,0,1,0,0,0,1
BOL,202141,20 – 30,0,0,2,0,0,0,2
BOL,202141,30 – 40,0,0,1,0,0,0,1
BOL,202142,30 – 40,0,0,1,0,0,0,1
BOL,202142,40 – 50,0,0,1,0,0,0,1
BOL,202142,50 – 60,0,0,1,0,0,0,1
BOL,202143,20 – 30,0,0,1,0,0,0,1
BOL,202143,30 – 40,0,0,3,0,0,0,3
BOL,202143,40 – 50,0,0,4,0,0,0,4
BOL,202144,20 – 30,0,0,4,0,0,0,4
BOL,202144,30 – 40,0,0,3,0,0,0,3
BOL,202144,40 – 50,0,0,1,0,0,0,1
