Country,Week,Gender,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
BOL,202019,Male,0,0,0,0,0,1,1
BOL,202021,Female,0,0,0,0,0,5,5
BOL,202021,Male,0,0,0,0,0,3,3
BOL,202025,Female,0,0,0,0,0,8,8
BOL,202026,Female,0,0,0,0,0,1,1
BOL,202027,Male,0,0,0,0,0,1,1
BOL,202030,Female,0,0,0,0,0,2,2
BOL,202031,Male,0,0,0,0,0,1,1
BOL,202032,Female,0,0,0,0,0,1,1
BOL,202033,Male,0,0,0,0,0,2,2
BOL,202035,Female,0,0,0,0,0,1,1
BOL,202035,Male,0,0,0,0,0,2,2
BOL,202036,Female,0,0,0,0,0,2,2
BOL,202036,Male,0,0,0,0,0,3,3
BOL,202037,Female,0,0,0,0,0,3,3
BOL,202041,Female,0,0,0,0,0,1,1
BOL,202041,Male,0,0,0,0,0,2,2
BOL,202042,Male,0,0,0,0,0,3,3
BOL,202043,Female,0,0,0,0,0,1,1
BOL,202046,Female,0,0,0,0,0,2,2
BOL,202047,Female,0,0,0,0,0,3,3
BOL,202047,Male,0,0,0,0,0,2,2
BOL,202048,Female,0,0,0,0,0,1,1
BOL,202048,Male,0,0,0,0,0,1,1
BOL,202050,Female,0,0,0,0,0,2,2
BOL,202050,Male,0,0,0,0,0,1,1
BOL,202051,Female,0,0,0,0,0,1,1
BOL,202051,Male,0,0,0,0,0,2,2
BOL,202052,Female,0,0,0,0,0,2,2
BOL,202052,Male,0,0,0,0,0,2,2
BOL,202053,Male,0,0,0,0,0,5,5
BOL,202101,Female,0,0,0,0,0,3,3
BOL,202101,Male,0,0,0,0,0,1,1
BOL,202102,Female,0,0,0,0,0,2,2
BOL,202102,Male,0,0,0,0,0,2,2
BOL,202103,Female,0,0,0,0,0,1,1
BOL,202103,Male,0,0,0,0,0,1,1
BOL,202104,Female,0,0,0,0,0,2,2
BOL,202105,Female,0,0,0,0,0,1,1
BOL,202105,Male,0,0,0,0,0,1,1
BOL,202106,Female,0,0,0,0,0,1,1
BOL,202106,Male,0,0,0,0,0,2,2
BOL,202107,Female,0,0,0,0,0,2,2
BOL,202119,Female,0,0,0,0,0,1,1
BOL,202120,Female,0,0,0,0,0,2,2
BOL,202120,Male,0,0,0,0,0,1,1
BOL,202121,Female,0,0,0,0,0,1,1
BOL,202121,Male,0,0,0,0,0,2,2
BOL,202122,Female,0,0,0,0,0,5,5
BOL,202122,Male,0,0,0,0,0,5,5
BOL,202123,Female,0,0,0,0,0,3,3
BOL,202123,Male,0,0,0,0,0,2,2
BOL,202124,Female,0,0,0,0,0,1,1
BOL,202124,Male,0,0,1,0,0,5,6
BOL,202125,Female,0,0,0,0,0,1,1
BOL,202125,Male,0,0,0,0,0,4,4
BOL,202126,Female,0,0,0,0,0,4,4
BOL,202126,Male,0,0,0,0,0,1,1
BOL,202127,Female,0,0,0,0,0,1,1
BOL,202127,Male,0,0,0,0,0,3,3
BOL,202128,Male,0,0,0,0,0,2,2
BOL,202129,Female,0,0,0,0,0,1,1
BOL,202130,Female,0,0,1,0,0,1,2
BOL,202130,Male,0,0,1,0,0,1,2
BOL,202131,Female,0,0,0,0,0,1,1
BOL,202131,Male,0,0,0,0,0,2,2
BOL,202132,Female,0,0,0,0,0,3,3
BOL,202132,Male,0,0,1,0,0,1,2
BOL,202133,Female,0,0,0,0,0,2,2
BOL,202133,Male,0,0,0,0,0,1,1
BOL,202135,Male,0,0,0,0,0,2,2
BOL,202136,Female,0,0,1,0,0,0,1
BOL,202137,Female,0,0,1,0,0,0,1
BOL,202137,Male,0,0,0,0,0,1,1
BOL,202138,Female,0,0,0,0,0,1,1
BOL,202139,Female,0,0,2,0,0,0,2
BOL,202139,Male,0,0,1,0,0,0,1
BOL,202140,Male,0,0,2,0,0,0,2
BOL,202141,Female,0,0,3,0,0,0,3
BOL,202142,Female,0,0,2,0,0,0,2
BOL,202142,Male,0,0,1,0,0,0,1
BOL,202143,Female,0,0,4,0,0,0,4
BOL,202143,Male,0,0,4,0,0,0,4
BOL,202144,Male,0,0,8,0,0,0,8
