Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
BOL,202011,0,0,0,0,1,1
BOL,202014,0,0,0,0,1,1
BOL,202017,0,0,0,0,2,2
BOL,202018,0,0,0,0,4,4
BOL,202019,0,0,0,0,3,3
BOL,202020,0,0,0,0,8,8
BOL,202021,0,0,0,0,8,8
BOL,202025,0,0,0,0,8,8
BOL,202026,0,0,0,0,1,1
BOL,202027,0,0,0,0,3,3
BOL,202029,0,0,0,0,1,1
BOL,202030,0,0,0,0,2,2
BOL,202031,0,0,0,0,1,1
BOL,202032,0,0,0,0,3,3
BOL,202033,0,0,0,0,6,6
BOL,202035,0,0,0,0,3,3
BOL,202036,0,0,0,0,5,5
BOL,202037,0,0,0,0,3,3
BOL,202041,0,0,0,0,3,3
BOL,202042,0,0,0,0,3,3
BOL,202043,0,0,0,0,1,1
BOL,202046,0,0,0,0,2,2
BOL,202047,0,0,0,0,5,5
BOL,202048,0,0,0,0,2,2
BOL,202050,0,0,0,0,3,3
BOL,202051,0,0,0,0,3,3
BOL,202052,0,0,0,0,4,4
BOL,202053,0,0,0,0,5,5
BOL,202101,0,0,0,0,4,4
BOL,202102,0,0,0,0,5,5
BOL,202103,0,0,0,0,2,2
BOL,202104,0,0,0,0,6,6
BOL,202105,0,0,0,0,6,6
BOL,202106,0,0,0,0,4,4
BOL,202107,0,0,0,0,6,6
BOL,202111,0,0,0,0,1,1
BOL,202112,0,0,0,0,9,9
BOL,202113,0,0,0,0,1,1
BOL,202115,0,0,0,0,1,1
BOL,202117,0,0,0,0,1,1
BOL,202118,0,0,0,0,8,8
BOL,202119,0,0,0,0,3,3
BOL,202120,0,0,0,0,3,3
BOL,202121,0,0,0,0,3,3
BOL,202122,0,0,0,0,15,15
BOL,202123,0,0,0,0,5,5
BOL,202124,0,0,1,0,6,7
BOL,202125,0,0,0,0,5,5
BOL,202126,0,0,0,0,5,5
BOL,202127,0,0,0,0,4,4
BOL,202128,0,0,0,0,2,2
BOL,202129,0,0,0,0,1,1
BOL,202130,0,0,2,0,2,4
BOL,202131,0,0,0,0,3,3
BOL,202132,0,0,1,0,4,5
BOL,202133,0,0,0,0,3,3
BOL,202135,0,0,0,0,2,2
BOL,202136,0,0,1,0,0,1
BOL,202137,0,0,1,0,1,2
BOL,202138,0,0,0,0,1,1
BOL,202139,0,0,3,0,0,3
BOL,202140,0,0,2,0,0,2
BOL,202141,0,0,3,0,0,3
BOL,202142,0,0,3,0,0,3
BOL,202143,0,0,8,0,0,8
BOL,202144,0,0,8,0,0,8
