Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
BRA,202009,0,0,0,0,0,7,7
BRA,202010,0,0,0,0,0,16,16
BRA,202011,0,0,0,0,0,36,36
BRA,202012,0,0,0,0,0,121,121
BRA,202013,0,0,0,0,0,103,103
BRA,202014,0,0,0,0,0,128,128
BRA,202015,0,0,0,0,0,156,156
BRA,202016,0,0,0,0,0,236,236
BRA,202017,0,0,0,0,0,246,246
BRA,202018,0,0,0,0,0,163,163
BRA,202019,0,0,0,0,0,100,100
BRA,202020,0,0,0,0,0,83,83
BRA,202021,0,0,0,0,0,67,67
BRA,202022,0,0,0,0,0,68,68
BRA,202023,0,0,0,0,0,105,105
BRA,202024,0,0,0,0,0,64,64
BRA,202025,0,0,0,0,0,84,84
BRA,202026,0,0,0,0,0,92,92
BRA,202027,0,0,0,0,0,155,155
BRA,202028,0,0,0,0,0,77,77
BRA,202029,0,0,0,0,0,60,60
BRA,202030,0,0,0,0,0,76,76
BRA,202031,0,0,0,0,0,109,109
BRA,202032,0,0,0,0,0,94,94
BRA,202033,0,0,0,0,0,121,121
BRA,202034,0,0,0,0,0,85,85
BRA,202035,0,0,0,0,0,70,70
BRA,202036,0,0,0,0,0,120,120
BRA,202037,0,0,0,0,0,105,105
BRA,202038,0,0,0,0,0,103,103
BRA,202039,0,0,0,0,0,81,81
BRA,202040,0,0,0,0,0,83,83
BRA,202041,0,0,0,0,0,91,91
BRA,202042,0,0,0,0,0,91,91
BRA,202043,0,0,0,0,0,75,75
BRA,202044,0,0,0,0,0,91,91
BRA,202045,0,0,0,0,0,94,94
BRA,202046,0,0,0,0,0,89,89
BRA,202047,0,0,0,0,0,169,169
BRA,202048,0,0,0,0,0,241,241
BRA,202049,0,0,0,0,0,131,131
BRA,202050,0,0,0,0,0,143,143
BRA,202051,0,0,0,0,0,131,131
BRA,202052,4,0,0,0,0,150,154
BRA,202053,2,0,0,0,0,256,258
BRA,202101,6,0,0,1,0,360,367
BRA,202102,4,0,0,0,0,379,383
BRA,202103,12,0,0,0,0,386,398
BRA,202104,6,0,4,0,0,386,396
BRA,202105,5,0,1,0,0,517,523
BRA,202106,11,0,0,0,0,565,576
BRA,202107,16,0,0,0,0,505,521
BRA,202108,10,0,0,0,0,719,729
BRA,202109,12,0,0,0,0,559,571
BRA,202110,15,2,0,0,0,675,692
BRA,202111,9,0,0,0,0,539,548
BRA,202112,20,0,1,0,0,641,662
BRA,202113,14,0,0,0,0,452,466
BRA,202114,22,1,0,0,0,788,811
BRA,202115,16,0,4,0,0,713,733
BRA,202116,20,0,0,0,0,697,717
BRA,202117,10,0,6,0,0,832,848
BRA,202118,13,0,0,0,0,1062,1075
BRA,202119,17,0,0,0,0,1043,1060
BRA,202120,10,0,11,0,0,858,879
BRA,202121,13,0,2,0,0,990,1005
BRA,202122,8,0,2,0,0,1404,1414
BRA,202123,14,0,6,0,0,1613,1633
BRA,202124,15,0,13,0,0,1195,1223
BRA,202125,10,0,28,0,0,843,881
BRA,202126,6,0,105,0,0,1402,1513
BRA,202127,1,0,148,0,0,1194,1343
BRA,202128,4,0,248,0,0,1261,1513
BRA,202129,4,0,286,0,0,928,1218
BRA,202130,3,0,515,0,0,704,1222
BRA,202131,1,0,842,0,0,1033,1876
BRA,202132,3,1,1436,0,0,859,2299
BRA,202133,0,0,1083,0,0,452,1535
BRA,202134,3,0,1587,0,0,449,2039
BRA,202135,1,0,2639,0,0,368,3008
BRA,202136,0,0,2735,0,0,234,2969
BRA,202137,0,0,2304,0,0,283,2587
BRA,202138,0,0,1488,0,0,125,1613
BRA,202139,0,0,1305,0,0,90,1395
BRA,202140,0,0,1966,0,0,70,2036
BRA,202141,0,0,1860,0,0,29,1889
BRA,202142,0,0,1111,0,0,24,1135
BRA,202143,0,0,934,0,0,16,950
BRA,202144,0,0,1584,0,0,11,1595
BRA,202145,0,0,1498,0,0,11,1509
BRA,202146,0,0,1036,0,0,6,1042
BRA,202147,0,0,900,3,0,2,905
BRA,202148,0,0,655,5,0,1,661
BRA,202149,0,0,450,33,0,15,498
BRA,202150,0,0,484,156,0,21,661
BRA,202151,0,0,489,364,0,70,923
BRA,202152,0,0,215,1450,1,190,1856
BRA,202201,0,0,130,3279,1,429,3839
BRA,202202,0,0,40,2339,0,357,2736
BRA,202203,0,0,5,823,2,124,954
BRA,202204,0,0,1,577,4,59,641
BRA,202205,0,0,3,584,1,100,688
BRA,202206,0,0,0,118,0,25,143
