Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
BRA,202009,Female,0,0,0,0,5,5
BRA,202009,Male,0,0,0,0,2,2
BRA,202010,Female,0,0,0,0,8,8
BRA,202010,Male,0,0,0,0,8,8
BRA,202011,Female,0,0,0,0,14,14
BRA,202011,Male,0,0,0,0,24,24
BRA,202012,Female,0,0,0,0,59,59
BRA,202012,Male,0,0,0,0,69,69
BRA,202013,Female,0,0,0,0,53,53
BRA,202013,Male,0,0,0,0,55,55
BRA,202014,Female,0,0,0,0,73,73
BRA,202014,Male,0,0,0,0,58,58
BRA,202015,Female,0,0,0,0,92,92
BRA,202015,Male,0,0,0,0,76,76
BRA,202016,Female,0,0,0,0,130,130
BRA,202016,Male,0,0,0,0,118,118
BRA,202017,Female,0,0,0,0,139,139
BRA,202017,Male,0,0,0,0,109,109
BRA,202018,Female,0,0,0,0,82,82
BRA,202018,Male,0,0,0,0,74,74
BRA,202019,Female,0,0,0,0,43,43
BRA,202019,Male,0,0,0,0,54,54
BRA,202020,Female,0,0,0,0,44,44
BRA,202020,Male,0,0,0,0,38,38
BRA,202021,Female,0,0,0,0,29,29
BRA,202021,Male,0,0,0,0,38,38
BRA,202022,Female,0,0,0,0,41,41
BRA,202022,Male,0,0,0,0,27,27
BRA,202023,Female,0,0,0,0,58,58
BRA,202023,Male,0,0,0,0,49,49
BRA,202024,Female,0,0,0,0,35,35
BRA,202024,Male,0,0,0,0,30,30
BRA,202025,Female,0,0,0,0,47,47
BRA,202025,Male,0,0,0,0,38,38
BRA,202026,Female,0,0,0,0,44,44
BRA,202026,Male,0,0,0,0,54,54
BRA,202027,Female,0,0,0,0,86,86
BRA,202027,Male,0,0,0,0,86,86
BRA,202028,Female,0,0,0,0,43,43
BRA,202028,Male,0,0,0,0,38,38
BRA,202029,Female,0,0,0,0,33,33
BRA,202029,Male,0,0,0,0,32,32
BRA,202030,Female,0,0,0,0,37,37
BRA,202030,Male,0,0,0,0,41,41
BRA,202031,Female,0,0,0,0,58,58
BRA,202031,Male,0,0,0,0,64,64
BRA,202032,Female,0,0,0,0,52,52
BRA,202032,Male,0,0,0,0,47,47
BRA,202033,Female,0,0,0,0,49,49
BRA,202033,Male,0,0,0,0,78,78
BRA,202034,Female,0,0,0,0,48,48
BRA,202034,Male,0,0,0,0,41,41
BRA,202035,Female,0,0,0,0,43,43
BRA,202035,Male,0,0,0,0,28,28
BRA,202036,Female,0,0,0,0,70,70
BRA,202036,Male,0,0,0,0,60,60
BRA,202037,Female,0,0,0,0,55,55
BRA,202037,Male,0,0,0,0,50,50
BRA,202038,Female,0,0,0,0,57,57
BRA,202038,Male,0,0,0,0,50,50
BRA,202039,Female,0,0,0,0,47,47
BRA,202039,Male,0,0,0,0,41,41
BRA,202040,Female,0,0,0,0,55,55
BRA,202040,Male,0,0,0,0,46,46
BRA,202041,Female,0,0,0,0,57,57
BRA,202041,Male,0,0,0,0,37,37
BRA,202042,Female,0,0,0,0,52,52
BRA,202042,Male,0,0,0,0,43,43
BRA,202043,Female,0,0,0,0,42,42
BRA,202043,Male,0,0,0,0,37,37
BRA,202044,Female,0,0,0,0,49,49
BRA,202044,Male,0,0,0,0,51,51
BRA,202045,Female,0,0,0,0,58,58
BRA,202045,Male,0,0,0,0,50,50
BRA,202046,Female,0,0,0,0,59,59
BRA,202046,Male,0,0,0,0,45,45
BRA,202047,Female,0,0,0,0,83,83
BRA,202047,Male,0,0,0,0,74,74
BRA,202048,Female,0,0,0,0,114,114
BRA,202048,Male,0,0,0,0,126,126
BRA,202049,Female,0,0,0,0,85,85
BRA,202049,Male,0,0,0,0,60,60
BRA,202050,Female,0,0,0,0,77,77
BRA,202050,Male,0,0,0,0,71,71
BRA,202051,Female,0,0,0,0,82,82
BRA,202051,Male,0,0,0,0,49,49
BRA,202052,Female,2,0,0,0,79,81
BRA,202052,Male,2,0,0,0,58,60
BRA,202053,Female,0,0,0,0,125,125
BRA,202053,Male,2,0,0,0,129,131
BRA,202101,Female,4,0,0,0,202,206
BRA,202101,Male,2,0,0,0,158,160
BRA,202102,Female,3,0,0,0,189,192
BRA,202102,Male,1,0,0,0,176,177
BRA,202103,Female,6,0,0,0,205,211
BRA,202103,Male,6,0,0,0,179,185
BRA,202104,Female,1,0,0,0,191,192
BRA,202104,Male,5,0,0,0,187,192
BRA,202105,Female,3,0,0,0,290,293
BRA,202105,Male,2,0,0,0,247,249
BRA,202106,Female,4,0,0,0,318,322
BRA,202106,Male,9,0,0,0,281,290
BRA,202107,Female,3,0,0,0,232,235
BRA,202107,Male,12,0,0,0,226,238
BRA,202108,Female,5,0,0,0,360,365
BRA,202108,Male,6,0,0,0,356,362
BRA,202109,Female,5,0,0,0,306,311
BRA,202109,Male,8,0,0,0,307,315
BRA,202110,Female,10,1,0,0,311,322
BRA,202110,Male,5,1,0,0,342,348
BRA,202111,Female,4,0,0,0,275,279
BRA,202111,Male,4,0,0,0,250,254
BRA,202112,Female,13,0,0,0,313,326
BRA,202112,Male,7,0,0,0,319,326
BRA,202113,Female,9,0,0,0,226,235
BRA,202113,Male,6,0,0,0,223,229
BRA,202114,Female,5,1,0,0,381,387
BRA,202114,Male,14,0,0,0,335,349
BRA,202115,Female,13,0,3,0,379,395
BRA,202115,Male,4,0,1,0,325,330
BRA,202116,Female,15,0,0,0,398,413
BRA,202116,Male,6,0,0,0,343,349
BRA,202117,Female,8,0,3,0,475,486
BRA,202117,Male,3,0,3,0,423,429
BRA,202118,Female,8,0,0,0,519,527
BRA,202118,Male,5,0,0,0,560,565
BRA,202119,Female,9,0,0,0,537,546
BRA,202119,Male,8,0,0,0,513,521
BRA,202120,Female,12,0,0,0,626,638
BRA,202120,Male,11,0,11,0,581,603
BRA,202121,Female,4,0,0,0,539,543
BRA,202121,Male,10,0,2,0,508,520
BRA,202122,Female,6,0,1,0,696,703
BRA,202122,Male,3,0,2,0,722,727
BRA,202123,Female,9,0,5,0,888,902
BRA,202123,Male,7,0,1,0,876,884
BRA,202124,Female,6,0,8,0,590,604
BRA,202124,Male,7,0,4,0,558,569
BRA,202125,Female,6,0,12,0,444,462
BRA,202125,Male,5,0,18,0,475,498
BRA,202126,Female,2,0,57,0,739,798
BRA,202126,Male,5,0,50,0,732,787
BRA,202127,Female,1,0,78,0,624,703
BRA,202127,Male,0,0,91,0,579,670
BRA,202128,Female,3,0,126,0,656,785
BRA,202128,Male,1,0,124,0,590,715
BRA,202129,Female,2,0,158,0,507,667
BRA,202129,Male,2,0,134,0,431,567
BRA,202130,Female,2,0,269,0,396,667
BRA,202130,Male,1,0,271,0,335,607
BRA,202131,Female,1,0,485,0,574,1060
BRA,202131,Male,0,0,377,0,515,892
BRA,202132,Female,2,0,807,0,474,1283
BRA,202132,Male,1,1,644,0,401,1047
BRA,202133,Female,0,0,596,0,246,842
BRA,202133,Male,0,0,491,0,212,703
BRA,202134,Female,2,0,866,0,250,1118
BRA,202134,Male,1,0,720,0,206,927
BRA,202135,Female,0,0,1473,0,172,1645
BRA,202135,Male,1,0,1163,0,182,1346
BRA,202136,Female,0,0,1515,0,126,1641
BRA,202136,Male,0,0,1205,0,99,1304
BRA,202137,Female,0,0,1225,0,153,1378
BRA,202137,Male,0,0,960,0,105,1065
BRA,202138,Female,0,0,764,0,51,815
BRA,202138,Male,0,0,647,0,60,707
BRA,202139,Female,0,0,726,0,43,769
BRA,202139,Male,0,0,591,0,50,641
BRA,202140,Female,0,0,1046,0,38,1084
BRA,202140,Male,0,0,901,0,32,933
BRA,202141,Female,0,0,975,0,18,993
BRA,202141,Male,0,0,853,0,11,864
BRA,202142,Female,0,0,576,0,15,591
BRA,202142,Male,0,0,489,0,9,498
BRA,202143,Female,0,0,465,0,7,472
BRA,202143,Male,0,0,421,0,8,429
BRA,202144,Female,0,0,833,0,4,837
BRA,202144,Male,0,0,712,0,7,719
BRA,202145,Female,0,0,778,0,4,782
