Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
BRA,202009,0,0,0,0,0,8,8
BRA,202010,0,0,0,0,0,20,20
BRA,202011,0,0,0,0,0,59,59
BRA,202012,0,0,0,0,0,197,197
BRA,202013,0,0,0,0,0,199,199
BRA,202014,0,0,0,0,0,237,237
BRA,202015,0,0,0,0,0,225,225
BRA,202016,0,0,0,0,0,283,283
BRA,202017,0,0,0,0,0,300,300
BRA,202018,0,0,0,0,0,185,185
BRA,202019,0,0,0,0,0,137,137
BRA,202020,0,0,0,0,0,115,115
BRA,202021,0,0,0,0,0,74,74
BRA,202022,0,0,0,0,0,74,74
BRA,202023,0,0,0,0,0,125,125
BRA,202024,0,0,0,0,0,87,87
BRA,202025,0,0,0,0,0,95,95
BRA,202026,0,0,0,0,0,131,131
BRA,202027,0,0,0,0,0,187,187
BRA,202028,0,0,0,0,0,94,94
BRA,202029,0,0,0,0,0,88,88
BRA,202030,0,0,0,0,0,100,100
BRA,202031,0,0,0,0,0,133,133
BRA,202032,0,0,0,0,0,111,111
BRA,202033,0,0,0,0,0,141,141
BRA,202034,0,0,0,0,0,112,112
BRA,202035,0,0,0,0,0,83,83
BRA,202036,0,0,0,0,0,151,151
BRA,202037,0,0,0,0,0,121,121
BRA,202038,0,0,0,0,0,123,123
BRA,202039,0,0,0,0,0,99,99
BRA,202040,0,0,0,0,0,115,115
BRA,202041,0,0,0,0,0,111,111
BRA,202042,0,0,0,0,0,129,129
BRA,202043,0,0,0,0,0,117,117
BRA,202044,0,0,0,0,0,121,121
BRA,202045,0,0,0,0,0,155,155
BRA,202046,0,0,0,0,0,148,148
BRA,202047,0,0,0,0,0,240,240
BRA,202048,0,0,0,0,0,322,322
BRA,202049,0,0,0,0,0,223,223
BRA,202050,0,0,0,0,0,234,234
BRA,202051,0,0,0,0,0,269,269
BRA,202052,4,0,0,0,0,267,271
BRA,202053,3,0,0,0,0,329,332
BRA,202101,19,0,0,1,0,507,527
BRA,202102,17,0,0,0,0,474,491
BRA,202103,14,0,0,0,0,485,499
BRA,202104,7,0,4,0,0,459,470
BRA,202105,8,0,1,0,0,620,629
BRA,202106,15,0,0,0,0,686,701
BRA,202107,21,0,0,0,0,613,634
BRA,202108,19,0,0,0,0,972,991
BRA,202109,23,0,0,0,0,885,908
BRA,202110,35,6,0,0,0,936,977
BRA,202111,29,0,0,0,0,802,831
BRA,202112,88,0,1,0,0,1629,1718
BRA,202113,60,0,0,0,0,1076,1136
BRA,202114,95,3,0,0,0,2209,2307
BRA,202115,38,0,4,0,0,1498,1540
BRA,202116,63,0,0,0,0,1952,2015
BRA,202117,33,0,6,0,0,1934,1973
BRA,202118,32,0,0,0,0,1505,1537
BRA,202119,27,0,0,0,0,1619,1646
BRA,202120,69,0,11,0,0,2111,2191
BRA,202121,72,0,2,0,0,1974,2048
BRA,202122,89,0,3,0,0,2393,2485
BRA,202123,81,0,7,0,0,2723,2811
BRA,202124,56,0,15,0,0,2163,2234
BRA,202125,33,0,30,0,0,2190,2253
BRA,202126,53,0,110,0,0,3129,3292
BRA,202127,12,0,173,0,0,2302,2487
BRA,202128,19,0,264,0,0,2571,2854
BRA,202129,16,0,309,0,0,2216,2541
BRA,202130,9,0,558,0,0,1921,2488
BRA,202131,5,0,907,0,0,2041,2953
BRA,202132,5,1,1512,0,0,936,2454
BRA,202133,3,0,1262,0,0,624,1889
BRA,202134,5,0,1813,0,0,588,2406
BRA,202135,1,0,2804,0,0,412,3217
BRA,202136,0,0,2973,0,0,305,3278
BRA,202137,0,0,2573,0,0,341,2914
BRA,202138,0,0,1826,0,0,162,1988
BRA,202139,0,0,2783,0,0,133,2916
BRA,202140,0,0,2926,0,0,84,3010
BRA,202141,0,0,2108,0,0,30,2138
BRA,202142,0,0,2049,0,0,31,2080
BRA,202143,0,0,1733,0,0,17,1750
BRA,202144,0,0,2339,0,0,15,2354
BRA,202145,0,0,2411,0,0,11,2422
BRA,202146,0,0,1923,0,0,8,1931
BRA,202147,0,0,1665,5,0,8,1678
BRA,202148,0,0,1300,5,0,2,1307
BRA,202149,0,0,932,41,0,17,990
BRA,202150,0,0,835,180,0,23,1038
BRA,202151,0,0,505,407,0,73,985
BRA,202152,0,0,223,1518,1,203,1945
BRA,202201,0,0,130,3362,1,455,3948
BRA,202202,0,0,40,2449,0,392,2881
BRA,202203,0,0,5,942,2,150,1099
BRA,202204,0,0,1,866,7,136,1010
BRA,202205,0,0,5,1035,1,182,1223
BRA,202206,0,0,0,156,0,31,187
