Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
CAN,202008,0,0,0,0,2,2
CAN,202009,0,0,0,0,3,3
CAN,202010,0,0,0,0,21,21
CAN,202011,0,0,0,0,158,158
CAN,202012,0,0,0,0,528,528
CAN,202013,0,0,0,0,1203,1203
CAN,202014,0,0,0,0,811,811
CAN,202015,1,0,0,0,505,506
CAN,202016,0,0,0,0,446,446
CAN,202017,0,0,0,0,298,298
CAN,202018,0,0,0,0,303,303
CAN,202019,0,0,0,0,263,263
CAN,202020,4,0,0,0,261,265
CAN,202021,3,0,0,0,194,197
CAN,202022,0,0,0,0,90,90
CAN,202023,1,0,0,0,66,67
CAN,202024,0,0,0,0,67,67
CAN,202025,0,0,0,0,106,106
CAN,202026,0,0,0,0,24,24
CAN,202027,0,0,0,0,30,30
CAN,202028,1,0,0,0,47,48
CAN,202029,0,0,0,0,56,56
CAN,202030,0,0,0,0,66,66
CAN,202031,0,0,0,0,73,73
CAN,202032,0,0,0,0,185,185
CAN,202033,0,0,0,0,78,78
CAN,202034,0,0,0,0,58,58
CAN,202035,0,0,0,0,101,101
CAN,202036,0,0,0,0,100,100
CAN,202037,0,0,0,0,56,56
CAN,202038,0,0,0,0,66,66
CAN,202039,0,0,0,0,97,97
CAN,202040,0,0,0,0,127,127
CAN,202041,0,0,0,0,353,353
CAN,202042,0,0,0,0,324,324
CAN,202043,0,0,0,0,169,169
CAN,202044,0,0,1,0,126,127
CAN,202045,1,0,0,0,197,198
CAN,202046,0,0,0,0,385,385
CAN,202047,0,0,0,0,260,260
CAN,202048,0,0,1,0,356,357
CAN,202049,0,0,0,0,373,373
CAN,202050,0,0,0,0,439,439
CAN,202051,1,0,0,0,596,597
CAN,202052,0,1,0,0,577,578
CAN,202053,2,0,0,0,897,899
CAN,202101,2,16,0,0,1231,1249
CAN,202102,4,15,0,0,1452,1471
CAN,202103,12,5,0,0,1208,1225
CAN,202104,17,4,1,0,849,871
CAN,202105,23,8,0,0,636,667
CAN,202106,110,39,1,0,679,829
CAN,202107,172,24,0,0,530,726
CAN,202108,231,31,0,0,603,865
CAN,202109,159,25,0,0,478,662
CAN,202110,669,12,0,0,600,1281
CAN,202111,873,13,0,0,311,1197
CAN,202112,1378,5,0,0,294,1677
CAN,202113,946,51,1,0,401,1399
CAN,202114,1046,47,2,0,518,1613
CAN,202115,1506,61,3,0,563,2133
CAN,202116,1574,50,11,0,545,2180
CAN,202117,1287,63,28,0,444,1822
CAN,202118,1082,15,26,0,303,1426
CAN,202119,976,3,102,0,261,1342
CAN,202120,787,14,143,0,239,1183
CAN,202121,709,7,132,0,112,960
CAN,202122,589,19,147,0,202,957
CAN,202123,427,7,222,0,137,793
CAN,202124,328,6,261,0,88,683
CAN,202125,227,0,272,0,62,561
CAN,202126,155,0,255,0,41,451
CAN,202127,91,0,235,0,14,340
CAN,202128,125,0,260,0,21,406
CAN,202129,118,0,364,0,12,494
CAN,202130,109,0,543,0,15,667
CAN,202131,149,0,979,0,22,1150
CAN,202132,105,1,1568,0,16,1690
CAN,202133,77,0,2157,0,9,2243
CAN,202134,26,0,1593,0,19,1638
CAN,202135,42,0,1306,0,13,1361
CAN,202136,18,0,876,0,3,897
CAN,202137,7,0,1642,0,3,1652
CAN,202138,3,0,2320,0,1,2324
CAN,202139,2,0,2993,0,2,2997
CAN,202140,1,0,4070,0,2,4073
CAN,202141,3,0,3018,0,1,3022
CAN,202142,0,0,3117,0,0,3117
CAN,202143,0,0,2384,0,0,2384
CAN,202144,0,0,3295,1,1,3297
CAN,202145,0,0,2220,1,1,2222
CAN,202146,0,0,2688,0,2,2690
CAN,202147,0,0,2516,16,5,2537
CAN,202148,0,0,4443,86,2,4531
CAN,202149,0,0,3706,1150,2,4858
CAN,202150,0,0,2449,3227,2,5678
CAN,202151,0,0,843,5215,3,6061
CAN,202152,0,0,289,5247,0,5536
CAN,202201,0,0,171,5499,0,5670
CAN,202202,0,0,101,4421,3,4525
CAN,202203,0,0,38,3674,1,3713
CAN,202204,0,0,23,3623,2,3648
CAN,202205,0,0,9,3983,0,3992
CAN,202206,0,0,3,2121,0,2124
CAN,202207,0,0,1,1124,0,1125
CAN,202208,0,0,0,907,0,907
CAN,202209,0,0,0,542,0,542
CAN,202210,0,0,0,193,0,193
