Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
CAN,202004,Male,0,0,0,0,2,2
CAN,202008,Female,0,0,0,0,1,1
CAN,202008,Male,0,0,0,0,1,1
CAN,202009,Female,0,0,0,0,1,1
CAN,202009,Male,0,0,0,0,1,1
CAN,202010,Female,0,0,0,0,10,10
CAN,202010,Male,0,0,0,0,11,11
CAN,202011,Female,0,0,0,0,73,73
CAN,202011,Male,0,0,0,0,84,84
CAN,202012,Female,0,0,0,0,208,208
CAN,202012,Male,0,0,0,0,322,322
CAN,202013,Female,0,0,0,0,615,615
CAN,202013,Male,0,0,0,0,589,589
CAN,202014,Female,0,0,0,0,490,490
CAN,202014,Male,0,0,0,0,358,358
CAN,202015,Female,1,0,0,0,334,335
CAN,202015,Male,0,0,0,0,255,255
CAN,202016,Female,0,0,0,0,300,300
CAN,202016,Male,0,0,0,0,194,194
CAN,202017,Female,0,0,0,0,177,177
CAN,202017,Male,0,0,0,0,121,121
CAN,202018,Female,0,0,0,0,179,179
CAN,202018,Male,0,0,0,0,124,124
CAN,202019,Female,0,0,0,0,165,165
CAN,202019,Male,0,0,0,0,98,98
CAN,202020,Female,4,0,0,0,147,151
CAN,202020,Male,0,0,0,0,115,115
CAN,202021,Female,3,0,0,0,112,115
CAN,202021,Male,0,0,0,0,82,82
CAN,202022,Female,0,0,0,0,52,52
CAN,202022,Male,0,0,0,0,39,39
CAN,202023,Female,0,0,0,0,35,35
CAN,202023,Male,1,0,0,0,32,33
CAN,202024,Female,0,0,0,0,30,30
CAN,202024,Male,0,0,0,0,37,37
CAN,202025,Female,0,0,0,0,52,52
CAN,202025,Male,0,0,0,0,54,54
CAN,202026,Female,0,0,0,0,6,6
CAN,202026,Male,0,0,0,0,18,18
CAN,202027,Female,0,0,0,0,15,15
CAN,202027,Male,0,0,0,0,15,15
CAN,202028,Female,1,0,0,0,26,27
CAN,202028,Male,0,0,0,0,22,22
CAN,202029,Female,0,0,0,0,36,36
CAN,202029,Male,0,0,0,0,19,19
CAN,202030,Female,0,0,0,0,31,31
CAN,202030,Male,0,0,0,0,35,35
CAN,202031,Female,0,0,0,0,31,31
CAN,202031,Male,0,0,0,0,43,43
CAN,202032,Female,0,0,0,0,71,71
CAN,202032,Male,0,0,0,0,115,115
CAN,202033,Female,0,0,0,0,43,43
CAN,202033,Male,0,0,0,0,37,37
CAN,202034,Female,0,0,0,0,32,32
