Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
CAN,202001,0,0,0,0,1,1
CAN,202004,0,0,0,0,2,2
CAN,202008,0,0,0,0,2,2
CAN,202009,0,0,0,0,4,4
CAN,202010,0,0,0,0,22,22
CAN,202011,0,0,0,0,186,186
CAN,202012,0,0,0,0,678,678
CAN,202013,0,0,0,0,1474,1474
CAN,202014,0,0,0,0,1071,1071
CAN,202015,1,0,0,0,891,892
CAN,202016,0,0,0,0,1096,1096
CAN,202017,0,0,0,0,783,783
CAN,202018,0,0,0,0,574,574
CAN,202019,0,0,0,0,433,433
CAN,202020,4,0,0,0,392,396
CAN,202021,3,0,0,0,256,259
CAN,202022,0,0,0,0,132,132
CAN,202023,1,0,0,0,88,89
CAN,202024,0,0,0,0,87,87
CAN,202025,0,0,0,0,118,118
CAN,202026,0,0,0,0,51,51
CAN,202027,0,0,0,0,56,56
CAN,202028,1,0,0,0,85,86
CAN,202029,0,0,0,0,100,100
CAN,202030,0,0,0,0,148,148
CAN,202031,0,0,0,0,159,159
CAN,202032,0,0,0,0,278,278
CAN,202033,0,0,0,0,305,305
CAN,202034,0,0,0,0,299,299
CAN,202035,0,0,0,0,390,390
CAN,202036,0,0,0,0,458,458
CAN,202037,0,0,0,0,294,294
CAN,202038,0,0,0,0,345,345
CAN,202039,0,0,0,0,427,427
CAN,202040,0,0,0,0,446,446
CAN,202041,0,0,0,0,581,581
CAN,202042,0,0,0,0,635,635
CAN,202043,0,0,0,0,486,486
CAN,202044,0,0,1,0,463,464
CAN,202045,1,0,0,0,833,834
CAN,202046,1,0,0,0,1224,1225
CAN,202047,0,0,0,0,795,795
CAN,202048,0,0,1,0,1492,1493
CAN,202049,0,0,0,0,923,923
CAN,202050,0,0,0,0,1034,1034
CAN,202051,4,1,0,0,1240,1245
CAN,202052,2,6,0,0,1107,1115
CAN,202053,6,3,1,0,1498,1508
CAN,202101,12,17,0,0,1877,1906
CAN,202102,27,23,0,0,2386,2436
CAN,202103,43,14,0,0,2253,2310
CAN,202104,49,9,1,0,1621,1680
CAN,202105,58,10,0,0,1316,1384
CAN,202106,200,39,1,0,1719,1959
CAN,202107,339,24,0,0,1616,1979
CAN,202108,556,36,0,0,1538,2130
CAN,202109,712,37,1,0,1638,2388
CAN,202110,1278,20,0,0,2043,3341
CAN,202111,1754,24,0,0,1832,3610
CAN,202112,2732,16,1,0,2691,5440
CAN,202113,1856,73,3,0,2414,4346
CAN,202114,2131,77,14,0,2954,5176
CAN,202115,2795,92,39,0,2552,5478
CAN,202116,2865,67,71,0,2126,5129
CAN,202117,3296,87,117,0,2488,5988
CAN,202118,2909,30,162,0,1669,4770
CAN,202119,2353,15,302,0,1411,4081
CAN,202120,1938,22,313,0,1211,3484
CAN,202121,1524,8,303,0,783,2618
CAN,202122,1164,21,250,0,708,2143
CAN,202123,1194,11,420,0,604,2229
CAN,202124,946,10,588,0,506,2050
CAN,202125,894,18,480,0,370,1762
CAN,202126,309,10,416,0,173,908
CAN,202127,209,4,426,0,139,778
CAN,202128,180,2,507,0,106,795
CAN,202129,159,3,1278,0,103,1543
CAN,202130,162,1,2493,0,68,2724
CAN,202131,191,0,3916,0,89,4196
CAN,202132,149,1,5702,0,68,5920
CAN,202133,95,0,6890,0,33,7018
CAN,202134,40,0,7273,0,29,7342
CAN,202135,56,0,6799,0,29,6884
CAN,202136,30,0,5472,0,5,5507
CAN,202137,9,0,3771,0,5,3785
CAN,202138,3,0,3248,0,1,3252
CAN,202139,2,0,3755,0,2,3759
CAN,202140,1,0,4714,0,4,4719
CAN,202141,5,0,3485,0,2,3492
CAN,202142,0,0,3795,0,0,3795
CAN,202143,1,1,2965,0,3,2970
CAN,202144,0,0,3958,2,1,3961
CAN,202145,0,0,2794,1,1,2796
CAN,202146,1,0,3274,0,3,3278
CAN,202147,8,4,3406,17,28,3463
CAN,202148,0,0,5967,125,2,6094
CAN,202149,0,0,4739,1428,5,6172
CAN,202150,0,0,2985,4194,2,7181
CAN,202151,0,0,1132,6164,3,7299
CAN,202152,0,0,377,6262,0,6639
CAN,202201,0,0,270,6881,1,7152
CAN,202202,0,0,144,5457,3,5604
CAN,202203,0,0,58,4585,1,4644
CAN,202204,0,0,36,4838,2,4876
CAN,202205,0,0,13,4875,0,4888
CAN,202206,0,0,7,2805,0,2812
CAN,202207,0,0,2,1666,0,1668
CAN,202208,0,0,0,1090,0,1090
CAN,202209,0,0,0,635,0,635
CAN,202210,0,0,0,240,0,240
