Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
CHL,202008,70 – 80,0,0,0,0,0,1,1
CHL,202010,10 – 20,0,0,0,0,0,2,2
CHL,202010,20 – 30,0,0,0,0,0,1,1
CHL,202010,30 – 40,0,0,0,0,0,3,3
CHL,202010,40 – 50,0,0,0,0,0,1,1
CHL,202010,50 – 60,0,0,0,0,0,2,2
CHL,202011,10 – 20,0,0,0,0,0,2,2
CHL,202011,20 – 30,0,0,0,0,0,9,9
CHL,202011,30 – 40,0,0,0,0,0,12,12
CHL,202011,40 – 50,0,0,0,0,0,7,7
CHL,202011,50 – 60,0,0,0,0,0,6,6
CHL,202011,60 – 70,0,0,0,0,0,2,2
CHL,202011,70 – 80,0,0,0,0,0,1,1
CHL,202012,10 – 20,0,0,0,0,0,2,2
CHL,202012,20 – 30,0,0,0,0,0,23,23
CHL,202012,30 – 40,0,0,0,0,0,31,31
CHL,202012,40 – 50,0,0,0,0,0,12,12
CHL,202012,50 – 60,0,0,0,0,0,12,12
CHL,202012,60 – 70,0,0,0,0,0,12,12
CHL,202012,70 – 80,0,0,0,0,0,2,2
CHL,202013,20 – 30,0,0,0,0,0,9,9
CHL,202013,30 – 40,0,0,0,0,0,24,24
CHL,202013,40 – 50,0,0,0,0,0,11,11
CHL,202013,50 – 60,0,0,0,0,0,13,13
CHL,202013,60 – 70,0,0,0,0,0,4,4
CHL,202013,70 – 80,0,0,0,0,0,6,6
CHL,202013,>= 80,0,0,0,0,0,3,3
CHL,202014,1 – 5,0,0,0,0,0,1,1
CHL,202014,10 – 20,0,0,0,0,0,2,2
CHL,202014,20 – 30,0,0,0,0,0,11,11
CHL,202014,30 – 40,0,0,0,0,0,14,14
CHL,202014,40 – 50,0,0,0,0,0,13,13
CHL,202014,5 – 10,0,0,0,0,0,1,1
CHL,202014,50 – 60,0,0,0,0,0,6,6
CHL,202014,60 – 70,0,0,0,0,0,5,5
CHL,202014,70 – 80,0,0,0,0,0,8,8
CHL,202014,>= 80,0,0,0,0,0,2,2
CHL,202015,10 – 20,0,0,0,0,0,1,1
CHL,202015,20 – 30,0,0,0,0,0,11,11
CHL,202015,30 – 40,0,0,0,0,0,6,6
CHL,202015,40 – 50,0,0,0,0,0,4,4
CHL,202015,50 – 60,0,0,0,0,0,5,5
CHL,202015,60 – 70,0,0,0,0,0,2,2
CHL,202015,70 – 80,0,0,0,0,0,4,4
CHL,202015,>= 80,0,0,0,0,0,1,1
CHL,202016,20 – 30,0,0,0,0,0,3,3
CHL,202016,30 – 40,0,0,0,0,0,7,7
CHL,202016,40 – 50,0,0,0,0,0,2,2
CHL,202016,60 – 70,0,0,0,0,0,1,1
CHL,202017,10 – 20,0,0,0,0,0,2,2
CHL,202017,20 – 30,0,0,0,0,0,5,5
CHL,202017,30 – 40,0,0,0,0,0,3,3
CHL,202017,40 – 50,0,0,0,0,0,4,4
CHL,202017,50 – 60,0,0,0,0,0,2,2
CHL,202017,60 – 70,0,0,0,0,0,2,2
CHL,202017,70 – 80,0,0,0,0,0,1,1
CHL,202017,>= 80,0,0,0,0,0,14,14
CHL,202018,10 – 20,0,0,0,0,0,5,5
CHL,202018,20 – 30,0,0,0,0,0,15,15
CHL,202018,30 – 40,0,0,0,0,0,18,18
CHL,202018,40 – 50,0,0,0,0,0,11,11
CHL,202018,50 – 60,0,0,0,0,0,10,10
CHL,202018,60 – 70,0,0,0,0,0,4,4
CHL,202018,70 – 80,0,0,0,0,0,1,1
CHL,202019,20 – 30,0,0,0,0,0,5,5
CHL,202019,30 – 40,0,0,0,0,0,9,9
CHL,202019,40 – 50,0,0,0,0,0,4,4
CHL,202019,50 – 60,0,0,0,0,0,1,1
CHL,202019,60 – 70,0,0,0,0,0,1,1
CHL,202019,70 – 80,0,0,0,0,0,1,1
CHL,202020,1 – 5,0,0,0,0,0,2,2
CHL,202020,10 – 20,0,0,0,0,0,4,4
CHL,202020,20 – 30,0,0,0,0,0,8,8
CHL,202020,30 – 40,0,0,0,0,0,13,13
CHL,202020,40 – 50,0,0,0,0,0,11,11
CHL,202020,50 – 60,0,0,0,0,0,17,17
CHL,202020,60 – 70,0,0,0,0,0,7,7
CHL,202020,70 – 80,0,0,0,0,0,4,4
CHL,202020,< 1,0,0,0,0,0,2,2
CHL,202020,>= 80,0,0,0,0,0,2,2
CHL,202021,10 – 20,0,0,0,0,0,1,1
CHL,202021,20 – 30,0,0,0,0,0,1,1
CHL,202021,30 – 40,0,0,0,0,0,4,4
CHL,202021,40 – 50,0,0,0,0,0,5,5
CHL,202021,5 – 10,0,0,0,0,0,1,1
CHL,202021,60 – 70,0,0,0,0,0,5,5
CHL,202021,>= 80,0,0,0,0,0,2,2
CHL,202022,10 – 20,0,0,0,0,0,1,1
CHL,202022,20 – 30,0,0,0,0,0,7,7
CHL,202022,30 – 40,0,0,0,0,0,9,9
CHL,202022,40 – 50,0,0,0,0,0,1,1
CHL,202022,5 – 10,0,0,0,0,0,1,1
CHL,202022,50 – 60,0,0,0,0,0,5,5
CHL,202022,60 – 70,0,0,0,0,0,7,7
CHL,202022,70 – 80,0,0,0,0,0,4,4
CHL,202022,< 1,0,0,0,0,0,2,2
CHL,202022,>= 80,0,0,0,0,0,1,1
CHL,202023,1 – 5,0,0,0,0,0,6,6
CHL,202023,10 – 20,0,0,0,0,0,12,12
CHL,202023,20 – 30,0,0,0,0,0,5,5
CHL,202023,30 – 40,0,0,0,0,0,1,1
CHL,202023,40 – 50,0,0,0,0,0,4,4
CHL,202023,5 – 10,0,0,0,0,0,15,15
CHL,202023,50 – 60,0,0,0,0,0,4,4
CHL,202023,60 – 70,0,0,0,0,0,11,11
CHL,202023,70 – 80,0,0,0,0,0,3,3
CHL,202023,< 1,0,0,0,0,0,1,1
CHL,202023,>= 80,0,0,0,0,0,5,5
CHL,202024,20 – 30,0,0,0,0,0,1,1
CHL,202024,30 – 40,0,0,0,0,0,1,1
CHL,202024,60 – 70,0,0,0,0,0,1,1
CHL,202025,70 – 80,0,0,0,0,0,1,1
CHL,202026,20 – 30,0,0,0,0,0,10,10
CHL,202026,30 – 40,0,0,0,0,0,13,13
CHL,202026,40 – 50,0,0,0,0,0,8,8
CHL,202026,50 – 60,0,0,0,0,0,4,4
CHL,202026,60 – 70,0,0,0,0,0,2,2
CHL,202026,70 – 80,0,0,0,0,0,2,2
CHL,202026,>= 80,0,0,0,0,0,3,3
CHL,202027,20 – 30,0,0,0,0,0,2,2
CHL,202027,30 – 40,0,0,0,0,0,6,6
CHL,202027,40 – 50,0,0,0,0,0,2,2
CHL,202027,50 – 60,0,0,0,0,0,1,1
CHL,202027,60 – 70,0,0,0,0,0,1,1
CHL,202027,70 – 80,0,0,0,0,0,3,3
CHL,202028,60 – 70,0,0,0,0,0,1,1
CHL,202029,10 – 20,0,0,0,0,0,4,4
CHL,202029,20 – 30,0,0,0,0,0,1,1
CHL,202029,30 – 40,0,0,0,0,0,6,6
CHL,202029,40 – 50,0,0,0,0,0,6,6
CHL,202029,50 – 60,0,0,0,0,0,4,4
CHL,202029,60 – 70,0,0,0,0,0,5,5
CHL,202029,70 – 80,0,0,0,0,0,2,2
CHL,202029,>= 80,0,0,0,0,0,1,1
CHL,202030,10 – 20,0,0,0,0,0,5,5
CHL,202030,20 – 30,0,0,0,0,0,2,2
CHL,202030,30 – 40,0,0,0,0,0,5,5
CHL,202030,40 – 50,0,0,0,0,0,3,3
CHL,202030,50 – 60,0,0,0,0,0,4,4
CHL,202030,60 – 70,0,0,0,0,0,1,1
CHL,202030,70 – 80,0,0,0,0,0,1,1
CHL,202031,30 – 40,0,0,0,0,0,1,1
CHL,202031,40 – 50,0,0,0,0,0,3,3
CHL,202031,50 – 60,0,0,0,0,0,2,2
CHL,202031,60 – 70,0,0,0,0,0,1,1
CHL,202032,30 – 40,0,0,0,0,0,1,1
CHL,202032,50 – 60,0,0,0,0,0,1,1
CHL,202033,20 – 30,0,0,0,0,0,4,4
CHL,202033,40 – 50,0,0,0,0,0,2,2
CHL,202033,5 – 10,0,0,0,0,0,1,1
CHL,202034,10 – 20,0,0,0,0,0,3,3
CHL,202034,20 – 30,0,0,0,0,0,8,8
CHL,202034,30 – 40,0,0,0,0,0,12,12
CHL,202034,40 – 50,0,0,0,0,0,8,8
CHL,202034,50 – 60,0,0,0,0,0,5,5
CHL,202034,60 – 70,0,0,0,0,0,2,2
CHL,202034,70 – 80,0,0,0,0,0,2,2
CHL,202034,>= 80,0,0,0,0,0,4,4
CHL,202035,20 – 30,0,0,0,0,0,1,1
CHL,202035,30 – 40,0,0,0,0,0,2,2
CHL,202035,40 – 50,0,0,0,0,0,3,3
CHL,202035,50 – 60,0,0,0,0,0,1,1
CHL,202036,1 – 5,0,0,0,0,0,1,1
CHL,202036,10 – 20,0,0,0,0,0,3,3
CHL,202036,20 – 30,0,0,0,0,0,6,6
CHL,202036,30 – 40,0,0,0,0,0,5,5
CHL,202036,40 – 50,0,0,0,0,0,6,6
CHL,202036,5 – 10,0,0,0,0,0,1,1
CHL,202036,50 – 60,0,0,0,0,0,7,7
CHL,202036,60 – 70,0,0,0,0,0,4,4
CHL,202036,70 – 80,0,0,0,0,0,3,3
CHL,202036,>= 80,0,0,0,0,0,1,1
CHL,202037,10 – 20,0,0,0,0,0,1,1
CHL,202037,20 – 30,0,0,0,0,0,5,5
CHL,202037,30 – 40,0,0,0,0,0,1,1
CHL,202037,40 – 50,0,0,0,0,0,4,4
CHL,202037,50 – 60,0,0,0,0,0,1,1
CHL,202037,60 – 70,0,0,0,0,0,2,2
CHL,202037,70 – 80,0,0,0,0,0,3,3
CHL,202037,>= 80,0,0,0,0,0,2,2
CHL,202038,10 – 20,0,0,0,0,0,1,1
CHL,202038,20 – 30,0,0,0,0,0,1,1
CHL,202038,30 – 40,0,0,0,0,0,1,1
CHL,202038,40 – 50,0,0,0,0,0,3,3
CHL,202039,1 – 5,0,0,0,0,0,1,1
CHL,202039,10 – 20,0,0,0,0,0,1,1
CHL,202039,20 – 30,0,0,0,0,0,3,3
CHL,202039,30 – 40,0,0,0,0,0,5,5
CHL,202039,40 – 50,0,0,0,0,0,1,1
CHL,202039,50 – 60,0,0,0,0,0,5,5
CHL,202039,60 – 70,0,0,0,0,0,4,4
CHL,202039,70 – 80,0,0,0,0,0,4,4
CHL,202039,>= 80,0,0,0,0,0,2,2
CHL,202040,10 – 20,0,0,0,0,0,1,1
CHL,202040,20 – 30,0,0,0,0,0,8,8
CHL,202040,30 – 40,0,0,0,0,0,6,6
CHL,202040,40 – 50,0,0,0,0,0,4,4
CHL,202040,50 – 60,0,0,0,0,0,1,1
CHL,202040,60 – 70,0,0,0,0,0,6,6
CHL,202040,>= 80,0,0,0,0,0,3,3
CHL,202041,1 – 5,0,0,0,0,0,2,2
CHL,202041,10 – 20,0,0,0,0,0,2,2
CHL,202041,20 – 30,0,0,0,0,0,9,9
CHL,202041,30 – 40,0,0,0,0,0,9,9
CHL,202041,40 – 50,0,0,0,0,0,10,10
CHL,202041,5 – 10,0,0,0,0,0,1,1
CHL,202041,50 – 60,0,0,0,0,0,4,4
CHL,202041,60 – 70,0,0,0,0,0,7,7
CHL,202042,10 – 20,0,0,0,0,0,1,1
CHL,202042,20 – 30,0,0,0,0,0,7,7
CHL,202042,30 – 40,0,0,0,0,0,8,8
CHL,202042,40 – 50,0,0,0,0,0,8,8
CHL,202042,50 – 60,0,0,0,0,0,3,3
CHL,202042,60 – 70,0,0,0,0,0,4,4
CHL,202042,70 – 80,0,0,0,0,0,5,5
CHL,202042,>= 80,0,0,0,0,0,1,1
CHL,202043,20 – 30,0,0,0,0,0,1,1
