Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
CHL,202008,Male,0,0,0,0,1,1
CHL,202010,Female,0,0,0,0,4,4
CHL,202010,Male,0,0,0,0,5,5
CHL,202011,Female,0,0,0,0,17,17
CHL,202011,Male,0,0,0,0,23,23
CHL,202012,Female,0,0,0,0,52,52
CHL,202012,Male,0,0,0,0,47,47
CHL,202013,Female,0,0,0,0,30,30
CHL,202013,Male,0,0,0,0,40,40
CHL,202014,Female,0,0,0,0,34,34
CHL,202014,Male,0,0,0,0,29,29
CHL,202015,Female,0,0,0,0,11,11
CHL,202015,Male,0,0,0,0,23,23
CHL,202016,Female,0,0,0,0,8,8
CHL,202016,Male,0,0,0,0,5,5
CHL,202017,Female,0,0,0,0,22,22
CHL,202017,Male,0,0,0,0,12,12
CHL,202018,Female,0,0,0,0,20,20
CHL,202018,Male,0,0,0,0,44,44
CHL,202019,Female,0,0,0,0,10,10
CHL,202019,Male,0,0,0,0,11,11
CHL,202020,Female,0,0,0,0,35,35
CHL,202020,Male,0,0,0,0,36,36
CHL,202021,Female,0,0,0,0,7,7
CHL,202021,Male,0,0,0,0,12,12
CHL,202022,Female,0,0,0,0,25,25
CHL,202022,Male,0,0,0,0,18,18
CHL,202023,Female,0,0,0,0,29,29
CHL,202023,Male,0,0,0,0,39,39
CHL,202024,Female,0,0,0,0,1,1
CHL,202024,Male,0,0,0,0,2,2
CHL,202025,Male,0,0,0,0,1,1
CHL,202026,Female,0,0,0,0,16,16
CHL,202026,Male,0,0,0,0,26,26
CHL,202027,Female,0,0,0,0,9,9
CHL,202027,Male,0,0,0,0,7,7
CHL,202028,Female,0,0,0,0,1,1
CHL,202029,Female,0,0,0,0,16,16
CHL,202029,Male,0,0,0,0,13,13
CHL,202030,Female,0,0,0,0,14,14
CHL,202030,Male,0,0,0,0,12,12
CHL,202031,Female,0,0,0,0,3,3
CHL,202031,Male,0,0,0,0,8,8
CHL,202032,Female,0,0,0,0,6,6
CHL,202032,Male,0,0,0,0,3,3
CHL,202033,Female,0,0,0,0,7,7
CHL,202033,Male,0,0,0,0,1,1
CHL,202034,Female,0,0,0,0,18,18
CHL,202034,Male,0,0,0,0,26,26
CHL,202035,Female,0,0,0,0,5,5
CHL,202035,Male,0,0,0,0,2,2
CHL,202036,Female,0,0,0,0,11,11
CHL,202036,Male,0,0,0,0,26,26
CHL,202037,Female,0,0,0,0,10,10
CHL,202037,Male,0,0,0,0,9,9
CHL,202038,Female,0,0,0,0,3,3
CHL,202038,Male,0,0,0,0,3,3
CHL,202039,Female,0,0,0,0,14,14
CHL,202039,Male,0,0,0,0,12,12
CHL,202040,Female,0,0,0,0,18,18
CHL,202040,Male,0,0,0,0,11,11
CHL,202041,Female,0,0,0,0,23,23
CHL,202041,Male,0,0,0,0,21,21
CHL,202042,Female,0,0,0,0,20,20
CHL,202042,Male,0,0,0,0,17,17
CHL,202043,Female,0,0,0,0,6,6
CHL,202043,Male,0,0,0,0,1,1
CHL,202044,Female,0,0,0,0,10,10
CHL,202044,Male,0,0,0,0,4,4
CHL,202046,Female,0,0,0,0,7,7
CHL,202046,Male,0,0,0,0,6,6
CHL,202047,Female,0,0,0,0,1,1
CHL,202047,Male,0,0,0,0,3,3
CHL,202048,Male,0,0,0,0,1,1
CHL,202049,Male,0,0,0,0,4,4
CHL,202050,Female,0,0,0,0,6,6
CHL,202050,Male,0,0,0,0,5,5
CHL,202051,Female,0,0,0,0,9,9
CHL,202051,Male,0,0,0,0,8,8
CHL,202052,Female,1,0,0,0,14,15
CHL,202052,Male,0,0,0,0,26,26
CHL,202053,Female,3,0,0,0,15,18
CHL,202053,Male,5,0,1,0,17,23
CHL,202101,Female,2,0,0,0,23,25
CHL,202101,Male,1,0,0,0,27,28
CHL,202102,Female,0,0,0,0,24,24
CHL,202102,Male,0,0,0,0,20,20
CHL,202103,Female,0,0,0,0,15,15
CHL,202103,Male,0,0,0,0,7,7
CHL,202104,Female,0,0,0,0,16,16
CHL,202104,Male,0,0,0,0,6,6
CHL,202105,Female,0,0,0,0,16,16
CHL,202105,Male,1,0,0,0,13,14
CHL,202106,Female,1,0,0,0,18,19
CHL,202106,Male,1,0,0,0,23,24
CHL,202107,Female,0,0,0,0,19,19
CHL,202107,Male,1,0,0,0,28,29
CHL,202108,Female,2,0,0,0,25,27
CHL,202108,Male,3,0,0,0,26,29
CHL,202109,Female,4,0,0,0,16,20
CHL,202109,Male,2,0,0,0,10,12
CHL,202110,Female,2,0,0,0,23,25
CHL,202110,Male,3,0,0,0,29,32
CHL,202111,Female,3,0,0,0,43,46
CHL,202111,Male,3,0,0,0,37,40
CHL,202112,Female,1,0,0,0,52,53
CHL,202112,Male,3,0,0,0,44,47
CHL,202113,Female,7,0,0,0,64,71
CHL,202113,Male,8,0,0,0,60,68
CHL,202114,Female,6,1,0,0,85,92
CHL,202114,Male,8,1,0,0,85,94
CHL,202115,Female,3,0,0,0,78,81
CHL,202115,Male,5,0,0,0,74,79
