Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
COL,202010,,0,0,0,0,0,1,1
COL,202011,,0,0,0,0,0,1,1
COL,202011,20 – 30,0,0,0,0,0,5,5
COL,202011,30 – 40,0,0,0,0,0,1,1
COL,202011,40 – 50,0,0,0,0,0,6,6
COL,202011,5 – 10,0,0,0,0,0,1,1
COL,202011,50 – 60,0,0,0,0,0,4,4
COL,202011,60 – 70,0,0,0,0,0,1,1
COL,202012,10 – 20,0,0,0,0,0,1,1
COL,202012,20 – 30,0,0,0,0,0,4,4
COL,202012,30 – 40,0,0,0,0,0,1,1
COL,202012,40 – 50,0,0,0,0,0,5,5
COL,202012,50 – 60,0,0,0,0,0,6,6
COL,202012,60 – 70,0,0,0,0,0,2,2
COL,202012,70 – 80,0,0,0,0,0,3,3
COL,202012,>= 80,0,0,0,0,0,1,1
COL,202013,1 – 5,0,0,0,0,0,1,1
COL,202013,20 – 30,0,0,0,0,0,2,2
COL,202013,30 – 40,0,0,0,0,0,3,3
COL,202013,40 – 50,0,0,0,0,0,6,6
COL,202013,50 – 60,0,0,0,0,0,7,7
COL,202013,60 – 70,0,0,0,0,0,1,1
COL,202013,70 – 80,0,0,0,0,0,4,4
COL,202013,>= 80,0,0,0,0,0,1,1
COL,202014,10 – 20,0,0,0,0,0,1,1
COL,202014,20 – 30,0,0,0,0,0,7,7
COL,202014,30 – 40,0,0,0,0,0,15,15
COL,202014,40 – 50,0,0,0,0,0,11,11
COL,202014,50 – 60,0,0,0,0,0,14,14
COL,202014,60 – 70,0,0,0,0,0,10,10
COL,202014,70 – 80,0,0,0,0,0,12,12
COL,202014,>= 80,0,0,0,0,0,2,2
COL,202015,20 – 30,0,0,0,0,0,3,3
COL,202015,30 – 40,0,0,0,0,0,4,4
COL,202015,40 – 50,0,0,0,0,0,2,2
COL,202015,50 – 60,0,0,0,0,0,1,1
COL,202015,60 – 70,0,0,0,0,0,2,2
COL,202015,70 – 80,0,0,0,0,0,1,1
COL,202016,10 – 20,0,0,0,0,0,1,1
COL,202016,20 – 30,0,0,0,0,0,2,2
COL,202016,30 – 40,0,0,0,0,0,7,7
COL,202016,40 – 50,0,0,0,0,0,2,2
COL,202016,50 – 60,0,0,0,0,0,2,2
COL,202016,60 – 70,0,0,0,0,0,1,1
COL,202016,70 – 80,0,0,0,0,0,1,1
COL,202016,>= 80,0,0,0,0,0,1,1
COL,202017,10 – 20,0,0,0,0,0,4,4
COL,202017,20 – 30,0,0,0,0,0,3,3
COL,202017,30 – 40,0,0,0,0,0,4,4
COL,202017,40 – 50,0,0,0,0,0,1,1
COL,202017,50 – 60,0,0,0,0,0,1,1
COL,202017,60 – 70,0,0,0,0,0,3,3
COL,202018,10 – 20,0,0,0,0,0,2,2
COL,202018,20 – 30,0,0,0,0,0,8,8
COL,202018,30 – 40,0,0,0,0,0,5,5
COL,202018,40 – 50,0,0,0,0,0,4,4
COL,202018,5 – 10,0,0,0,0,0,1,1
COL,202018,50 – 60,0,0,0,0,0,2,2
COL,202018,60 – 70,0,0,0,0,0,5,5
COL,202018,70 – 80,0,0,0,0,0,2,2
COL,202018,>= 80,0,0,0,0,0,1,1
COL,202019,1 – 5,0,0,0,0,0,1,1
COL,202019,10 – 20,0,0,0,0,0,2,2
COL,202019,20 – 30,0,0,0,0,0,9,9
COL,202019,30 – 40,0,0,0,0,0,9,9
COL,202019,40 – 50,0,0,0,0,0,8,8
COL,202019,5 – 10,0,0,0,0,0,1,1
COL,202019,50 – 60,0,0,0,0,0,8,8
COL,202019,60 – 70,0,0,0,0,0,10,10
COL,202019,70 – 80,0,0,0,0,0,4,4
