Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
COL,202010,0,0,0,0,1,1
COL,202011,0,0,0,0,19,19
COL,202012,0,0,0,0,23,23
COL,202013,0,0,0,0,25,25
COL,202014,0,0,0,0,73,73
COL,202015,0,0,0,0,13,13
COL,202016,0,0,0,0,18,18
COL,202017,0,0,0,0,16,16
COL,202018,0,0,0,0,30,30
COL,202019,0,0,0,0,54,54
COL,202020,0,0,0,0,1,1
COL,202021,0,0,0,0,1,1
COL,202022,0,0,0,0,3,3
COL,202023,0,0,0,0,5,5
COL,202024,0,0,0,0,3,3
COL,202025,0,0,0,0,11,11
COL,202026,0,0,0,0,19,19
COL,202027,0,0,0,0,7,7
COL,202028,0,0,0,0,18,18
COL,202029,0,0,0,0,12,12
COL,202030,0,0,0,0,5,5
COL,202031,0,0,0,0,4,4
COL,202032,0,0,0,0,18,18
COL,202033,0,0,0,0,2,2
COL,202034,0,0,0,0,4,4
COL,202035,0,0,0,0,1,1
COL,202036,0,0,0,0,2,2
COL,202037,0,0,0,0,12,12
COL,202038,0,0,0,0,2,2
COL,202039,0,0,0,0,4,4
COL,202040,0,0,0,0,1,1
COL,202041,0,0,0,0,19,19
COL,202042,0,0,0,0,3,3
COL,202043,0,0,0,0,6,6
COL,202044,0,0,0,0,4,4
COL,202045,0,0,0,0,3,3
COL,202046,0,0,0,0,6,6
COL,202047,0,0,0,0,5,5
COL,202048,0,0,0,0,7,7
COL,202049,0,0,0,0,11,11
COL,202050,0,0,1,0,6,7
COL,202051,0,0,0,0,22,22
COL,202052,0,0,0,0,24,24
COL,202053,0,0,1,0,62,63
COL,202101,0,0,0,0,42,42
COL,202102,0,0,0,0,50,50
COL,202103,0,0,0,0,43,43
COL,202104,0,0,0,0,18,18
COL,202105,0,0,0,0,10,10
COL,202106,0,0,1,0,11,12
COL,202107,2,0,1,0,11,14
COL,202108,1,0,0,0,19,20
COL,202109,1,0,0,0,47,48
COL,202110,1,0,0,0,45,46
COL,202111,2,0,0,0,33,35
COL,202112,8,0,0,0,51,59
COL,202113,7,0,0,0,81,88
COL,202114,35,0,0,0,429,464
COL,202115,45,0,0,0,282,327
COL,202116,10,0,0,0,207,217
COL,202117,7,0,0,0,219,226
COL,202118,7,0,0,0,175,182
COL,202119,1,0,1,0,176,178
COL,202120,3,0,1,0,126,130
COL,202121,2,0,0,0,69,71
COL,202122,0,0,1,0,104,105
COL,202123,0,0,1,0,161,162
COL,202124,0,0,0,0,108,108
COL,202125,0,0,4,0,121,125
COL,202126,0,0,3,0,218,221
COL,202127,1,0,7,0,220,228
COL,202128,0,0,33,0,456,489
COL,202129,0,0,26,0,428,454
COL,202130,1,0,30,0,372,403
COL,202131,1,0,84,0,517,602
COL,202132,1,0,79,0,321,401
COL,202133,1,0,142,0,275,418
COL,202134,1,0,137,0,215,353
COL,202135,0,0,94,0,114,208
COL,202136,0,0,121,0,77,198
COL,202137,0,0,178,0,117,295
COL,202138,0,0,284,0,138,422
COL,202139,0,0,335,0,118,453
COL,202140,1,0,373,0,82,456
COL,202141,0,0,333,0,60,393
COL,202142,0,0,286,0,52,338
COL,202143,0,0,289,0,38,327
COL,202144,0,0,346,0,33,379
COL,202145,0,0,289,0,36,325
COL,202146,0,0,226,0,19,245
COL,202147,0,0,155,0,17,172
COL,202148,0,0,173,1,17,191
COL,202149,0,0,120,10,8,138
COL,202150,0,0,99,48,25,172
COL,202151,0,0,35,155,15,205
COL,202152,0,0,18,229,5,252
COL,202201,0,0,9,176,7,192
COL,202202,0,0,1,14,2,17
