Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
DEU,202005,50 – 60,0,0,0,0,1,1
DEU,202006,1 – 5,0,0,0,0,1,1
DEU,202006,30 – 40,0,0,0,0,1,1
DEU,202007,1 – 5,0,0,0,0,3,3
DEU,202009,20 – 30,0,0,0,0,1,1
DEU,202009,40 – 50,0,0,0,0,1,1
DEU,202010,1 – 5,0,0,0,0,1,1
DEU,202010,10 – 20,0,0,0,0,1,1
DEU,202010,20 – 30,0,0,0,0,13,13
DEU,202010,30 – 40,0,0,0,0,13,13
DEU,202010,40 – 50,0,0,0,0,18,18
DEU,202010,50 – 60,0,0,0,0,20,20
DEU,202010,60 – 70,0,0,0,0,7,7
DEU,202010,70 – 80,0,0,0,0,1,1
DEU,202010,>= 80,0,0,0,0,1,1
DEU,202011,10 – 20,0,0,0,0,1,1
DEU,202011,20 – 30,0,0,0,0,11,11
DEU,202011,30 – 40,0,0,0,0,23,23
DEU,202011,40 – 50,0,0,0,0,18,18
DEU,202011,5 – 10,0,0,0,0,1,1
DEU,202011,50 – 60,0,0,0,0,24,24
DEU,202011,60 – 70,0,0,0,0,10,10
DEU,202011,70 – 80,0,0,0,0,1,1
DEU,202011,>= 80,0,0,0,0,6,6
DEU,202012,10 – 20,0,0,0,0,1,1
DEU,202012,20 – 30,0,0,0,0,13,13
DEU,202012,30 – 40,0,0,0,0,24,24
DEU,202012,40 – 50,0,0,0,0,20,20
DEU,202012,50 – 60,0,0,0,0,31,31
DEU,202012,60 – 70,0,0,0,0,17,17
DEU,202012,70 – 80,0,0,0,0,18,18
DEU,202012,>= 80,0,0,0,0,19,19
DEU,202013,1 – 5,0,0,0,0,1,1
DEU,202013,20 – 30,0,0,0,0,12,12
DEU,202013,30 – 40,0,0,0,0,19,19
DEU,202013,40 – 50,0,0,0,0,15,15
DEU,202013,50 – 60,0,0,0,0,29,29
DEU,202013,60 – 70,0,0,0,0,21,21
DEU,202013,70 – 80,0,0,0,0,29,29
DEU,202013,< 1,0,0,0,0,1,1
DEU,202013,>= 80,0,0,0,0,25,25
DEU,202014,1 – 5,0,0,0,0,1,1
DEU,202014,10 – 20,0,0,0,0,5,5
DEU,202014,20 – 30,0,0,0,0,11,11
DEU,202014,30 – 40,0,0,0,0,15,15
DEU,202014,40 – 50,0,0,0,0,16,16
DEU,202014,50 – 60,0,0,0,0,35,35
DEU,202014,60 – 70,0,0,0,0,25,25
DEU,202014,70 – 80,0,0,0,0,25,25
DEU,202014,< 1,0,0,0,0,1,1
DEU,202014,>= 80,0,0,0,0,15,15
DEU,202015,10 – 20,0,0,0,0,2,2
DEU,202015,20 – 30,0,0,0,0,6,6
DEU,202015,30 – 40,0,0,0,0,4,4
DEU,202015,40 – 50,0,0,0,0,11,11
DEU,202015,50 – 60,0,0,0,0,21,21
DEU,202015,60 – 70,0,0,0,0,23,23
DEU,202015,70 – 80,0,0,0,0,20,20
DEU,202015,< 1,0,0,0,0,1,1
DEU,202015,>= 80,0,0,0,0,18,18
DEU,202016,10 – 20,0,0,0,0,6,6
DEU,202016,20 – 30,0,0,0,0,10,10
DEU,202016,30 – 40,0,0,0,0,9,9
DEU,202016,40 – 50,0,0,0,0,8,8
DEU,202016,50 – 60,0,0,0,0,18,18
DEU,202016,60 – 70,0,0,0,0,15,15
DEU,202016,70 – 80,0,0,0,0,10,10
DEU,202016,>= 80,0,0,0,0,21,21
DEU,202017,1 – 5,0,0,0,0,1,1
DEU,202017,10 – 20,0,0,0,0,2,2
DEU,202017,20 – 30,0,0,0,0,5,5
DEU,202017,30 – 40,0,0,0,0,3,3
DEU,202017,40 – 50,0,0,0,0,4,4
DEU,202017,50 – 60,0,0,0,0,8,8
DEU,202017,60 – 70,0,0,0,0,6,6
