Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
DEU,202005,Male,0,0,0,0,2,2
DEU,202006,Male,0,0,0,0,2,2
DEU,202007,Female,0,0,0,0,1,1
DEU,202007,Male,0,0,0,0,2,2
DEU,202009,Female,0,0,0,0,1,1
DEU,202009,Male,0,0,0,0,1,1
DEU,202010,Female,0,0,0,0,36,36
DEU,202010,Male,0,0,0,0,35,35
DEU,202011,Female,0,0,0,0,43,43
DEU,202011,Male,0,0,0,0,49,49
DEU,202012,Female,0,0,0,0,61,61
DEU,202012,Male,0,0,0,0,80,80
DEU,202013,Female,0,0,0,0,48,48
DEU,202013,Male,0,0,0,0,95,95
DEU,202014,Female,0,0,0,0,39,39
DEU,202014,Male,0,0,0,0,98,98
DEU,202015,Female,0,0,0,0,37,37
DEU,202015,Male,0,0,0,0,67,67
DEU,202016,Female,0,0,0,0,39,39
DEU,202016,Male,0,0,0,0,55,55
DEU,202017,Female,0,0,0,0,16,16
DEU,202017,Male,0,0,0,0,27,27
DEU,202018,Female,0,0,0,0,11,11
DEU,202018,Male,0,0,0,0,24,24
DEU,202019,Female,0,0,0,0,7,7
DEU,202019,Male,0,0,0,0,8,8
DEU,202020,Female,0,0,0,0,5,5
DEU,202020,Male,0,0,0,0,7,7
DEU,202021,Female,0,0,0,0,15,15
DEU,202021,Male,0,0,0,0,12,12
DEU,202022,Female,0,0,0,0,9,9
DEU,202022,Male,0,0,0,0,5,5
DEU,202023,Female,0,0,0,0,5,5
DEU,202023,Male,0,0,0,0,3,3
DEU,202024,Female,0,0,0,0,6,6
DEU,202024,Male,0,0,0,0,3,3
DEU,202025,Female,0,0,0,0,20,20
DEU,202025,Male,0,0,0,0,17,17
DEU,202026,Female,0,0,0,0,8,8
DEU,202026,Male,0,0,0,0,1,1
DEU,202027,Female,0,0,0,0,3,3
DEU,202027,Male,0,0,0,0,1,1
DEU,202028,Female,0,0,0,0,5,5
DEU,202028,Male,0,0,0,0,3,3
DEU,202029,Female,0,0,0,0,2,2
DEU,202029,Male,0,0,0,0,6,6
DEU,202030,Female,0,0,0,0,2,2
DEU,202030,Male,0,0,0,0,2,2
DEU,202031,Female,0,0,0,0,4,4
DEU,202031,Male,0,0,0,0,3,3
DEU,202032,Female,0,0,0,0,1,1
DEU,202032,Male,0,0,0,0,1,1
DEU,202033,Female,0,0,0,0,19,19
DEU,202033,Male,0,0,0,0,26,26
DEU,202034,Female,0,0,0,0,10,10
DEU,202034,Male,0,0,0,0,6,6
DEU,202035,Female,0,0,0,0,2,2
DEU,202035,Male,0,0,0,0,4,4
DEU,202036,Female,0,0,0,0,8,8
DEU,202036,Male,0,0,0,0,1,1
DEU,202037,Female,0,0,0,0,2,2
DEU,202037,Male,0,0,0,0,5,5
DEU,202038,Female,0,0,0,0,10,10
DEU,202038,Male,0,0,0,0,13,13
DEU,202039,Female,0,0,0,0,27,27
DEU,202039,Male,0,0,0,0,30,30
DEU,202040,Female,0,0,0,0,13,13
DEU,202040,Male,0,0,0,0,25,25
DEU,202041,Female,0,0,0,0,33,33
DEU,202041,Male,0,0,0,0,23,23
DEU,202042,Female,0,0,0,0,44,44
DEU,202042,Male,0,0,0,0,47,47
DEU,202043,Female,0,0,0,0,66,66
