Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
DEU,202005,0,0,0,0,2,2
DEU,202006,0,0,0,0,2,2
DEU,202007,0,0,0,0,3,3
DEU,202009,0,0,0,0,2,2
DEU,202010,0,0,0,0,71,71
DEU,202011,0,0,0,0,92,92
DEU,202012,0,0,0,0,141,141
DEU,202013,0,0,0,0,143,143
DEU,202014,0,0,0,0,137,137
DEU,202015,0,0,0,0,104,104
DEU,202016,0,0,0,0,94,94
DEU,202017,0,0,0,0,43,43
DEU,202018,0,0,0,0,35,35
DEU,202019,0,0,0,0,15,15
DEU,202020,0,0,0,0,12,12
DEU,202021,0,0,0,0,27,27
DEU,202022,0,0,0,0,14,14
DEU,202023,0,0,0,0,8,8
DEU,202024,0,0,0,0,9,9
DEU,202025,0,0,0,0,37,37
DEU,202026,0,0,0,0,9,9
DEU,202027,0,0,0,0,4,4
DEU,202028,0,0,0,0,8,8
DEU,202029,0,0,0,0,8,8
DEU,202030,0,0,0,0,4,4
DEU,202031,0,0,0,0,7,7
DEU,202032,0,0,0,0,2,2
DEU,202033,0,0,0,0,45,45
DEU,202034,0,0,0,0,16,16
DEU,202035,0,0,0,0,6,6
DEU,202036,0,0,0,0,9,9
DEU,202037,0,0,0,0,7,7
DEU,202038,0,0,0,0,23,23
DEU,202039,0,0,0,0,57,57
DEU,202040,0,0,0,0,38,38
DEU,202041,0,0,0,0,56,56
DEU,202042,0,0,0,0,91,91
DEU,202043,0,0,0,0,114,114
DEU,202044,0,0,0,0,133,133
DEU,202045,0,0,0,0,108,108
DEU,202046,0,0,0,0,117,117
DEU,202047,0,0,0,0,158,158
DEU,202048,0,0,0,0,160,160
DEU,202049,1,0,0,0,153,154
DEU,202050,0,0,0,0,229,229
DEU,202051,0,0,0,0,159,159
DEU,202052,1,1,0,0,142,144
DEU,202053,3,0,0,0,112,115
DEU,202101,0,0,0,0,227,227
DEU,202102,9,2,0,0,125,136
DEU,202103,25,0,0,0,157,182
DEU,202104,31,0,0,0,153,184
DEU,202105,28,0,0,0,180,208
DEU,202106,42,2,0,0,167,211
DEU,202107,43,3,0,0,98,144
DEU,202108,129,11,0,0,74,214
DEU,202109,153,5,0,0,122,280
DEU,202110,235,22,0,0,65,322
DEU,202111,217,7,1,0,60,285
DEU,202112,307,11,0,0,82,400
DEU,202113,227,7,0,0,42,276
DEU,202114,272,8,0,0,45,325
DEU,202115,340,10,0,0,34,384
DEU,202116,410,6,2,0,22,440
DEU,202117,332,13,6,0,14,365
DEU,202118,281,7,3,0,8,299
DEU,202119,198,3,8,0,11,220
DEU,202120,143,0,4,0,5,152
DEU,202121,82,0,7,0,5,94
DEU,202122,34,0,5,0,1,40
DEU,202123,39,1,8,0,0,48
DEU,202124,13,0,11,0,0,24
DEU,202125,8,0,7,0,2,17
DEU,202126,0,0,9,0,2,11
DEU,202127,6,0,39,0,2,47
DEU,202128,1,0,77,0,0,78
DEU,202129,2,0,52,0,2,56
DEU,202130,2,0,46,0,1,49
DEU,202131,1,0,58,0,1,60
DEU,202132,4,0,83,0,0,87
DEU,202133,3,0,132,0,3,138
DEU,202134,0,0,147,0,5,152
DEU,202135,0,0,135,0,1,136
DEU,202136,0,0,106,0,2,108
DEU,202137,0,0,104,0,0,104
DEU,202138,0,0,109,0,7,116
DEU,202139,0,0,78,0,2,80
DEU,202140,0,0,48,0,1,49
DEU,202141,0,0,84,0,1,85
DEU,202142,0,0,114,0,1,115
DEU,202143,0,0,239,0,1,240
DEU,202144,0,0,231,0,1,232
DEU,202145,0,0,190,0,1,191
DEU,202146,0,0,299,0,0,299
DEU,202147,0,0,311,10,0,321
DEU,202148,0,0,297,12,1,310
DEU,202149,0,0,197,20,3,220
DEU,202150,0,0,68,15,1,84
DEU,202151,0,0,28,29,0,57
DEU,202152,0,0,34,21,0,55
DEU,202201,0,0,31,46,0,77
DEU,202202,0,0,8,60,0,68
