Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
ESP,202007,20 – 30,0,0,0,0,1,1
ESP,202009,10 – 20,0,0,0,0,1,1
ESP,202009,20 – 30,0,0,0,0,5,5
ESP,202009,30 – 40,0,0,0,0,3,3
ESP,202009,40 – 50,0,0,0,0,7,7
ESP,202009,50 – 60,0,0,0,0,5,5
ESP,202009,60 – 70,0,0,0,0,3,3
ESP,202009,70 – 80,0,0,0,0,2,2
ESP,202010,1 – 5,0,0,0,0,1,1
ESP,202010,10 – 20,0,0,0,0,10,10
ESP,202010,20 – 30,0,0,0,0,16,16
ESP,202010,30 – 40,0,0,0,0,33,33
ESP,202010,40 – 50,0,0,0,0,44,44
ESP,202010,5 – 10,0,0,0,0,2,2
ESP,202010,50 – 60,0,0,0,0,42,42
ESP,202010,60 – 70,0,0,0,0,18,18
ESP,202010,70 – 80,0,0,0,0,24,24
ESP,202010,>= 80,0,0,0,0,49,49
ESP,202011,1 – 5,0,0,0,0,5,5
ESP,202011,10 – 20,0,0,0,0,19,19
ESP,202011,20 – 30,0,0,0,0,67,67
ESP,202011,30 – 40,0,0,0,0,71,71
ESP,202011,40 – 50,0,0,0,0,99,99
ESP,202011,5 – 10,0,0,0,0,2,2
ESP,202011,50 – 60,0,0,0,0,99,99
ESP,202011,60 – 70,0,0,0,0,92,92
ESP,202011,70 – 80,0,0,0,0,94,94
ESP,202011,>= 80,0,0,0,0,107,107
ESP,202012,10 – 20,0,0,0,0,5,5
ESP,202012,20 – 30,0,0,0,0,57,57
ESP,202012,30 – 40,1,0,0,0,96,97
ESP,202012,40 – 50,0,0,0,0,128,128
ESP,202012,50 – 60,0,0,0,0,190,190
ESP,202012,60 – 70,0,0,0,0,140,140
ESP,202012,70 – 80,0,0,0,0,173,173
ESP,202012,>= 80,0,0,0,0,150,150
ESP,202013,10 – 20,0,0,0,0,5,5
ESP,202013,20 – 30,0,0,0,0,52,52
ESP,202013,30 – 40,0,0,0,0,97,97
ESP,202013,40 – 50,0,0,0,0,166,166
ESP,202013,5 – 10,0,0,0,0,1,1
ESP,202013,50 – 60,0,0,0,0,230,230
ESP,202013,60 – 70,0,0,0,0,201,201
ESP,202013,70 – 80,1,0,0,0,193,194
ESP,202013,>= 80,0,0,0,0,194,194
ESP,202014,10 – 20,0,0,0,0,2,2
ESP,202014,20 – 30,0,0,0,0,22,22
ESP,202014,30 – 40,0,0,0,0,43,43
ESP,202014,40 – 50,0,0,0,0,67,67
ESP,202014,5 – 10,0,0,0,0,2,2
ESP,202014,50 – 60,0,0,0,0,86,86
ESP,202014,60 – 70,0,0,0,0,75,75
ESP,202014,70 – 80,0,0,0,0,59,59
ESP,202014,>= 80,0,0,0,0,118,118
ESP,202015,10 – 20,0,0,0,0,3,3
ESP,202015,20 – 30,0,0,0,0,22,22
ESP,202015,30 – 40,0,0,0,0,32,32
ESP,202015,40 – 50,0,0,0,0,38,38
ESP,202015,5 – 10,0,0,0,0,1,1
ESP,202015,50 – 60,0,0,0,0,55,55
ESP,202015,60 – 70,0,0,0,0,38,38
ESP,202015,70 – 80,0,0,0,0,35,35
ESP,202015,>= 80,0,0,0,0,104,104
ESP,202016,10 – 20,0,0,0,0,5,5
ESP,202016,20 – 30,0,0,0,0,10,10
ESP,202016,30 – 40,0,0,0,0,18,18
ESP,202016,40 – 50,0,0,0,0,38,38
ESP,202016,5 – 10,0,0,0,0,2,2
ESP,202016,50 – 60,0,0,0,0,29,29
ESP,202016,60 – 70,0,0,0,0,27,27
ESP,202016,70 – 80,0,0,0,0,35,35
ESP,202016,>= 80,0,0,0,0,115,115
ESP,202017,1 – 5,0,0,0,0,1,1
ESP,202017,10 – 20,0,0,0,0,4,4
ESP,202017,20 – 30,0,0,0,0,10,10
ESP,202017,30 – 40,0,0,0,0,12,12
ESP,202017,40 – 50,0,0,0,0,25,25
ESP,202017,5 – 10,0,0,0,0,1,1
ESP,202017,50 – 60,0,0,0,0,41,41
ESP,202017,60 – 70,0,0,0,0,25,25
ESP,202017,70 – 80,0,0,0,0,30,30
ESP,202017,>= 80,1,0,0,0,118,119
ESP,202018,10 – 20,0,0,0,0,1,1
ESP,202018,20 – 30,0,0,0,0,3,3
ESP,202018,30 – 40,0,0,0,0,7,7
ESP,202018,40 – 50,0,0,0,0,15,15
ESP,202018,50 – 60,0,0,0,0,13,13
ESP,202018,60 – 70,0,0,0,0,14,14
ESP,202018,70 – 80,0,0,0,0,8,8
ESP,202018,< 1,0,0,0,0,1,1
ESP,202018,>= 80,0,0,0,0,45,45
ESP,202019,10 – 20,0,0,0,0,1,1
ESP,202019,20 – 30,0,0,0,0,7,7
ESP,202019,30 – 40,0,0,0,0,9,9
ESP,202019,40 – 50,0,0,0,0,10,10
ESP,202019,5 – 10,0,0,0,0,1,1
ESP,202019,50 – 60,0,0,0,0,8,8
ESP,202019,60 – 70,0,0,0,0,11,11
ESP,202019,70 – 80,0,0,0,0,9,9
ESP,202019,>= 80,0,0,0,0,23,23
ESP,202020,10 – 20,0,0,0,0,2,2
ESP,202020,20 – 30,0,0,0,0,9,9
ESP,202020,30 – 40,0,0,0,0,4,4
ESP,202020,40 – 50,0,0,0,0,4,4
ESP,202020,5 – 10,0,0,0,0,1,1
ESP,202020,50 – 60,0,0,0,0,8,8
ESP,202020,60 – 70,0,0,0,0,7,7
ESP,202020,70 – 80,0,0,0,0,8,8
ESP,202020,>= 80,0,0,0,0,10,10
ESP,202021,10 – 20,0,0,0,0,1,1
ESP,202021,20 – 30,0,0,0,0,5,5
ESP,202021,30 – 40,1,0,0,0,3,4
ESP,202021,40 – 50,1,0,0,0,6,7
ESP,202021,50 – 60,2,0,0,0,9,11
ESP,202021,60 – 70,0,0,0,0,4,4
ESP,202021,70 – 80,0,0,0,0,3,3
ESP,202021,>= 80,0,0,0,0,8,8
ESP,202022,1 – 5,0,0,0,0,1,1
ESP,202022,10 – 20,0,0,0,0,4,4
ESP,202022,20 – 30,0,0,0,0,4,4
ESP,202022,30 – 40,0,0,0,0,4,4
ESP,202022,40 – 50,0,0,0,0,4,4
ESP,202022,50 – 60,0,0,0,0,10,10
ESP,202022,70 – 80,0,0,0,0,3,3
ESP,202022,>= 80,0,0,0,0,5,5
ESP,202023,20 – 30,0,0,0,0,3,3
ESP,202023,30 – 40,0,0,0,0,4,4
ESP,202023,40 – 50,0,0,0,0,5,5
ESP,202023,60 – 70,0,0,0,0,3,3
ESP,202023,70 – 80,0,0,0,0,3,3
ESP,202023,>= 80,0,0,0,0,3,3
ESP,202024,10 – 20,0,0,0,0,1,1
ESP,202024,20 – 30,0,0,0,0,4,4
