Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ESP,202007,0,0,0,0,0,1,1
ESP,202009,0,0,0,0,0,26,26
ESP,202010,0,0,0,0,0,239,239
ESP,202011,0,0,0,0,0,655,655
ESP,202012,1,0,0,0,0,939,940
ESP,202013,1,0,0,0,0,1139,1140
ESP,202014,0,0,0,0,0,474,474
ESP,202015,0,0,0,0,0,328,328
ESP,202016,0,0,0,0,0,279,279
ESP,202017,1,0,0,0,0,267,268
ESP,202018,0,0,0,0,0,107,107
ESP,202019,0,0,0,0,0,79,79
ESP,202020,0,0,0,0,0,53,53
ESP,202021,4,0,0,0,0,39,43
ESP,202022,0,0,0,0,0,35,35
ESP,202023,0,0,0,0,0,21,21
ESP,202024,0,0,0,0,0,34,34
ESP,202025,0,0,0,0,0,39,39
ESP,202026,0,0,0,0,0,101,101
ESP,202027,0,0,0,0,0,36,36
ESP,202028,0,0,0,0,0,49,49
ESP,202029,0,0,0,0,0,88,88
ESP,202030,0,0,0,0,0,69,69
ESP,202031,0,0,0,0,0,95,95
ESP,202032,0,0,0,0,0,139,139
ESP,202033,0,0,0,0,0,111,111
ESP,202034,0,0,0,0,0,105,105
ESP,202035,0,0,0,0,0,101,101
ESP,202036,0,0,0,0,0,163,163
ESP,202037,0,0,0,0,0,250,250
ESP,202038,0,0,0,0,0,206,206
ESP,202039,0,0,0,0,0,273,273
ESP,202040,0,0,0,0,0,266,266
ESP,202041,0,0,0,0,0,243,243
ESP,202042,0,0,0,0,0,381,381
ESP,202043,0,0,0,0,0,232,232
ESP,202044,0,0,0,0,0,160,160
ESP,202045,0,0,1,0,0,196,197
ESP,202046,8,0,0,0,0,180,188
ESP,202047,0,0,1,0,0,190,191
ESP,202048,0,0,0,0,0,161,161
ESP,202049,0,0,0,0,0,292,292
ESP,202050,0,0,0,0,0,430,430
ESP,202051,2,0,0,0,0,517,519
ESP,202052,38,1,0,0,0,326,365
ESP,202053,96,0,0,0,0,520,616
ESP,202101,201,0,0,0,0,336,537
ESP,202102,342,0,0,0,0,607,949
ESP,202103,368,0,0,0,0,1095,1463
ESP,202104,330,1,1,1,0,1076,1409
ESP,202105,378,2,0,0,0,851,1231
ESP,202106,406,10,1,0,0,666,1083
ESP,202107,571,8,0,0,0,671,1250
ESP,202108,635,10,0,0,0,476,1121
ESP,202109,747,2,0,0,0,379,1128
ESP,202110,938,10,0,0,0,344,1292
ESP,202111,833,14,0,0,0,202,1049
ESP,202112,1140,9,0,0,0,195,1344
ESP,202113,1023,34,1,0,0,193,1251
ESP,202114,1090,20,0,0,0,221,1331
ESP,202115,1291,23,0,0,0,208,1522
ESP,202116,848,14,4,0,0,189,1055
ESP,202117,1178,54,18,0,0,231,1481
ESP,202118,1417,21,30,0,0,195,1663
ESP,202119,1116,24,35,0,0,185,1360
ESP,202120,1031,14,64,0,0,179,1288
ESP,202121,930,24,146,0,0,193,1293
ESP,202122,1047,8,180,0,0,291,1526
ESP,202123,716,22,246,0,0,195,1179
ESP,202124,492,14,394,0,0,214,1114
ESP,202125,490,24,635,0,0,169,1318
ESP,202126,451,67,1712,0,0,197,2427
ESP,202127,361,242,1698,0,0,169,2470
ESP,202128,186,51,1841,0,0,103,2181
ESP,202129,143,44,2124,0,0,81,2392
ESP,202130,52,11,2114,0,0,67,2244
ESP,202131,47,24,2607,0,0,78,2756
ESP,202132,27,12,1842,0,0,57,1938
ESP,202133,10,2,1634,0,0,42,1688
ESP,202134,3,4,1498,0,0,34,1539
ESP,202135,3,0,1447,0,0,23,1473
ESP,202136,1,0,1224,0,0,12,1237
ESP,202137,3,0,1006,0,0,14,1023
ESP,202138,0,0,762,0,0,3,765
ESP,202139,0,0,771,0,0,7,778
ESP,202140,0,0,619,0,0,2,621
ESP,202141,0,0,596,0,0,6,602
ESP,202142,0,0,938,0,0,2,940
ESP,202143,0,0,751,0,0,7,758
ESP,202144,0,0,865,0,0,12,877
ESP,202145,1,0,1059,0,0,6,1066
ESP,202146,0,0,1341,0,0,6,1347
ESP,202147,0,0,1541,7,0,3,1551
ESP,202148,0,0,1888,85,0,27,2000
ESP,202149,0,0,1670,219,0,47,1936
ESP,202150,0,0,1385,974,0,227,2586
ESP,202151,1,0,699,1004,0,253,1957
ESP,202152,0,0,283,918,0,265,1466
ESP,202201,0,0,230,1247,1,403,1881
ESP,202202,0,0,97,1207,11,524,1839
ESP,202203,0,0,142,932,26,510,1610
ESP,202204,0,0,52,862,61,601,1576
ESP,202205,0,0,10,442,66,417,935
ESP,202206,0,0,4,62,41,51,158
ESP,202207,0,0,0,2,0,1,3
