Country,Week,Gender,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ESP,202006,Female,1,0,0,0,0,0,1
ESP,202007,Male,0,0,0,0,0,1,1
ESP,202008,Male,0,0,0,0,0,1,1
ESP,202009,Female,0,0,0,0,0,11,11
ESP,202009,Male,0,0,0,0,0,15,15
ESP,202010,Female,0,0,0,0,0,117,117
ESP,202010,Male,0,0,0,0,0,113,113
ESP,202011,Female,0,0,0,0,0,333,333
ESP,202011,Male,0,0,0,0,0,312,312
ESP,202012,Female,1,0,0,0,0,464,465
ESP,202012,Male,0,0,0,0,0,484,484
ESP,202013,Female,0,0,0,0,0,562,562
ESP,202013,Male,1,0,0,0,0,578,579
ESP,202014,Female,0,0,0,0,0,277,277
ESP,202014,Male,0,0,0,0,0,223,223
ESP,202015,Female,0,0,0,0,0,231,231
ESP,202015,Male,0,0,0,0,0,152,152
ESP,202016,Female,0,0,0,0,0,154,154
ESP,202016,Male,0,0,0,0,0,139,139
ESP,202017,Female,0,0,0,0,0,173,173
ESP,202017,Male,1,0,0,0,0,94,95
ESP,202018,Female,0,0,0,0,0,58,58
ESP,202018,Male,0,0,0,0,0,50,50
ESP,202019,Female,0,0,0,0,0,37,37
ESP,202019,Male,0,0,0,0,0,42,42
ESP,202020,Female,0,0,0,0,0,34,34
ESP,202020,Male,0,0,0,0,0,19,19
ESP,202021,Female,1,0,0,0,0,24,25
ESP,202021,Male,3,0,0,0,0,16,19
ESP,202022,Female,0,0,0,0,0,14,14
ESP,202022,Male,0,0,0,0,0,21,21
ESP,202023,Female,0,0,0,0,0,10,10
ESP,202023,Male,0,0,0,0,0,11,11
ESP,202024,Female,0,0,0,0,0,17,17
ESP,202024,Male,0,0,0,0,0,17,17
ESP,202025,Female,0,0,0,0,0,8,8
ESP,202025,Male,0,0,0,0,0,31,31
ESP,202026,Female,0,0,0,0,0,38,38
ESP,202026,Male,0,0,0,0,0,63,63
ESP,202027,Female,0,0,0,0,0,17,17
ESP,202027,Male,0,0,0,0,0,19,19
ESP,202028,Female,0,0,0,0,0,12,12
ESP,202028,Male,0,0,0,0,0,38,38
ESP,202029,Female,0,0,0,0,0,38,38
ESP,202029,Male,0,0,0,0,0,50,50
ESP,202030,Female,0,0,0,0,0,34,34
ESP,202030,Male,0,0,0,0,0,39,39
ESP,202031,Female,0,0,0,0,0,49,49
ESP,202031,Male,0,0,0,0,0,47,47
ESP,202032,Female,0,0,0,0,0,69,69
ESP,202032,Male,0,0,0,0,0,71,71
ESP,202033,Female,0,0,0,0,0,54,54
ESP,202033,Male,0,0,0,0,0,59,59
ESP,202034,Female,0,0,0,0,0,60,60
ESP,202034,Male,0,0,0,0,0,75,75
ESP,202035,Female,0,0,0,0,0,70,70
ESP,202035,Male,0,0,0,0,0,41,41
ESP,202036,Female,0,0,0,0,0,85,85
ESP,202036,Male,0,0,0,0,0,79,79
ESP,202037,Female,0,0,0,0,0,121,121
ESP,202037,Male,0,0,0,0,0,130,130
ESP,202038,Female,0,0,0,0,0,97,97
ESP,202038,Male,0,0,0,0,0,109,109
ESP,202039,Female,0,0,0,0,0,144,144
ESP,202039,Male,0,0,0,0,0,130,130
ESP,202040,Female,0,0,0,0,0,132,132
ESP,202040,Male,0,0,0,0,0,135,135
ESP,202041,Female,0,0,0,0,0,153,153
ESP,202041,Male,0,0,0,0,0,91,91
ESP,202042,Female,0,0,0,0,0,211,211
ESP,202042,Male,0,0,0,0,0,172,172
ESP,202043,Female,0,0,0,0,0,120,120
ESP,202043,Male,0,0,0,0,0,115,115
ESP,202044,Female,0,0,0,0,0,94,94
ESP,202044,Male,0,0,0,0,0,67,67
ESP,202045,Female,0,0,1,0,0,117,118
ESP,202045,Male,0,0,0,0,0,86,86
ESP,202046,Female,4,0,0,0,0,97,101
ESP,202046,Male,4,0,0,0,0,82,86
ESP,202047,Female,0,0,0,0,0,102,102
ESP,202047,Male,0,0,1,0,0,89,90
ESP,202048,Female,0,0,0,0,0,100,100
ESP,202048,Male,1,0,0,0,0,62,63
ESP,202049,Female,0,0,0,0,0,154,154
ESP,202049,Male,0,0,0,0,0,138,138
ESP,202050,Female,1,0,0,0,0,209,210
ESP,202050,Male,0,0,0,0,0,221,221
ESP,202051,Female,1,0,0,0,0,274,275
ESP,202051,Male,1,0,0,0,0,248,249
ESP,202052,Female,20,0,0,0,0,181,201
ESP,202052,Male,21,1,0,0,0,148,170
ESP,202053,Female,55,0,0,0,0,279,334
ESP,202053,Male,47,0,0,0,0,255,302
ESP,202101,Female,118,0,0,0,0,185,303
ESP,202101,Male,109,0,0,0,0,172,281
ESP,202102,Female,213,0,0,0,0,308,521
ESP,202102,Male,153,0,0,0,0,285,438
ESP,202103,Female,215,0,0,0,0,593,808
ESP,202103,Male,207,0,0,0,0,497,704
ESP,202104,Female,209,1,0,1,0,552,763
ESP,202104,Male,194,0,1,0,0,529,724
ESP,202105,Female,246,1,0,0,0,461,708
ESP,202105,Male,240,1,0,0,0,418,659
ESP,202106,Female,279,5,0,0,0,375,659
ESP,202106,Male,251,5,1,0,0,330,587
ESP,202107,Female,349,7,0,0,0,378,734
ESP,202107,Male,286,3,0,0,0,359,648
