Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ESP,202006,1,0,0,0,0,1
ESP,202007,0,0,0,0,1,1
ESP,202008,0,0,0,0,1,1
ESP,202009,0,0,0,0,26,26
ESP,202010,0,0,0,0,230,230
ESP,202011,0,0,0,0,645,645
ESP,202012,1,0,0,0,948,949
ESP,202013,1,0,0,0,1140,1141
ESP,202014,0,0,0,0,500,500
ESP,202015,0,0,0,0,383,383
ESP,202016,0,0,0,0,293,293
ESP,202017,1,0,0,0,267,268
ESP,202018,0,0,0,0,108,108
ESP,202019,0,0,0,0,79,79
ESP,202020,0,0,0,0,53,53
ESP,202021,4,0,0,0,40,44
ESP,202022,0,0,0,0,35,35
ESP,202023,0,0,0,0,21,21
ESP,202024,0,0,0,0,34,34
ESP,202025,0,0,0,0,39,39
ESP,202026,0,0,0,0,101,101
ESP,202027,0,0,0,0,36,36
ESP,202028,0,0,0,0,50,50
ESP,202029,0,0,0,0,88,88
ESP,202030,0,0,0,0,73,73
ESP,202031,0,0,0,0,96,96
ESP,202032,0,0,0,0,140,140
ESP,202033,0,0,0,0,113,113
ESP,202034,0,0,0,0,135,135
ESP,202035,0,0,0,0,111,111
ESP,202036,0,0,0,0,164,164
ESP,202037,0,0,0,0,251,251
ESP,202038,0,0,0,0,206,206
ESP,202039,0,0,0,0,274,274
ESP,202040,0,0,0,0,267,267
ESP,202041,0,0,0,0,244,244
ESP,202042,0,0,0,0,383,383
ESP,202043,0,0,0,0,235,235
ESP,202044,0,0,0,0,162,162
ESP,202045,0,0,1,0,203,204
ESP,202046,8,0,0,0,179,187
ESP,202047,0,0,1,0,191,192
ESP,202048,1,0,0,0,162,163
ESP,202049,0,0,0,0,292,292
ESP,202050,1,0,0,0,430,431
ESP,202051,2,0,0,0,522,524
ESP,202052,41,1,0,0,329,371
ESP,202053,102,0,0,0,534,636
ESP,202101,227,0,0,0,357,584
ESP,202102,366,0,0,0,599,965
ESP,202103,422,0,0,0,1098,1520
ESP,202104,403,1,1,0,1082,1487
ESP,202105,486,2,0,0,879,1367
ESP,202106,530,10,1,0,705,1246
ESP,202107,635,10,0,0,743,1388
ESP,202108,748,10,0,0,502,1260
ESP,202109,775,2,0,0,420,1197
ESP,202110,974,10,0,0,348,1332
ESP,202111,858,14,0,0,208,1080
ESP,202112,1169,9,0,0,208,1386
ESP,202113,1062,34,1,0,195,1292
ESP,202114,1173,21,0,0,230,1424
ESP,202115,1340,23,0,0,214,1577
ESP,202116,911,14,4,0,197,1126
ESP,202117,1265,54,18,0,237,1574
ESP,202118,1471,21,32,0,200,1724
ESP,202119,1233,24,35,0,191,1483
ESP,202120,1078,15,64,0,194,1351
ESP,202121,935,24,146,0,196,1301
ESP,202122,1187,9,184,0,304,1684
ESP,202123,980,27,260,0,205,1472
ESP,202124,734,23,411,0,228,1396
ESP,202125,561,73,660,0,187,1481
ESP,202126,610,371,1773,0,216,2970
ESP,202127,567,289,1894,0,191,2941
ESP,202128,225,88,1901,0,124,2338
ESP,202129,197,164,2309,0,97,2767
ESP,202130,89,30,2238,0,79,2436
ESP,202131,48,26,2635,0,84,2793
ESP,202132,28,13,1888,0,57,1986
ESP,202133,10,1,1596,0,40,1647
ESP,202134,4,4,1649,0,35,1692
ESP,202135,3,0,1476,0,24,1503
ESP,202136,1,0,1281,0,12,1294
ESP,202137,3,0,1018,0,14,1035
ESP,202138,0,0,914,0,3,917
ESP,202139,1,0,963,0,11,975
ESP,202140,1,0,722,0,2,725
ESP,202141,0,0,741,0,7,748
ESP,202142,0,0,1046,0,3,1049
ESP,202143,0,0,997,0,14,1011
ESP,202144,0,0,1220,0,13,1233
ESP,202145,1,0,1225,0,6,1232
ESP,202146,0,0,1934,0,6,1940
ESP,202147,0,0,1782,7,3,1792
ESP,202148,0,0,2033,109,4,2146
ESP,202149,0,0,1782,284,2,2068
ESP,202150,0,0,1517,1287,8,2812
ESP,202151,1,0,856,1403,7,2267
ESP,202152,0,0,392,1339,2,1733
ESP,202201,0,0,321,1879,1,2201
ESP,202202,0,0,117,2021,0,2138
ESP,202203,1,2,174,1676,4,1857
ESP,202204,0,0,60,1863,2,1925
ESP,202205,0,0,19,1566,3,1588
ESP,202206,0,0,57,1813,1,1871
ESP,202207,1,0,6,1415,3,1425
ESP,202208,0,0,2,748,1,751
ESP,202209,0,0,0,296,0,296
ESP,202210,0,0,0,23,0,23
