Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
EST,202050,70 – 80,0,0,0,0,1,1
EST,202051,40 – 50,0,0,0,0,1,1
EST,202052,>= 80,0,0,0,0,1,1
EST,202053,50 – 60,0,0,0,0,1,1
EST,202101,20 – 30,0,0,0,0,2,2
EST,202101,30 – 40,0,0,0,0,1,1
EST,202102,50 – 60,0,0,0,0,1,1
EST,202103,20 – 30,0,0,0,0,1,1
EST,202103,40 – 50,0,0,0,0,2,2
EST,202103,50 – 60,0,0,0,0,1,1
EST,202103,60 – 70,1,0,0,0,0,1
EST,202103,70 – 80,0,0,0,0,1,1
EST,202103,>= 80,0,0,0,0,2,2
EST,202104,20 – 30,0,0,0,0,2,2
EST,202104,30 – 40,0,0,0,0,2,2
EST,202104,40 – 50,0,0,0,0,2,2
EST,202104,50 – 60,0,0,0,0,9,9
EST,202104,60 – 70,0,0,0,0,8,8
EST,202104,70 – 80,0,0,0,0,1,1
EST,202104,>= 80,0,0,0,0,7,7
EST,202105,30 – 40,0,0,0,0,1,1
EST,202105,40 – 50,0,0,0,0,2,2
EST,202105,50 – 60,0,0,0,0,2,2
EST,202105,60 – 70,0,0,0,0,2,2
EST,202105,70 – 80,0,0,0,0,2,2
EST,202105,>= 80,1,0,0,0,4,5
EST,202106,10 – 20,1,0,0,0,6,7
EST,202106,20 – 30,0,0,0,0,14,14
EST,202106,30 – 40,4,0,0,0,15,19
EST,202106,40 – 50,5,0,0,0,14,19
EST,202106,5 – 10,1,0,0,0,2,3
EST,202106,50 – 60,2,0,0,0,12,14
EST,202106,60 – 70,1,0,0,0,8,9
EST,202106,70 – 80,0,0,0,0,8,8
EST,202106,>= 80,0,0,0,0,15,15
EST,202107,1 – 5,0,0,0,0,1,1
EST,202107,10 – 20,18,0,0,0,33,51
EST,202107,20 – 30,15,0,0,0,46,61
EST,202107,30 – 40,19,0,0,0,54,73
EST,202107,40 – 50,17,2,0,0,56,75
EST,202107,5 – 10,4,0,0,0,6,10
EST,202107,50 – 60,18,0,0,0,44,62
EST,202107,60 – 70,15,0,0,0,39,54
EST,202107,70 – 80,3,0,0,0,19,22
EST,202107,>= 80,1,0,0,0,4,5
EST,202108,10 – 20,2,0,0,0,4,6
EST,202108,20 – 30,0,0,0,0,3,3
EST,202108,30 – 40,1,0,0,0,1,2
EST,202108,40 – 50,1,0,0,0,0,1
EST,202108,50 – 60,2,0,0,0,2,4
EST,202108,60 – 70,3,0,0,0,0,3
EST,202108,>= 80,1,0,0,0,3,4
EST,202109,1 – 5,1,0,0,0,0,1
EST,202109,10 – 20,9,0,0,0,5,14
EST,202109,20 – 30,5,0,0,0,6,11
EST,202109,30 – 40,12,0,0,0,5,17
EST,202109,40 – 50,8,1,0,0,3,12
EST,202109,5 – 10,1,0,0,0,0,1
EST,202109,50 – 60,7,0,0,0,4,11
EST,202109,60 – 70,7,0,0,0,8,15
EST,202109,70 – 80,3,0,0,0,1,4
EST,202109,< 1,1,0,0,0,0,1
EST,202109,>= 80,1,0,0,0,2,3
EST,202110,1 – 5,7,0,0,0,2,9
EST,202110,10 – 20,56,1,0,0,27,84
EST,202110,20 – 30,41,0,0,0,24,65
EST,202110,30 – 40,70,1,0,0,20,91
EST,202110,40 – 50,55,0,0,0,16,71
EST,202110,5 – 10,9,0,0,0,1,10
