Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
EST,202050,Male,0,0,0,0,1,1
EST,202051,Female,0,0,0,0,1,1
EST,202052,Female,0,0,0,0,1,1
EST,202053,Female,0,0,0,0,1,1
EST,202101,Female,0,0,0,0,2,2
EST,202101,Male,0,0,0,0,1,1
EST,202102,Female,0,0,0,0,1,1
EST,202103,Female,1,0,0,0,5,6
EST,202103,Male,0,0,0,0,2,2
EST,202104,Female,0,0,0,0,25,25
EST,202104,Male,0,0,0,0,6,6
EST,202105,Female,0,0,0,0,9,9
EST,202105,Male,1,0,0,0,4,5
EST,202106,Female,8,0,0,0,48,56
EST,202106,Male,6,0,0,0,46,52
EST,202107,Female,60,1,0,0,149,210
EST,202107,Male,50,1,0,0,153,204
EST,202108,Female,3,0,0,0,3,6
EST,202108,Male,7,0,0,0,10,17
EST,202109,Female,8,0,0,0,5,13
EST,202109,Male,6,0,0,0,3,9
EST,202110,Female,147,0,0,0,41,188
EST,202110,Male,132,1,0,0,59,192
EST,202111,Female,188,0,0,0,63,251
EST,202111,Male,180,2,0,0,44,226
EST,202112,Female,216,1,0,0,47,264
EST,202112,Male,226,8,0,0,39,273
EST,202113,Female,295,5,0,0,25,325
EST,202113,Male,266,9,0,0,25,300
EST,202114,Female,92,2,0,0,2,96
EST,202114,Male,95,1,0,0,4,100
EST,202115,Female,84,0,0,0,2,86
EST,202115,Male,84,0,0,0,1,85
EST,202116,Female,84,3,0,0,0,87
EST,202116,Male,91,1,0,0,0,92
EST,202117,Female,72,0,0,0,2,74
EST,202117,Male,90,0,0,0,0,90
EST,202118,Female,73,0,0,0,4,77
EST,202118,Male,85,0,0,0,1,86
EST,202119,Female,82,0,0,0,1,83
EST,202119,Male,83,0,0,0,1,84
EST,202122,Female,47,0,0,0,0,47
EST,202122,Male,32,0,0,0,0,32
EST,202123,Female,28,0,1,0,0,29
EST,202123,Male,18,0,1,0,0,19
EST,202124,Female,22,0,0,0,0,22
EST,202124,Male,27,0,0,0,0,27
EST,202126,Female,4,0,25,0,0,29
EST,202126,Male,0,0,20,0,0,20
EST,202127,Female,5,0,46,0,0,51
EST,202127,Male,6,0,36,0,0,42
EST,202128,Female,2,0,44,0,0,46
EST,202128,Male,0,0,21,0,0,21
EST,202129,Female,2,0,86,0,1,89
EST,202129,Male,3,0,83,0,0,86
EST,202130,Female,1,0,103,0,0,104
EST,202130,Male,1,0,76,0,0,77
EST,202131,Female,0,0,94,0,0,94
EST,202131,Male,0,0,84,0,0,84
EST,202132,Female,0,0,99,0,0,99
EST,202132,Male,0,0,84,0,0,84
EST,202133,Female,0,0,111,0,0,111
EST,202133,Male,0,0,75,0,0,75
EST,202134,Female,0,0,107,0,0,107
EST,202134,Male,0,0,73,0,0,73
EST,202135,Female,0,0,92,0,0,92
EST,202135,Male,0,0,91,0,0,91
EST,202136,Female,0,0,89,0,0,89
EST,202136,Male,0,0,83,0,0,83
EST,202137,Female,0,0,94,0,0,94
EST,202137,Male,0,0,77,0,0,77
EST,202138,Female,0,0,105,0,0,105
EST,202138,Male,0,0,71,0,0,71
EST,202139,Female,0,0,92,0,0,92
EST,202139,Male,0,0,75,0,0,75
EST,202140,Female,0,0,93,0,0,93
EST,202140,Male,0,0,80,0,0,80
EST,202141,Female,0,0,89,0,0,89
EST,202141,Male,0,0,75,0,0,75
EST,202142,Female,0,0,99,0,0,99
EST,202142,Male,0,0,66,0,0,66
EST,202143,Female,0,0,100,0,0,100
EST,202143,Male,0,0,65,0,0,65
EST,202144,Female,0,0,82,0,0,82
EST,202144,Male,0,0,86,0,0,86
EST,202145,Female,0,0,55,0,0,55
EST,202145,Male,0,0,77,0,0,77
EST,202146,Female,0,0,89,0,0,89
EST,202146,Male,0,0,86,0,0,86
EST,202147,Female,0,0,90,0,0,90
EST,202147,Male,0,0,78,0,0,78
EST,202148,Female,0,0,95,0,0,95
EST,202148,Male,0,0,81,0,0,81
EST,202149,Female,0,0,99,0,0,99
EST,202149,Male,0,0,75,0,0,75
EST,202150,Female,0,0,87,1,0,88
EST,202150,Male,0,0,82,3,0,85
EST,202151,Female,0,0,41,14,1,56
EST,202151,Male,0,0,31,5,0,36
