Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
EST,202037,0,0,0,0,1,1
EST,202038,0,0,0,0,58,58
EST,202039,0,0,0,0,62,62
EST,202040,0,0,0,0,40,40
EST,202041,0,0,0,0,21,21
EST,202042,0,0,0,0,13,13
EST,202043,0,0,0,0,10,10
EST,202044,0,0,0,0,25,25
EST,202045,0,0,0,0,27,27
EST,202046,0,0,0,0,8,8
EST,202047,0,0,0,0,11,11
EST,202050,0,0,0,0,1,1
EST,202051,0,0,0,0,1,1
EST,202052,5,0,0,0,4,9
EST,202053,4,0,0,0,33,37
EST,202101,0,0,0,0,3,3
EST,202102,0,0,0,0,3,3
EST,202103,1,0,0,0,7,8
EST,202104,0,0,0,0,31,31
EST,202105,1,0,0,0,13,14
EST,202106,21,0,0,0,129,150
EST,202107,110,2,0,0,302,414
EST,202108,11,0,0,0,13,24
EST,202109,58,1,0,0,35,94
EST,202110,381,2,0,0,147,530
EST,202111,373,2,0,0,108,483
EST,202112,445,9,0,0,86,540
EST,202113,567,14,0,0,51,632
EST,202114,188,3,0,0,6,197
EST,202115,168,0,0,0,3,171
EST,202116,175,4,0,0,0,179
EST,202117,164,0,0,0,2,166
EST,202118,162,0,0,0,5,167
EST,202119,165,0,0,0,2,167
EST,202122,79,0,0,0,0,79
EST,202123,47,0,2,0,0,49
EST,202124,49,0,0,0,0,49
EST,202126,4,0,45,0,0,49
EST,202127,11,0,82,0,0,93
EST,202128,2,0,65,0,0,67
EST,202129,5,0,172,0,1,178
EST,202130,2,0,179,0,0,181
EST,202131,0,0,178,0,0,178
EST,202132,0,0,183,0,0,183
EST,202133,0,0,186,0,0,186
EST,202134,0,0,180,0,0,180
EST,202135,0,0,183,0,0,183
EST,202136,0,0,172,0,0,172
EST,202137,0,0,171,0,0,171
EST,202138,0,0,176,0,0,176
EST,202139,0,0,167,0,0,167
EST,202140,0,0,173,0,0,173
EST,202141,0,0,164,0,0,164
EST,202142,0,0,165,0,0,165
EST,202143,0,0,165,0,0,165
EST,202144,0,0,168,0,0,168
EST,202145,0,0,132,0,0,132
EST,202146,0,0,175,0,0,175
EST,202147,0,0,168,0,0,168
EST,202148,0,0,176,0,0,176
EST,202149,0,0,174,0,0,174
EST,202150,0,0,169,4,0,173
EST,202151,0,0,122,53,1,176
EST,202152,0,0,74,22,0,96
