Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
FRA,202002,Female,0,0,0,0,2,2
FRA,202004,Female,0,0,0,0,3,3
FRA,202004,Male,0,0,0,0,1,1
FRA,202005,Female,0,0,0,0,5,5
FRA,202005,Male,0,0,0,0,1,1
FRA,202006,Female,0,0,0,0,3,3
FRA,202006,Male,0,0,0,0,3,3
FRA,202007,Female,0,0,0,0,1,1
FRA,202008,Female,0,0,0,0,1,1
FRA,202008,Male,0,0,0,0,4,4
FRA,202009,Female,0,0,0,0,13,13
FRA,202009,Male,0,0,0,0,15,15
FRA,202010,Female,0,0,0,0,52,52
FRA,202010,Male,0,0,0,0,59,59
FRA,202011,Female,0,0,0,0,81,81
FRA,202011,Male,0,0,0,0,114,114
FRA,202012,Female,0,0,0,0,182,182
FRA,202012,Male,0,0,0,0,183,183
FRA,202013,Female,0,0,0,0,181,181
FRA,202013,Male,0,0,0,0,171,171
FRA,202014,Female,0,0,0,0,159,159
FRA,202014,Male,0,0,0,0,146,146
FRA,202015,Female,0,0,0,0,110,110
FRA,202015,Male,0,0,0,0,93,93
FRA,202016,Female,0,0,0,0,47,47
FRA,202016,Male,0,0,0,0,39,39
FRA,202017,Female,0,0,0,0,40,40
FRA,202017,Male,0,0,0,0,26,26
FRA,202018,Female,0,0,0,0,27,27
FRA,202018,Male,0,0,0,0,22,22
FRA,202019,Female,0,0,0,0,18,18
FRA,202019,Male,0,0,0,0,12,12
FRA,202020,Female,0,0,0,0,18,18
FRA,202020,Male,0,0,0,0,14,14
FRA,202021,Female,0,0,0,0,14,14
FRA,202021,Male,0,0,0,0,2,2
FRA,202022,Female,0,0,0,0,7,7
FRA,202022,Male,0,0,0,0,4,4
FRA,202023,Female,0,0,0,0,3,3
FRA,202023,Male,0,0,0,0,1,1
FRA,202024,Female,0,0,0,0,11,11
FRA,202024,Male,0,0,0,0,2,2
FRA,202025,Female,0,0,0,0,5,5
FRA,202025,Male,0,0,0,0,6,6
FRA,202026,Female,0,0,0,0,1,1
FRA,202026,Male,0,0,0,0,5,5
FRA,202027,Female,0,0,0,0,3,3
