Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
FRA,202002,0,0,0,0,2,2
FRA,202004,0,0,0,0,4,4
FRA,202005,0,0,0,0,6,6
FRA,202006,0,0,0,0,6,6
FRA,202007,0,0,0,0,1,1
FRA,202008,0,0,0,0,5,5
FRA,202009,0,0,0,0,28,28
FRA,202010,0,0,0,0,111,111
FRA,202011,0,0,0,0,195,195
FRA,202012,0,0,0,0,365,365
FRA,202013,0,0,0,0,352,352
FRA,202014,0,0,0,0,305,305
FRA,202015,0,0,0,0,203,203
FRA,202016,0,0,0,0,86,86
FRA,202017,0,0,0,0,66,66
FRA,202018,0,0,0,0,49,49
FRA,202019,0,0,0,0,30,30
FRA,202020,0,0,0,0,32,32
FRA,202021,0,0,0,0,16,16
FRA,202022,0,0,0,0,11,11
FRA,202023,0,0,0,0,4,4
FRA,202024,0,0,0,0,13,13
FRA,202025,0,0,0,0,11,11
FRA,202026,0,0,0,0,6,6
FRA,202027,0,0,0,0,7,7
FRA,202028,0,0,0,0,9,9
FRA,202029,0,0,0,0,12,12
FRA,202030,0,0,0,0,9,9
FRA,202031,0,0,0,0,15,15
FRA,202032,0,0,0,0,19,19
FRA,202033,0,0,0,0,45,45
FRA,202034,0,0,0,0,28,28
FRA,202035,0,0,0,0,18,18
FRA,202036,0,0,0,0,88,88
FRA,202037,0,0,0,0,49,49
FRA,202038,0,0,0,0,63,63
FRA,202039,0,0,0,0,52,52
FRA,202040,0,0,0,0,47,47
FRA,202041,0,0,0,0,37,37
FRA,202042,0,0,0,0,72,72
FRA,202043,0,0,0,0,303,303
FRA,202044,0,0,0,0,197,197
FRA,202045,0,0,0,0,161,161
FRA,202046,0,0,0,0,114,114
FRA,202047,1,0,0,0,135,136
FRA,202048,0,0,0,0,80,80
FRA,202049,1,0,0,0,107,108
FRA,202050,0,0,0,0,69,69
FRA,202051,1,0,0,0,123,124
FRA,202052,28,2,0,0,137,167
FRA,202053,41,3,0,0,153,197
FRA,202101,146,7,0,0,331,484
FRA,202102,214,14,1,0,407,636
FRA,202103,279,30,2,0,502,813
FRA,202104,788,63,0,0,720,1571
FRA,202105,963,54,0,0,390,1407
FRA,202106,451,44,0,0,353,848
FRA,202107,722,58,0,0,694,1474
FRA,202108,767,58,1,0,408,1234
FRA,202109,1753,141,0,0,685,2579
FRA,202110,1193,94,0,0,326,1613
FRA,202111,2864,226,0,0,574,3664
FRA,202112,1628,142,0,0,361,2131
FRA,202113,2425,238,1,0,410,3074
FRA,202114,932,117,0,0,226,1275
FRA,202115,2075,239,3,0,323,2640
FRA,202116,793,126,15,0,202,1136
FRA,202117,1555,212,27,0,191,1985
FRA,202118,505,113,30,0,104,752
FRA,202119,1512,189,14,0,111,1826
FRA,202120,485,89,19,0,99,692
FRA,202121,1491,99,28,0,147,1765
FRA,202122,348,50,77,0,117,592
FRA,202123,875,85,174,0,112,1246
FRA,202124,143,26,152,0,69,390
FRA,202125,380,85,578,0,155,1198
FRA,202126,255,50,832,0,102,1239
FRA,202127,309,64,1679,0,86,2138
FRA,202128,291,39,4280,0,88,4698
FRA,202129,229,11,6496,0,91,6827
FRA,202130,77,5,3641,0,62,3785
FRA,202131,61,2,2865,0,41,2969
FRA,202132,26,0,3947,0,46,4019
FRA,202133,14,0,4212,0,49,4275
FRA,202134,12,0,4195,0,58,4265
FRA,202135,5,0,3345,0,48,3398
FRA,202136,2,0,2393,0,27,2422
FRA,202137,2,0,1926,0,28,1956
FRA,202138,3,0,1735,0,50,1788
FRA,202139,1,0,1520,0,20,1541
FRA,202140,0,0,1593,0,22,1615
FRA,202141,0,2,1834,0,23,1859
FRA,202142,1,0,3067,0,22,3090
FRA,202143,0,0,6899,0,58,6957
FRA,202144,1,0,5662,0,51,5714
FRA,202145,0,0,4488,2,43,4533
FRA,202146,3,0,4890,0,55,4948
FRA,202147,2,0,4513,12,95,4622
FRA,202148,0,0,6084,71,208,6363
FRA,202149,2,0,5316,372,184,5874
FRA,202150,2,1,4096,1145,181,5425
FRA,202151,1,0,2449,2249,80,4779
FRA,202152,0,1,2396,5104,97,7598
FRA,202201,0,0,745,4163,98,5006
FRA,202202,0,0,267,3277,82,3626
FRA,202203,0,0,76,1806,44,1926
FRA,202204,0,0,12,346,22,380
FRA,202205,0,0,2,26,0,28
