Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
FRA,202002,0,0,0,0,3,3
FRA,202004,0,0,0,0,5,5
FRA,202005,0,0,0,0,8,8
FRA,202006,0,0,0,0,6,6
FRA,202007,0,0,0,0,2,2
FRA,202008,0,0,0,0,5,5
FRA,202009,0,0,0,0,36,36
FRA,202010,0,0,0,0,142,142
FRA,202011,0,0,0,0,258,258
FRA,202012,0,0,0,0,504,504
FRA,202013,0,0,0,0,789,789
FRA,202014,0,0,0,0,856,856
FRA,202015,0,0,0,0,659,659
FRA,202016,0,0,0,0,315,315
FRA,202017,0,0,0,0,146,146
FRA,202018,0,0,0,0,100,100
FRA,202019,0,0,0,0,97,97
FRA,202020,0,0,0,0,38,38
FRA,202021,0,0,0,0,29,29
FRA,202022,0,0,0,0,36,36
FRA,202023,0,0,0,0,11,11
FRA,202024,0,0,0,0,27,27
FRA,202025,0,0,0,0,17,17
FRA,202026,0,0,0,0,11,11
FRA,202027,0,0,0,0,15,15
FRA,202028,0,0,0,0,32,32
FRA,202029,0,0,0,0,36,36
FRA,202030,0,0,0,0,50,50
FRA,202031,0,0,0,0,90,90
FRA,202032,0,0,0,0,93,93
FRA,202033,0,0,0,0,148,148
FRA,202034,0,0,0,0,134,134
FRA,202035,0,0,0,0,114,114
FRA,202036,2,0,0,0,395,397
FRA,202037,0,0,0,0,409,409
FRA,202038,0,0,0,0,353,353
FRA,202039,0,0,0,0,149,149
FRA,202040,0,0,0,0,198,198
FRA,202041,0,0,0,0,224,224
FRA,202042,0,0,0,0,262,262
FRA,202043,1,0,0,0,589,590
FRA,202044,2,0,0,0,613,615
FRA,202045,0,0,0,0,425,425
FRA,202046,0,0,0,0,326,326
FRA,202047,3,0,0,0,289,292
FRA,202048,0,0,0,0,173,173
FRA,202049,1,0,0,0,184,185
FRA,202050,0,0,0,0,147,147
FRA,202051,1,0,0,0,237,238
FRA,202052,29,3,0,0,212,244
FRA,202053,44,3,0,0,217,264
FRA,202101,204,7,0,0,436,647
FRA,202102,244,16,1,0,502,763
FRA,202103,309,38,2,0,601,950
FRA,202104,963,67,0,0,944,1974
FRA,202105,1033,64,0,0,506,1603
FRA,202106,538,49,0,0,412,999
FRA,202107,788,73,0,0,780,1641
FRA,202108,801,64,1,0,475,1341
FRA,202109,1924,151,0,0,1469,3544
FRA,202110,1341,110,0,0,867,2318
FRA,202111,3542,269,0,0,974,4785
FRA,202112,1993,153,0,0,421,2567
FRA,202113,2819,272,1,0,483,3575
FRA,202114,1226,138,1,0,269,1634
FRA,202115,2551,273,3,0,418,3245
FRA,202116,1292,150,15,0,259,1716
FRA,202117,2171,238,32,0,258,2699
FRA,202118,765,126,33,0,151,1075
FRA,202119,1725,197,17,0,144,2083
FRA,202120,710,94,49,0,146,999
FRA,202121,1621,103,41,0,157,1922
FRA,202122,376,53,81,0,125,635
FRA,202123,971,91,183,0,142,1387
FRA,202124,152,27,158,0,74,411
FRA,202125,400,86,591,0,167,1244
FRA,202126,288,59,911,0,111,1369
FRA,202127,343,68,1938,0,97,2446
FRA,202128,296,40,4469,0,111,4916
FRA,202129,239,18,7466,0,104,7827
FRA,202130,95,5,5157,0,102,5359
FRA,202131,72,2,3747,0,80,3901
FRA,202132,28,0,4100,0,54,4182
FRA,202133,14,0,4257,0,52,4323
FRA,202134,12,0,4260,0,60,4332
FRA,202135,5,0,3447,0,50,3502
FRA,202136,2,0,2444,0,28,2474
FRA,202137,2,0,1946,0,28,1976
FRA,202138,3,0,1750,0,53,1806
FRA,202139,1,0,1531,0,20,1552
FRA,202140,0,0,1614,0,22,1636
FRA,202141,0,2,1853,0,23,1878
FRA,202142,1,0,3088,0,22,3111
FRA,202143,0,0,6982,0,58,7040
FRA,202144,1,0,5978,0,51,6030
FRA,202145,0,0,5211,2,45,5258
FRA,202146,3,0,4940,0,56,4999
FRA,202147,2,0,4855,13,108,4978
FRA,202148,0,0,6171,82,216,6469
FRA,202149,2,0,5633,424,206,6265
FRA,202150,2,1,4754,1532,239,6528
FRA,202151,1,0,3118,2811,107,6037
FRA,202152,0,1,2970,6628,142,9741
FRA,202201,1,0,1142,6396,193,7732
FRA,202202,1,0,504,6236,128,6869
FRA,202203,0,0,233,5646,100,5979
FRA,202204,0,0,103,6035,86,6224
FRA,202205,0,0,52,5695,77,5824
FRA,202206,0,0,35,4852,43,4930
FRA,202207,0,0,14,3276,38,3328
FRA,202208,0,0,8,2613,25,2646
FRA,202209,1,0,1,641,25,668
FRA,202210,0,0,0,41,6,47
