Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
GBR,202005,20 – 30,0,0,0,0,1,1
GBR,202005,50 – 60,0,0,0,0,1,1
GBR,202006,10 – 20,0,0,0,0,2,2
GBR,202006,20 – 30,0,0,0,0,1,1
GBR,202006,50 – 60,0,0,0,0,6,6
GBR,202007,20 – 30,0,0,0,0,8,8
GBR,202007,40 – 50,0,0,0,0,1,1
GBR,202008,20 – 30,0,0,0,0,6,6
GBR,202008,>= 80,0,0,0,0,1,1
GBR,202009,10 – 20,0,0,0,0,2,2
GBR,202009,20 – 30,0,0,0,0,13,13
GBR,202009,30 – 40,0,0,0,0,12,12
GBR,202009,40 – 50,0,0,0,0,31,31
GBR,202009,50 – 60,0,0,0,0,23,23
GBR,202009,60 – 70,0,0,0,0,2,2
GBR,202009,70 – 80,0,0,0,0,1,1
GBR,202009,>= 80,0,0,0,0,3,3
GBR,202010,1 – 5,0,0,0,0,5,5
GBR,202010,10 – 20,0,0,0,0,14,14
GBR,202010,20 – 30,0,0,0,0,69,69
GBR,202010,30 – 40,0,0,0,0,93,93
GBR,202010,40 – 50,0,0,0,0,122,122
GBR,202010,5 – 10,0,0,0,0,2,2
GBR,202010,50 – 60,0,0,0,0,113,113
GBR,202010,60 – 70,0,0,0,0,47,47
GBR,202010,70 – 80,0,0,0,0,38,38
GBR,202010,>= 80,0,0,0,0,18,18
GBR,202011,1 – 5,0,0,0,0,2,2
GBR,202011,10 – 20,0,0,0,0,13,13
GBR,202011,20 – 30,0,0,0,0,110,110
GBR,202011,30 – 40,0,0,0,0,115,115
GBR,202011,40 – 50,0,0,0,0,97,97
GBR,202011,5 – 10,0,0,0,0,4,4
GBR,202011,50 – 60,0,0,0,0,128,128
GBR,202011,60 – 70,0,0,0,0,93,93
GBR,202011,70 – 80,0,0,0,0,77,77
GBR,202011,< 1,0,0,0,0,7,7
GBR,202011,>= 80,0,0,0,0,82,82
GBR,202012,1 – 5,0,0,0,0,2,2
GBR,202012,10 – 20,0,0,0,0,6,6
GBR,202012,20 – 30,0,0,0,0,55,55
GBR,202012,30 – 40,0,0,0,0,77,77
GBR,202012,40 – 50,0,0,0,0,91,91
GBR,202012,5 – 10,0,0,0,0,1,1
GBR,202012,50 – 60,0,0,0,0,147,147
GBR,202012,60 – 70,0,0,0,0,140,140
GBR,202012,70 – 80,0,0,0,0,156,156
GBR,202012,< 1,0,0,0,0,10,10
GBR,202012,>= 80,0,0,0,0,223,223
GBR,202013,1 – 5,0,0,0,0,1,1
GBR,202013,10 – 20,0,0,0,0,14,14
GBR,202013,20 – 30,0,0,0,0,73,73
GBR,202013,30 – 40,0,0,0,0,123,123
GBR,202013,40 – 50,0,0,0,0,173,173
GBR,202013,5 – 10,0,0,0,0,5,5
GBR,202013,50 – 60,0,0,0,0,255,255
GBR,202013,60 – 70,0,0,0,0,183,183
