Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
GBR,202005,0,0,0,0,2,2
GBR,202006,0,0,0,0,9,9
GBR,202007,0,0,0,0,9,9
GBR,202008,0,0,0,0,7,7
GBR,202009,0,0,0,0,87,87
GBR,202010,0,0,0,0,521,521
GBR,202011,0,0,0,0,728,728
GBR,202012,0,0,0,0,908,908
GBR,202013,0,0,0,0,1492,1492
GBR,202014,0,0,0,0,889,889
GBR,202015,0,0,0,0,176,176
GBR,202016,0,0,0,0,370,370
GBR,202017,0,0,0,0,190,190
GBR,202018,0,0,0,0,170,170
GBR,202019,0,0,0,0,66,66
GBR,202020,0,0,0,0,25,25
GBR,202021,0,0,0,0,8,8
GBR,202022,0,0,0,0,11,11
GBR,202023,0,0,0,0,22,22
GBR,202024,0,0,0,0,12,12
GBR,202025,0,0,0,0,26,26
GBR,202026,0,0,0,0,6,6
GBR,202027,0,0,0,0,22,22
GBR,202028,0,0,0,0,11,11
GBR,202029,0,0,0,0,2,2
GBR,202030,0,0,0,0,1,1
GBR,202031,0,0,0,0,9,9
GBR,202032,0,0,0,0,11,11
GBR,202033,0,0,0,0,2,2
GBR,202034,0,0,0,0,2,2
GBR,202035,0,0,0,0,8,8
GBR,202036,0,0,0,0,10,10
GBR,202037,0,0,0,0,4,4
GBR,202038,0,0,0,0,14,14
GBR,202039,0,0,0,0,19,19
GBR,202040,0,0,0,0,53,53
GBR,202041,0,0,0,0,97,97
GBR,202042,0,0,0,0,166,166
GBR,202043,0,0,0,0,167,167
GBR,202044,0,0,0,0,139,139
GBR,202045,3,0,0,0,218,221
GBR,202046,6,0,0,0,191,197
GBR,202047,5,0,0,0,167,172
GBR,202048,17,0,0,0,73,90
GBR,202049,41,0,0,0,87,128
GBR,202050,57,0,0,0,114,171
GBR,202051,115,0,0,0,229,344
GBR,202052,196,6,0,0,123,325
GBR,202053,162,1,0,0,89,252
GBR,202101,93,7,0,0,26,126
GBR,202102,29,17,0,0,13,59
GBR,202103,58,0,0,0,6,64
GBR,202104,14,0,0,0,2,16
GBR,202105,19,0,0,0,0,19
GBR,202106,5,0,0,0,1,6
GBR,202107,14,0,0,0,1,15
GBR,202108,10,0,0,0,1,11
GBR,202109,1,0,0,0,0,1
GBR,202112,1,0,0,0,1,2
GBR,202114,0,0,0,0,1,1
GBR,202127,0,0,0,0,1,1
GBR,202128,0,0,0,0,1,1
GBR,202130,0,0,2,0,0,2
GBR,202131,0,0,7,0,1,8
GBR,202132,0,0,5,0,0,5
GBR,202133,0,0,3,0,0,3
GBR,202134,0,0,4,0,0,4
GBR,202135,0,0,1,0,0,1
GBR,202136,0,0,2,0,0,2
GBR,202137,0,0,1,0,0,1
GBR,202138,0,0,3,0,0,3
GBR,202139,0,0,2,0,0,2
GBR,202142,0,0,5,0,0,5
GBR,202144,0,0,5,0,0,5
GBR,202145,0,0,4,0,0,4
GBR,202146,0,0,4,0,0,4
GBR,202149,0,0,6,0,0,6
GBR,202150,0,0,4,5,0,9
GBR,202151,0,0,1,2,0,3
GBR,202152,0,0,0,1,0,1
GBR,202201,0,0,0,5,0,5
GBR,202202,0,0,0,7,0,7
