Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
GBR,202005,Female,0,0,0,0,1,1
GBR,202005,Male,0,0,0,0,1,1
GBR,202006,Female,0,0,0,0,5,5
GBR,202006,Male,0,0,0,0,4,4
GBR,202007,Female,0,0,0,0,9,9
GBR,202008,Female,0,0,0,0,7,7
GBR,202009,Female,0,0,0,0,34,34
GBR,202009,Male,0,0,0,0,53,53
GBR,202010,Female,0,0,0,0,211,211
GBR,202010,Male,0,0,0,0,307,307
GBR,202011,Female,0,0,0,0,283,283
GBR,202011,Male,0,0,0,0,429,429
GBR,202012,Female,0,0,0,0,381,381
GBR,202012,Male,0,0,0,0,512,512
GBR,202013,Female,0,0,0,0,646,646
GBR,202013,Male,0,0,0,0,837,837
GBR,202014,Female,0,0,0,0,394,394
GBR,202014,Male,0,0,0,0,480,480
GBR,202015,Female,0,0,0,0,103,103
GBR,202015,Male,0,0,0,0,72,72
GBR,202016,Female,0,0,0,0,241,241
GBR,202016,Male,0,0,0,0,124,124
GBR,202017,Female,0,0,0,0,125,125
GBR,202017,Male,0,0,0,0,65,65
GBR,202018,Female,0,0,0,0,109,109
GBR,202018,Male,0,0,0,0,61,61
GBR,202019,Female,0,0,0,0,37,37
GBR,202019,Male,0,0,0,0,27,27
GBR,202020,Female,0,0,0,0,17,17
GBR,202020,Male,0,0,0,0,8,8
GBR,202021,Female,0,0,0,0,7,7
GBR,202021,Male,0,0,0,0,1,1
GBR,202022,Female,0,0,0,0,3,3
GBR,202022,Male,0,0,0,0,7,7
GBR,202023,Female,0,0,0,0,21,21
GBR,202023,Male,0,0,0,0,3,3
GBR,202024,Female,0,0,0,0,4,4
GBR,202024,Male,0,0,0,0,8,8
GBR,202025,Female,0,0,0,0,15,15
GBR,202025,Male,0,0,0,0,7,7
GBR,202026,Male,0,0,0,0,5,5
GBR,202027,Female,0,0,0,0,17,17
GBR,202027,Male,0,0,0,0,5,5
GBR,202028,Female,0,0,0,0,2,2
GBR,202029,Female,0,0,0,0,1,1
GBR,202030,Male,0,0,0,0,1,1
GBR,202031,Female,0,0,0,0,5,5
GBR,202031,Male,0,0,0,0,4,4
GBR,202032,Female,0,0,0,0,8,8
GBR,202032,Male,0,0,0,0,3,3
GBR,202033,Male,0,0,0,0,2,2
GBR,202034,Female,0,0,0,0,1,1
GBR,202034,Male,0,0,0,0,1,1
GBR,202035,Female,0,0,0,0,3,3
GBR,202035,Male,0,0,0,0,5,5
GBR,202036,Male,0,0,0,0,9,9
GBR,202037,Male,0,0,0,0,1,1
GBR,202038,Female,0,0,0,0,1,1
GBR,202038,Male,0,0,0,0,1,1
GBR,202039,Female,0,0,0,0,9,9
GBR,202039,Male,0,0,0,0,5,5
GBR,202040,Female,0,0,0,0,27,27
GBR,202040,Male,0,0,0,0,19,19
GBR,202041,Female,0,0,0,0,36,36
GBR,202041,Male,0,0,0,0,57,57
GBR,202042,Female,0,0,0,0,80,80
GBR,202042,Male,0,0,0,0,73,73
GBR,202043,Female,0,0,0,0,88,88
GBR,202043,Male,0,0,0,0,66,66
GBR,202044,Female,0,0,0,0,83,83
GBR,202044,Male,0,0,0,0,56,56
GBR,202045,Female,1,0,0,0,133,134
GBR,202045,Male,2,0,0,0,80,82
GBR,202046,Female,4,0,0,0,116,120
GBR,202046,Male,2,0,0,0,68,70
GBR,202047,Female,4,0,0,0,98,102
GBR,202047,Male,1,0,0,0,61,62
GBR,202048,Female,1,0,0,0,36,37
GBR,202048,Male,15,0,0,0,36,51
GBR,202049,Female,19,0,0,0,51,70
GBR,202049,Male,21,0,0,0,36,57
GBR,202050,Female,33,0,0,0,71,104
GBR,202050,Male,24,0,0,0,42,66
GBR,202051,Female,72,0,0,0,140,212
GBR,202051,Male,41,0,0,0,75,116
GBR,202052,Female,110,2,0,0,85,197
GBR,202052,Male,79,4,0,0,28,111
GBR,202053,Female,76,0,0,0,70,146
GBR,202053,Male,70,2,0,0,17,89
GBR,202101,Female,53,2,0,0,18,73
GBR,202101,Male,40,5,0,0,8,53
GBR,202102,Female,15,9,0,0,9,33
GBR,202102,Male,15,8,0,0,4,27
GBR,202103,Female,31,0,0,0,3,34
GBR,202103,Male,27,0,0,0,3,30
GBR,202104,Female,12,0,0,0,0,12
GBR,202104,Male,3,0,0,0,2,5
GBR,202105,Female,6,0,0,0,0,6
GBR,202105,Male,11,0,0,0,0,11
GBR,202106,Female,3,0,0,0,0,3
GBR,202106,Male,2,0,0,0,1,3
GBR,202107,Female,3,0,0,0,0,3
GBR,202107,Male,11,0,0,0,1,12
GBR,202108,Female,3,0,0,0,0,3
GBR,202108,Male,6,0,0,0,1,7
GBR,202109,Male,1,0,0,0,0,1
GBR,202112,Male,1,0,0,0,1,2
GBR,202114,Male,0,0,0,0,1,1
GBR,202127,Female,0,0,0,0,1,1
GBR,202128,Male,0,0,0,0,1,1
GBR,202130,Male,0,0,2,0,0,2
GBR,202131,Female,0,0,3,0,1,4
GBR,202131,Male,0,0,4,0,0,4
GBR,202132,Female,0,0,2,0,0,2
GBR,202132,Male,0,0,3,0,0,3
GBR,202133,Male,0,0,3,0,0,3
GBR,202134,Female,0,0,1,0,0,1
GBR,202134,Male,0,0,3,0,0,3
GBR,202135,Female,0,0,1,0,0,1
GBR,202136,Male,0,0,2,0,0,2
GBR,202137,Male,0,0,1,0,0,1
GBR,202138,Female,0,0,1,0,0,1
GBR,202138,Male,0,0,2,0,0,2
GBR,202139,Female,0,0,1,0,0,1
GBR,202139,Male,0,0,1,0,0,1
GBR,202142,Female,0,0,2,0,0,2
GBR,202142,Male,0,0,3,0,0,3
GBR,202144,Female,0,0,1,0,0,1
GBR,202144,Male,0,0,4,0,0,4
GBR,202145,Female,0,0,2,0,0,2
GBR,202145,Male,0,0,2,0,0,2
GBR,202146,Male,0,0,4,0,0,4
GBR,202149,Female,0,0,2,0,0,2
GBR,202149,Male,0,0,4,0,0,4
GBR,202150,Female,0,0,1,0,0,1
GBR,202150,Male,0,0,1,1,0,2
GBR,202151,Female,0,0,0,2,0,2
GBR,202152,Female,0,0,0,1,0,1
