Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
GBR,202005,0,0,0,0,2,2
GBR,202006,0,0,0,0,9,9
GBR,202007,0,0,0,0,9,9
GBR,202008,0,0,0,0,7,7
GBR,202009,0,0,0,0,87,87
GBR,202010,0,0,0,0,518,518
GBR,202011,0,0,0,0,712,712
GBR,202012,0,0,0,0,893,893
GBR,202013,0,0,0,0,1483,1483
GBR,202014,0,0,0,0,874,874
GBR,202015,0,0,0,0,175,175
GBR,202016,0,0,0,0,365,365
GBR,202017,0,0,0,0,190,190
GBR,202018,0,0,0,0,170,170
GBR,202019,0,0,0,0,64,64
GBR,202020,0,0,0,0,25,25
GBR,202021,0,0,0,0,8,8
GBR,202022,0,0,0,0,10,10
GBR,202023,0,0,0,0,24,24
GBR,202024,0,0,0,0,12,12
GBR,202025,0,0,0,0,22,22
GBR,202026,0,0,0,0,5,5
GBR,202027,0,0,0,0,22,22
GBR,202028,0,0,0,0,2,2
GBR,202029,0,0,0,0,1,1
GBR,202030,0,0,0,0,1,1
GBR,202031,0,0,0,0,9,9
GBR,202032,0,0,0,0,11,11
GBR,202033,0,0,0,0,2,2
GBR,202034,0,0,0,0,2,2
GBR,202035,0,0,0,0,8,8
GBR,202036,0,0,0,0,9,9
GBR,202037,0,0,0,0,1,1
GBR,202038,0,0,0,0,2,2
GBR,202039,0,0,0,0,14,14
GBR,202040,0,0,0,0,46,46
GBR,202041,0,0,0,0,93,93
GBR,202042,0,0,0,0,153,153
GBR,202043,0,0,0,0,154,154
GBR,202044,0,0,0,0,139,139
GBR,202045,3,0,0,0,213,216
GBR,202046,6,0,0,0,184,190
GBR,202047,5,0,0,0,159,164
GBR,202048,16,0,0,0,72,88
GBR,202049,40,0,0,0,87,127
GBR,202050,57,0,0,0,113,170
GBR,202051,113,0,0,0,215,328
GBR,202052,189,6,0,0,113,308
GBR,202053,146,2,0,0,87,235
GBR,202101,93,7,0,0,26,126
GBR,202102,30,17,0,0,13,60
GBR,202103,58,0,0,0,6,64
GBR,202104,15,0,0,0,2,17
GBR,202105,17,0,0,0,0,17
GBR,202106,5,0,0,0,1,6
GBR,202107,14,0,0,0,1,15
GBR,202108,9,0,0,0,1,10
GBR,202109,1,0,0,0,0,1
GBR,202112,1,0,0,0,1,2
GBR,202114,0,0,0,0,1,1
GBR,202127,0,0,0,0,1,1
GBR,202128,0,0,0,0,1,1
GBR,202130,0,0,2,0,0,2
GBR,202131,0,0,7,0,1,8
GBR,202132,0,0,5,0,0,5
GBR,202133,0,0,3,0,0,3
GBR,202134,0,0,4,0,0,4
GBR,202135,0,0,1,0,0,1
GBR,202136,0,0,2,0,0,2
GBR,202137,0,0,1,0,0,1
GBR,202138,0,0,3,0,0,3
GBR,202139,0,0,2,0,0,2
GBR,202142,0,0,5,0,0,5
GBR,202144,0,0,5,0,0,5
GBR,202145,0,0,4,0,0,4
GBR,202146,0,0,4,0,0,4
GBR,202149,0,0,6,0,0,6
GBR,202150,0,0,4,5,0,9
GBR,202151,0,0,1,2,0,3
GBR,202152,0,0,0,1,0,1
