Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
GBR,202005,0,0,0,0,4,4
GBR,202006,0,0,0,0,9,9
GBR,202007,0,0,0,0,19,19
GBR,202008,0,0,0,0,12,12
GBR,202009,0,0,0,0,134,134
GBR,202010,0,0,0,0,661,661
GBR,202011,0,0,0,0,1250,1250
GBR,202012,1,0,0,0,2188,2189
GBR,202013,0,0,0,0,4905,4905
GBR,202014,0,0,0,0,6060,6060
GBR,202015,0,0,0,0,5246,5246
GBR,202016,0,0,0,0,4457,4457
GBR,202017,0,0,0,0,3503,3503
GBR,202018,0,0,0,0,2727,2727
GBR,202019,0,0,0,0,2099,2099
GBR,202020,0,0,0,0,1624,1624
GBR,202021,0,0,0,0,1254,1254
GBR,202022,0,0,0,0,746,746
GBR,202023,0,0,0,0,859,859
GBR,202024,0,0,0,0,2504,2504
GBR,202025,0,0,0,0,2252,2252
GBR,202026,0,0,0,0,1210,1210
GBR,202027,0,0,0,0,1222,1222
GBR,202028,0,0,0,0,219,219
GBR,202029,0,0,0,0,862,862
GBR,202030,0,0,0,0,644,644
GBR,202031,0,0,0,0,513,513
GBR,202032,0,0,1,0,879,880
GBR,202033,0,0,0,0,1478,1478
GBR,202034,0,0,0,0,1784,1784
GBR,202035,0,0,0,0,2004,2004
GBR,202036,0,0,0,0,2594,2594
GBR,202037,0,0,0,0,3394,3394
GBR,202038,0,0,0,0,3416,3416
GBR,202039,3,0,0,0,5614,5617
GBR,202040,3,0,0,0,5139,5142
GBR,202041,1,0,0,0,6587,6588
GBR,202042,6,0,0,0,7172,7178
GBR,202043,33,0,0,0,9289,9322
GBR,202044,33,0,1,0,5894,5928
GBR,202045,215,0,1,0,10080,10296
GBR,202046,685,0,1,0,11052,11738
GBR,202047,559,0,1,0,6303,6863
GBR,202048,680,0,0,0,4726,5406
GBR,202049,592,0,0,0,3101,3693
GBR,202050,2653,4,0,0,6214,8871
GBR,202051,5646,13,0,0,6535,12194
GBR,202052,3978,15,2,0,3837,7832
GBR,202053,7152,28,3,0,3130,10313
GBR,202101,9648,27,2,0,3143,12820
GBR,202102,12565,40,2,0,3049,15656
GBR,202103,13251,33,4,0,2177,15465
GBR,202104,19175,23,5,0,1719,20922
GBR,202105,11443,19,3,0,867,12332
GBR,202106,14406,29,1,0,707,15143
GBR,202107,16270,18,4,0,599,16891
GBR,202108,16551,29,2,0,447,17029
GBR,202109,14353,37,0,0,360,14750
GBR,202110,16989,38,5,0,346,17378
GBR,202111,16423,69,3,0,243,16738
GBR,202112,17482,66,4,0,216,17768
GBR,202113,12945,66,22,0,173,13206
GBR,202114,8374,70,68,0,167,8679
GBR,202115,7524,57,172,0,220,7973
GBR,202116,6938,53,415,0,205,7611
GBR,202117,6273,59,779,0,192,7303
GBR,202118,5375,42,1627,0,163,7207
GBR,202119,4374,23,2946,0,131,7474
GBR,202120,3478,12,5614,0,100,9204
GBR,202121,3181,16,10458,0,79,13734
GBR,202122,2700,14,18627,0,61,21402
GBR,202123,1441,14,16163,0,58,17676
GBR,202124,674,1,16623,0,79,17377
GBR,202125,538,5,24565,0,31,25139
GBR,202126,388,0,30787,0,57,31232
GBR,202127,222,0,29030,0,34,29286
GBR,202128,80,2,24430,0,34,24546
GBR,202129,67,3,32203,0,28,32301
GBR,202130,148,2,34745,0,21,34916
GBR,202131,18,3,32147,0,15,32183
GBR,202132,10,1,28949,0,13,28973
GBR,202133,9,0,36603,0,9,36621
GBR,202134,15,0,40247,0,12,40274
GBR,202135,8,0,41119,0,12,41139
GBR,202136,7,1,39045,0,0,39053
GBR,202137,9,0,39889,0,3,39901
GBR,202138,9,0,39024,0,33,39066
GBR,202139,1,1,38340,0,31,38373
GBR,202140,6,1,40723,0,7,40737
GBR,202141,3,1,38714,0,18,38736
GBR,202142,2,0,42005,0,6,42013
GBR,202143,6,0,42999,0,5,43010
GBR,202144,0,0,46996,2,2,47000
GBR,202145,1,1,53874,1,7,53884
GBR,202146,1,0,53178,5,4,53188
GBR,202147,5,1,58832,157,12,59007
GBR,202148,0,0,64227,982,9,65218
GBR,202149,1,0,57981,8258,38,66278
GBR,202150,0,0,31008,39780,73,70861
GBR,202151,0,0,9256,42378,49,51683
GBR,202152,0,0,3566,65328,46,68940
GBR,202201,1,0,1741,75065,31,76838
GBR,202202,1,0,620,61701,13,62335
GBR,202203,0,0,269,68731,3,69003
GBR,202204,1,0,145,60574,3,60723
GBR,202205,1,0,54,71895,2,71952
GBR,202206,3,0,26,71839,4,71872
GBR,202207,0,0,22,70694,0,70716
GBR,202208,0,0,12,58476,10,58498
GBR,202209,0,0,0,45926,1,45927
GBR,202210,0,0,1,9180,43,9224
