Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
GRC,202009,60 – 70,0,0,0,0,1,1
GRC,202010,40 – 50,0,0,0,0,1,1
GRC,202011,50 – 60,0,0,0,0,1,1
GRC,202011,60 – 70,0,0,0,0,1,1
GRC,202013,30 – 40,0,0,0,0,1,1
GRC,202013,40 – 50,0,0,0,0,2,2
GRC,202014,40 – 50,0,0,0,0,2,2
GRC,202014,50 – 60,0,0,0,0,1,1
GRC,202014,60 – 70,0,0,0,0,2,2
GRC,202014,70 – 80,0,0,0,0,1,1
GRC,202014,>= 80,0,0,0,0,1,1
GRC,202015,20 – 30,0,0,0,0,1,1
GRC,202015,50 – 60,0,0,0,0,1,1
GRC,202015,70 – 80,0,0,0,0,1,1
GRC,202016,40 – 50,0,0,0,0,2,2
GRC,202017,30 – 40,0,0,0,0,1,1
GRC,202017,40 – 50,0,0,0,0,1,1
GRC,202017,50 – 60,0,0,0,0,1,1
GRC,202017,70 – 80,0,0,0,0,2,2
GRC,202018,30 – 40,0,0,0,0,1,1
GRC,202019,60 – 70,0,0,0,0,2,2
GRC,202020,50 – 60,0,0,0,0,1,1
GRC,202020,70 – 80,0,0,0,0,1,1
GRC,202020,>= 80,0,0,0,0,2,2
GRC,202053,20 – 30,3,0,0,0,3,6
GRC,202103,30 – 40,0,0,0,0,1,1
GRC,202110,30 – 40,1,0,0,0,0,1
GRC,202110,50 – 60,1,0,0,0,0,1
GRC,202110,70 – 80,0,0,0,0,1,1
GRC,202110,>= 80,2,0,0,0,0,2
GRC,202111,10 – 20,8,0,0,0,0,8
GRC,202111,20 – 30,15,0,0,0,2,17
GRC,202111,30 – 40,18,0,0,0,0,18
GRC,202111,40 – 50,17,0,0,0,1,18
GRC,202111,50 – 60,14,0,0,0,0,14
GRC,202111,60 – 70,11,0,0,0,1,12
GRC,202111,70 – 80,5,0,0,0,0,5
GRC,202111,>= 80,3,0,0,0,0,3
GRC,202112,10 – 20,0,0,0,0,1,1
GRC,202112,20 – 30,1,0,0,0,1,2
GRC,202112,30 – 40,3,0,0,0,1,4
GRC,202112,40 – 50,4,0,0,0,0,4
GRC,202112,50 – 60,2,0,0,0,0,2
GRC,202112,60 – 70,1,0,0,0,1,2
GRC,202112,70 – 80,1,0,0,0,0,1
GRC,202113,1 – 5,1,0,0,0,0,1
GRC,202113,10 – 20,6,0,0,0,0,6
GRC,202113,20 – 30,5,0,0,0,3,8
GRC,202113,30 – 40,5,0,0,0,0,5
GRC,202113,40 – 50,4,0,0,0,0,4
GRC,202113,50 – 60,4,0,0,0,0,4
GRC,202113,60 – 70,3,0,0,0,2,5
GRC,202113,70 – 80,3,0,0,0,0,3
GRC,202113,>= 80,0,0,0,0,2,2
GRC,202114,10 – 20,3,0,0,0,1,4
GRC,202114,30 – 40,1,0,0,0,1,2
GRC,202114,40 – 50,4,0,0,0,0,4
GRC,202114,50 – 60,6,0,0,0,1,7
GRC,202114,60 – 70,2,0,0,0,0,2
GRC,202114,70 – 80,1,0,0,0,0,1
GRC,202115,40 – 50,1,0,0,0,0,1
GRC,202115,50 – 60,1,0,0,0,0,1
GRC,202116,10 – 20,1,0,0,0,0,1
GRC,202116,40 – 50,1,0,0,0,0,1
GRC,202117,20 – 30,1,0,0,0,0,1
GRC,202117,60 – 70,1,0,0,0,0,1
GRC,202118,10 – 20,14,0,0,0,0,14
GRC,202118,20 – 30,19,0,0,0,0,19
GRC,202118,30 – 40,8,0,0,0,0,8
GRC,202118,40 – 50,20,0,0,0,1,21
GRC,202118,5 – 10,1,0,0,0,0,1
GRC,202118,50 – 60,11,0,0,0,1,12
GRC,202118,60 – 70,10,0,0,0,0,10
GRC,202118,70 – 80,1,0,0,0,0,1
GRC,202118,>= 80,2,0,0,0,0,2
