Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
GRC,202009,Male,0,0,0,0,1,1
GRC,202010,Female,0,0,0,0,1,1
GRC,202011,Female,0,0,0,0,1,1
GRC,202011,Male,0,0,0,0,1,1
GRC,202013,Female,0,0,0,0,1,1
GRC,202013,Male,0,0,0,0,2,2
GRC,202014,Female,0,0,0,0,2,2
GRC,202014,Male,0,0,0,0,6,6
GRC,202015,Female,0,0,0,0,1,1
GRC,202015,Male,0,0,0,0,2,2
GRC,202016,Female,0,0,0,0,2,2
GRC,202017,Female,0,0,0,0,2,2
GRC,202017,Male,0,0,0,0,3,3
GRC,202018,Female,0,0,0,0,1,1
GRC,202019,Female,0,0,0,0,1,1
GRC,202019,Male,0,0,0,0,1,1
GRC,202020,Female,0,0,0,0,4,4
GRC,202020,Male,0,0,0,0,1,1
GRC,202053,Female,3,0,0,0,1,4
GRC,202053,Male,0,0,0,0,2,2
GRC,202102,Female,2,1,0,0,0,3
GRC,202102,Male,2,0,0,0,0,2
GRC,202103,Female,18,0,0,0,0,18
GRC,202103,Male,11,1,0,0,2,14
GRC,202104,Female,11,0,0,0,0,11
GRC,202104,Male,11,0,0,0,0,11
GRC,202108,Female,0,1,0,0,0,1
GRC,202110,Female,3,0,0,0,1,4
GRC,202110,Male,1,2,0,0,0,3
GRC,202111,Female,50,0,0,0,2,52
GRC,202111,Male,45,0,0,0,3,48
GRC,202112,Female,10,0,0,0,3,13
GRC,202112,Male,7,0,1,0,5,13
GRC,202113,Female,23,0,0,0,6,29
GRC,202113,Male,14,0,0,0,1,15
GRC,202114,Female,29,0,0,0,2,31
GRC,202114,Male,37,1,0,0,2,40
GRC,202115,Female,28,0,0,0,0,28
GRC,202115,Male,26,0,0,0,0,26
GRC,202116,Female,30,0,0,0,1,31
GRC,202116,Male,26,0,0,0,0,26
GRC,202117,Female,40,0,0,0,1,41
GRC,202117,Male,37,0,0,0,2,39
GRC,202118,Female,52,0,0,0,2,54
GRC,202118,Male,75,0,0,0,0,75
GRC,202119,Female,75,0,0,0,1,76
GRC,202119,Male,66,0,0,0,3,69
GRC,202120,Female,40,0,0,0,18,58
GRC,202120,Male,42,1,0,0,17,60
GRC,202121,Female,10,0,0,0,12,22
GRC,202121,Male,8,0,0,0,18,26
GRC,202122,Female,0,0,0,0,29,29
GRC,202122,Male,0,0,0,0,34,34
GRC,202123,Female,19,2,0,0,21,42
GRC,202123,Male,14,0,1,0,25,40
GRC,202124,Female,16,0,3,0,11,30
GRC,202124,Male,19,0,3,0,22,44
GRC,202125,Female,1,0,0,0,0,1
GRC,202125,Male,1,0,0,0,1,2
GRC,202126,Female,1,2,4,0,1,8
GRC,202126,Male,2,0,3,0,2,7
GRC,202127,Female,7,1,31,0,2,41
GRC,202127,Male,11,4,15,0,1,31
GRC,202128,Female,0,0,10,0,0,10
GRC,202128,Male,2,2,14,0,0,18
GRC,202129,Female,6,0,12,0,2,20
GRC,202129,Male,2,0,24,0,2,28
GRC,202130,Female,12,0,108,0,0,120
GRC,202130,Male,8,2,98,0,4,112
GRC,202131,Female,0,0,2,0,0,2
GRC,202131,Male,0,0,0,0,1,1
GRC,202135,Female,0,0,1,0,0,1
GRC,202135,Male,0,0,1,0,0,1
GRC,202136,Female,0,0,23,0,0,23
GRC,202136,Male,0,0,20,0,0,20
GRC,202137,Female,0,0,4,0,0,4
GRC,202137,Male,0,0,5,0,0,5
GRC,202143,Female,0,0,13,0,1,14
GRC,202143,Male,0,0,16,0,2,18
GRC,202144,Female,0,0,40,0,9,49
GRC,202144,Male,0,0,49,0,2,51
GRC,202145,Female,0,0,55,0,4,59
GRC,202145,Male,0,0,70,0,3,73
GRC,202146,Female,0,0,44,0,2,46
GRC,202146,Male,0,0,58,0,6,64
GRC,202147,Female,0,0,34,0,10,44
GRC,202147,Male,0,0,37,0,4,41
GRC,202148,Female,0,0,71,0,9,80
GRC,202148,Male,0,0,79,1,7,87
GRC,202149,Female,0,0,41,1,9,51
GRC,202149,Male,0,0,36,0,2,38
GRC,202150,Female,0,0,52,0,1,53
GRC,202150,Male,0,0,45,0,2,47
GRC,202151,Female,0,0,1,2,0,3
GRC,202151,Male,0,0,2,0,0,2
GRC,202152,Female,0,0,1,0,0,1
GRC,202152,Male,0,0,1,0,0,1
