Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
GRC,202009,0,0,0,0,0,1,1
GRC,202010,0,0,0,0,0,1,1
GRC,202011,0,0,0,0,0,2,2
GRC,202013,0,0,0,0,0,3,3
GRC,202014,0,0,0,0,0,8,8
GRC,202015,0,0,0,0,0,3,3
GRC,202016,0,0,0,0,0,2,2
GRC,202017,0,0,0,0,0,5,5
GRC,202018,0,0,0,0,0,1,1
GRC,202019,0,0,0,0,0,2,2
GRC,202020,0,0,0,0,0,5,5
GRC,202053,3,0,0,0,0,3,6
GRC,202102,4,1,0,0,0,0,5
GRC,202103,29,1,0,0,0,2,32
GRC,202104,22,0,0,0,0,0,22
GRC,202108,0,1,0,0,0,0,1
GRC,202110,4,2,0,0,0,1,7
GRC,202111,95,0,0,0,0,5,100
GRC,202112,17,0,1,0,0,8,26
GRC,202113,37,0,0,0,0,7,44
GRC,202114,66,1,0,0,0,4,71
GRC,202115,54,0,0,0,0,0,54
GRC,202116,56,0,0,0,0,1,57
GRC,202117,77,0,0,0,0,3,80
GRC,202118,127,0,0,0,0,2,129
GRC,202119,141,0,0,0,0,4,145
GRC,202120,82,1,0,0,0,35,118
GRC,202121,18,0,0,0,0,30,48
GRC,202122,0,0,0,0,0,63,63
GRC,202123,33,2,1,0,0,46,82
GRC,202124,35,0,6,0,0,33,74
GRC,202125,2,0,0,0,0,1,3
GRC,202126,3,2,7,0,0,3,15
GRC,202127,18,5,46,0,0,3,72
GRC,202128,2,2,24,0,0,0,28
GRC,202129,8,0,36,0,0,4,48
GRC,202130,20,2,206,0,0,4,232
GRC,202131,0,0,2,0,0,1,3
GRC,202135,0,0,2,0,0,0,2
GRC,202136,0,0,43,0,0,0,43
GRC,202137,0,0,9,0,0,0,9
GRC,202143,0,0,29,0,0,3,32
GRC,202144,0,0,89,0,0,11,100
GRC,202145,0,0,125,0,0,7,132
GRC,202146,0,0,102,0,0,8,110
GRC,202147,0,0,71,0,0,14,85
GRC,202148,0,0,150,1,0,16,167
GRC,202149,0,0,77,0,0,12,89
GRC,202150,0,0,97,0,0,3,100
GRC,202151,0,0,3,2,0,0,5
GRC,202152,0,0,2,0,0,0,2
GRC,202202,0,0,3,8,0,4,15
GRC,202203,0,0,1,0,0,2,3
