Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
GRC,202009,0,0,0,0,1,1
GRC,202010,0,0,0,0,4,4
GRC,202011,0,0,0,0,51,51
GRC,202012,0,0,0,0,26,26
GRC,202013,0,0,0,0,18,18
GRC,202014,0,0,0,0,15,15
GRC,202015,0,0,0,0,3,3
GRC,202016,0,0,0,0,4,4
GRC,202017,0,0,0,0,11,11
GRC,202018,0,0,0,0,2,2
GRC,202019,0,0,0,0,5,5
GRC,202020,0,0,0,0,9,9
GRC,202030,0,0,0,0,1,1
GRC,202031,0,0,0,0,1,1
GRC,202032,0,0,0,0,8,8
GRC,202033,0,0,0,0,7,7
GRC,202035,0,0,0,0,2,2
GRC,202036,0,0,0,0,12,12
GRC,202037,0,0,0,0,11,11
GRC,202038,0,0,0,0,24,24
GRC,202039,0,0,0,0,13,13
GRC,202040,0,0,0,0,16,16
GRC,202041,0,0,0,0,27,27
GRC,202042,0,0,0,0,13,13
GRC,202043,0,0,0,0,14,14
GRC,202044,0,0,0,0,108,108
GRC,202045,0,0,0,0,59,59
GRC,202046,0,0,0,0,169,169
GRC,202047,0,0,0,0,17,17
GRC,202048,0,0,0,0,40,40
GRC,202049,0,0,0,0,23,23
GRC,202050,2,0,0,0,125,127
GRC,202051,5,0,0,0,139,144
GRC,202052,5,0,0,0,93,98
GRC,202053,9,0,0,0,94,103
GRC,202101,9,0,0,0,51,60
GRC,202102,6,2,0,0,5,13
GRC,202103,37,1,0,0,85,123
GRC,202104,27,0,0,0,28,55
GRC,202105,34,6,0,0,23,63
GRC,202106,19,4,0,0,35,58
GRC,202107,35,1,0,0,42,78
GRC,202108,322,3,0,0,79,404
GRC,202109,629,1,0,0,50,680
GRC,202110,565,2,0,0,26,593
GRC,202111,431,1,0,0,37,469
GRC,202112,153,0,1,0,26,180
GRC,202113,151,6,0,0,18,175
GRC,202114,335,5,0,0,49,389
GRC,202115,189,0,0,0,24,213
GRC,202116,527,2,1,0,127,657
GRC,202117,471,3,7,0,123,604
GRC,202118,530,2,1,0,75,608
GRC,202119,497,3,0,0,157,657
GRC,202120,217,2,0,0,114,333
GRC,202121,208,0,0,0,40,248
GRC,202122,11,0,0,0,68,79
GRC,202123,37,2,1,0,58,98
GRC,202124,40,0,6,0,42,88
GRC,202125,2,0,0,0,1,3
GRC,202126,3,2,8,0,3,16
GRC,202127,106,5,49,0,3,163
GRC,202128,2,4,104,0,7,117
GRC,202129,8,0,348,0,4,360
GRC,202130,32,2,275,0,4,313
GRC,202131,1,0,81,0,2,84
GRC,202132,6,0,154,0,0,160
GRC,202133,0,0,15,0,0,15
GRC,202135,1,0,296,0,0,297
GRC,202136,0,0,432,0,0,432
GRC,202137,0,0,248,0,0,248
GRC,202138,0,0,209,0,0,209
GRC,202139,0,0,131,0,0,131
GRC,202140,0,0,11,0,0,11
GRC,202142,0,0,11,0,0,11
GRC,202143,0,0,103,0,4,107
GRC,202144,0,0,270,0,12,282
GRC,202145,0,0,319,0,12,331
GRC,202146,0,0,329,0,9,338
GRC,202147,0,0,219,0,24,243
GRC,202148,0,0,713,2,25,740
GRC,202149,0,0,206,10,13,229
GRC,202150,0,0,285,45,3,333
GRC,202151,0,0,33,196,0,229
GRC,202152,0,0,3,71,0,74
GRC,202201,0,0,12,27,0,39
GRC,202202,0,0,17,83,0,100
GRC,202203,0,0,12,209,0,221
GRC,202204,0,0,0,137,0,137
GRC,202205,0,0,1,80,0,81
GRC,202206,0,0,3,20,0,23
GRC,202207,0,0,3,45,0,48
GRC,202208,0,0,2,16,0,18
