Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
HND,202121,Female,0,0,0,0,1,1
HND,202121,Male,0,0,0,0,5,5
HND,202130,Male,0,0,1,0,0,1
HND,202134,Male,0,0,0,0,1,1
HND,202135,Female,0,0,0,0,1,1
HND,202135,Male,0,0,2,0,1,3
HND,202136,Female,0,0,5,0,0,5
HND,202136,Male,0,0,1,0,0,1
HND,202137,Female,0,0,9,0,0,9
HND,202137,Male,0,0,7,0,0,7
HND,202138,Female,0,0,1,0,0,1
HND,202138,Male,0,0,1,0,0,1
HND,202139,Female,0,0,1,0,0,1
HND,202139,Male,0,0,1,0,0,1
HND,202140,Female,0,0,1,0,0,1
HND,202140,Male,0,0,5,0,0,5
HND,202141,Female,0,0,5,0,0,5
HND,202142,Male,0,0,2,0,0,2
HND,202143,Female,0,0,4,0,0,4
HND,202143,Male,0,0,5,0,0,5
HND,202144,Male,0,0,1,0,0,1
HND,202145,Female,0,0,2,0,0,2
HND,202145,Male,0,0,2,0,0,2
HND,202146,Female,0,0,2,0,0,2
HND,202146,Male,0,0,5,0,0,5
HND,202147,Female,0,0,1,0,0,1
HND,202148,Male,0,0,1,0,0,1
HND,202150,Female,0,0,1,1,0,2
HND,202151,Female,0,0,0,4,0,4
HND,202151,Male,0,0,0,5,0,5
HND,202152,Female,0,0,0,9,0,9
HND,202152,Male,0,0,0,8,0,8
HND,202201,Female,0,0,0,10,0,10
HND,202201,Male,0,0,0,9,0,9
