Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
IDN,202010,30 – 40,0,0,0,0,3,3
IDN,202010,50 – 60,0,0,0,0,2,2
IDN,202010,60 – 70,0,0,0,0,1,1
IDN,202011,40 – 50,0,0,0,0,1,1
IDN,202011,50 – 60,0,0,0,0,1,1
IDN,202012,20 – 30,0,0,0,0,1,1
IDN,202012,30 – 40,0,0,0,0,3,3
IDN,202012,40 – 50,0,0,0,0,1,1
IDN,202012,50 – 60,0,0,0,0,1,1
IDN,202012,60 – 70,0,0,0,0,1,1
IDN,202013,20 – 30,0,0,0,0,1,1
IDN,202013,30 – 40,0,0,0,0,3,3
IDN,202013,40 – 50,0,0,0,0,2,2
IDN,202013,50 – 60,0,0,0,0,4,4
IDN,202013,70 – 80,0,0,0,0,4,4
IDN,202014,30 – 40,0,0,0,0,3,3
IDN,202014,40 – 50,0,0,0,0,1,1
IDN,202014,50 – 60,0,0,0,0,2,2
IDN,202014,60 – 70,0,0,0,0,2,2
IDN,202014,70 – 80,0,0,0,0,1,1
IDN,202015,20 – 30,0,0,0,0,2,2
IDN,202015,30 – 40,0,0,0,0,2,2
IDN,202015,40 – 50,0,0,0,0,2,2
IDN,202015,50 – 60,0,0,0,0,3,3
IDN,202015,70 – 80,0,0,0,0,1,1
IDN,202016,20 – 30,0,0,0,0,3,3
IDN,202016,30 – 40,0,0,0,0,4,4
IDN,202016,40 – 50,0,0,0,0,1,1
IDN,202016,50 – 60,0,0,0,0,3,3
IDN,202017,30 – 40,0,0,0,0,2,2
IDN,202017,40 – 50,0,0,0,0,1,1
IDN,202017,70 – 80,0,0,0,0,5,5
IDN,202018,20 – 30,0,0,0,0,1,1
IDN,202018,30 – 40,0,0,0,0,2,2
IDN,202018,40 – 50,0,0,0,0,1,1
IDN,202018,60 – 70,0,0,0,0,1,1
IDN,202018,70 – 80,0,0,0,0,1,1
IDN,202019,40 – 50,0,0,0,0,1,1
IDN,202019,50 – 60,0,0,0,0,1,1
IDN,202019,60 – 70,0,0,0,0,2,2
IDN,202020,20 – 30,0,0,0,0,1,1
IDN,202020,30 – 40,0,0,0,0,1,1
IDN,202020,40 – 50,0,0,0,0,1,1
IDN,202020,60 – 70,0,0,0,0,1,1
IDN,202020,70 – 80,0,0,0,0,1,1
IDN,202021,30 – 40,0,0,0,0,3,3
IDN,202021,40 – 50,0,0,0,0,1,1
IDN,202021,50 – 60,0,0,0,0,3,3
IDN,202022,40 – 50,0,0,0,0,2,2
IDN,202022,50 – 60,0,0,0,0,1,1
IDN,202022,70 – 80,0,0,0,0,1,1
IDN,202023,20 – 30,0,0,0,0,2,2
IDN,202023,30 – 40,0,0,0,0,3,3
IDN,202023,40 – 50,0,0,0,0,1,1
IDN,202023,50 – 60,0,0,0,0,4,4
IDN,202023,60 – 70,0,0,0,0,4,4
IDN,202024,20 – 30,0,0,0,0,1,1
IDN,202024,30 – 40,0,0,0,0,3,3
IDN,202024,50 – 60,0,0,0,0,3,3
IDN,202024,60 – 70,0,0,0,0,2,2
IDN,202024,70 – 80,0,0,0,0,2,2
IDN,202025,10 – 20,0,0,0,0,1,1
IDN,202025,20 – 30,0,0,0,0,2,2
IDN,202025,30 – 40,0,0,0,0,3,3
IDN,202025,40 – 50,0,0,0,0,5,5
IDN,202025,50 – 60,0,0,0,0,4,4
IDN,202025,60 – 70,0,0,0,0,1,1
IDN,202026,30 – 40,0,0,0,0,5,5
IDN,202026,40 – 50,0,0,0,0,1,1
IDN,202026,50 – 60,0,0,0,0,1,1
IDN,202026,70 – 80,0,0,0,0,2,2
IDN,202027,20 – 30,0,0,0,0,2,2
IDN,202027,30 – 40,0,0,0,0,1,1
IDN,202027,50 – 60,0,0,0,0,2,2
IDN,202028,30 – 40,0,0,0,0,2,2
IDN,202028,40 – 50,0,0,0,0,2,2
IDN,202028,50 – 60,0,0,0,0,3,3
IDN,202029,20 – 30,0,0,0,0,1,1
IDN,202029,30 – 40,0,0,0,0,3,3
IDN,202029,40 – 50,0,0,0,0,5,5
IDN,202029,50 – 60,0,0,0,0,1,1
IDN,202029,60 – 70,0,0,0,0,1,1
IDN,202030,10 – 20,0,0,0,0,1,1
IDN,202030,20 – 30,0,0,0,0,4,4
IDN,202030,30 – 40,0,0,0,0,5,5
IDN,202030,40 – 50,0,0,0,0,2,2
IDN,202030,5 – 10,0,0,0,0,1,1
IDN,202030,50 – 60,0,0,0,0,2,2
IDN,202030,60 – 70,0,0,0,0,1,1
IDN,202031,20 – 30,0,0,0,0,3,3
IDN,202031,30 – 40,0,0,2,0,1,3
IDN,202031,40 – 50,0,0,1,0,2,3
IDN,202031,5 – 10,0,0,1,0,0,1
IDN,202031,50 – 60,0,0,1,0,0,1
IDN,202031,60 – 70,0,0,0,0,1,1
IDN,202032,10 – 20,0,0,0,0,2,2
IDN,202032,20 – 30,0,0,0,0,3,3
IDN,202032,30 – 40,0,0,0,0,4,4
IDN,202032,40 – 50,0,0,0,0,1,1
IDN,202032,50 – 60,0,0,0,0,1,1
IDN,202032,>= 80,0,0,0,0,1,1
IDN,202033,10 – 20,0,0,0,0,3,3
IDN,202033,20 – 30,0,0,0,0,6,6
IDN,202033,30 – 40,0,0,0,0,1,1
IDN,202033,40 – 50,0,0,0,0,2,2
IDN,202033,50 – 60,0,0,0,0,1,1
IDN,202033,>= 80,0,0,0,0,1,1
IDN,202034,20 – 30,0,0,0,0,1,1
IDN,202034,30 – 40,0,0,0,0,3,3
IDN,202034,40 – 50,0,0,0,0,7,7
IDN,202034,5 – 10,0,0,0,0,2,2
IDN,202034,50 – 60,0,0,0,0,5,5
IDN,202034,>= 80,0,0,0,0,1,1
IDN,202035,50 – 60,0,0,0,0,2,2
IDN,202035,60 – 70,0,0,0,0,1,1
IDN,202036,1 – 5,0,0,0,0,1,1
IDN,202036,10 – 20,0,0,0,0,1,1
IDN,202036,20 – 30,0,0,0,0,2,2
IDN,202036,30 – 40,0,0,0,0,6,6
