Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
IDN,202010,0,0,0,0,0,6,6
IDN,202011,0,0,0,0,0,2,2
IDN,202012,0,0,0,0,0,7,7
IDN,202013,0,0,0,0,0,14,14
IDN,202014,0,0,0,0,0,9,9
IDN,202015,0,0,0,0,0,10,10
IDN,202016,0,0,0,0,0,11,11
IDN,202017,0,0,0,0,0,8,8
IDN,202018,0,0,0,0,0,6,6
IDN,202019,0,0,0,0,0,4,4
IDN,202020,0,0,0,0,0,5,5
IDN,202021,0,0,0,0,0,7,7
IDN,202022,0,0,0,0,0,4,4
IDN,202023,0,0,0,0,0,14,14
IDN,202024,0,0,0,0,0,11,11
IDN,202025,0,0,0,0,0,16,16
IDN,202026,0,0,0,0,0,9,9
IDN,202027,0,0,0,0,0,5,5
IDN,202028,0,0,0,0,0,7,7
IDN,202029,0,0,0,0,0,11,11
IDN,202030,0,0,0,0,0,16,16
IDN,202031,0,0,5,0,0,7,12
IDN,202032,0,0,0,0,0,12,12
IDN,202033,0,0,0,0,0,14,14
IDN,202034,0,0,0,0,0,19,19
IDN,202035,0,0,0,0,0,3,3
IDN,202036,0,0,0,0,0,19,19
IDN,202037,0,0,0,0,0,22,22
IDN,202038,0,0,0,0,0,11,11
IDN,202039,0,0,0,0,0,11,11
IDN,202040,0,0,0,0,0,14,14
IDN,202041,0,0,0,0,0,15,15
IDN,202042,0,0,0,0,0,22,22
IDN,202043,0,0,0,0,0,30,30
IDN,202044,0,0,0,0,0,18,18
IDN,202045,0,0,0,0,0,26,26
IDN,202046,0,0,0,0,0,56,56
IDN,202047,0,0,0,0,0,33,33
IDN,202048,0,0,0,0,0,33,33
IDN,202049,0,0,0,0,0,45,45
IDN,202050,0,0,0,0,0,65,65
IDN,202051,0,0,0,0,0,38,38
IDN,202052,0,0,0,0,0,49,49
IDN,202053,0,0,0,0,0,103,103
IDN,202101,2,0,7,0,0,245,254
IDN,202102,0,0,3,0,0,222,225
IDN,202103,0,0,0,0,0,175,175
IDN,202104,1,2,0,0,0,123,126
IDN,202105,2,0,1,0,0,116,119
IDN,202106,3,0,3,0,0,63,69
IDN,202107,1,0,0,0,0,116,117
IDN,202108,2,0,0,0,0,131,133
IDN,202109,0,0,0,0,0,134,134
IDN,202110,3,1,3,0,0,123,130
IDN,202111,0,0,2,0,0,127,129
IDN,202112,0,0,2,0,0,110,112
IDN,202113,2,1,4,0,0,57,64
IDN,202114,2,0,14,0,0,106,122
IDN,202115,0,1,5,0,0,71,77
IDN,202116,4,0,8,0,0,99,111
IDN,202117,12,1,17,0,0,97,127
IDN,202118,4,7,12,0,0,158,181
IDN,202119,11,3,10,0,0,127,151
IDN,202120,4,1,18,0,0,227,250
IDN,202121,6,2,116,0,0,155,279
IDN,202122,9,2,195,0,0,150,356
IDN,202123,3,0,262,0,0,97,362
IDN,202124,1,0,414,0,0,94,509
IDN,202125,0,0,533,0,0,48,581
IDN,202126,8,0,490,0,0,46,544
IDN,202127,0,0,474,0,0,27,501
IDN,202128,0,0,419,0,0,17,436
IDN,202129,1,0,319,0,0,7,327
IDN,202130,0,0,436,0,0,5,441
IDN,202131,0,0,546,0,0,11,557
IDN,202132,0,0,264,0,0,1,265
IDN,202133,0,0,294,0,0,0,294
IDN,202134,0,0,298,0,0,1,299
IDN,202135,0,0,323,0,0,3,326
IDN,202136,0,0,225,0,0,2,227
IDN,202137,0,0,199,0,0,2,201
IDN,202138,0,0,154,0,0,1,155
IDN,202139,0,0,114,0,0,4,118
IDN,202140,0,0,128,0,0,1,129
IDN,202141,0,0,123,0,0,3,126
IDN,202142,0,0,74,0,0,0,74
IDN,202143,0,0,77,0,0,0,77
IDN,202144,0,0,46,0,0,0,46
IDN,202145,1,0,82,0,0,0,83
IDN,202146,0,0,73,0,0,0,73
IDN,202147,0,0,102,0,0,1,103
IDN,202148,0,0,98,1,0,3,102
IDN,202149,0,0,114,0,0,4,118
IDN,202150,0,0,199,12,0,6,217
IDN,202151,0,0,155,28,0,94,277
IDN,202152,0,0,223,140,4,251,618
IDN,202201,0,0,337,420,67,524,1348
IDN,202202,0,0,131,849,83,365,1428
IDN,202203,0,0,27,1837,48,242,2154
IDN,202204,0,0,6,850,36,124,1016
IDN,202205,0,0,3,94,60,99,256
IDN,202206,0,0,0,9,4,3,16
IDN,202207,0,0,0,4,4,4,12
