Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
IDN,202010,0,0,0,0,6,6
IDN,202011,0,0,0,0,2,2
IDN,202012,0,0,0,0,7,7
IDN,202013,0,0,0,0,14,14
IDN,202014,0,0,0,0,9,9
IDN,202015,0,0,0,0,10,10
IDN,202016,0,0,0,0,11,11
IDN,202017,0,0,0,0,8,8
IDN,202018,0,0,0,0,6,6
IDN,202019,0,0,0,0,5,5
IDN,202020,0,0,0,0,5,5
IDN,202021,0,0,0,0,7,7
IDN,202022,0,0,0,0,4,4
IDN,202023,0,0,0,0,14,14
IDN,202024,0,0,0,0,11,11
IDN,202025,0,0,0,0,17,17
IDN,202026,0,0,0,0,9,9
IDN,202027,0,0,0,0,4,4
IDN,202028,0,0,0,0,7,7
IDN,202029,0,0,0,0,11,11
IDN,202030,0,0,0,0,15,15
IDN,202031,0,0,5,0,8,13
IDN,202032,0,0,0,0,13,13
IDN,202033,0,0,0,0,14,14
IDN,202034,0,0,0,0,20,20
IDN,202035,0,0,0,0,5,5
IDN,202036,0,0,0,0,19,19
IDN,202037,0,0,0,0,22,22
IDN,202038,0,0,0,0,11,11
IDN,202039,0,0,0,0,11,11
IDN,202040,0,0,1,0,14,15
IDN,202041,0,0,0,0,15,15
IDN,202042,0,0,0,0,23,23
IDN,202043,0,0,0,0,31,31
IDN,202044,0,0,0,0,19,19
IDN,202045,0,0,0,0,26,26
IDN,202046,0,0,0,0,55,55
IDN,202047,0,0,0,0,35,35
IDN,202048,0,0,0,0,33,33
IDN,202049,0,0,0,0,45,45
IDN,202050,0,0,0,0,68,68
IDN,202051,0,0,0,0,40,40
IDN,202052,0,0,0,0,51,51
IDN,202053,0,0,0,0,107,107
IDN,202101,2,0,7,0,248,257
IDN,202102,0,0,3,0,225,228
IDN,202103,0,0,0,0,182,182
IDN,202104,1,2,0,0,126,129
IDN,202105,2,0,1,0,118,121
IDN,202106,3,0,3,0,67,73
IDN,202107,1,0,0,0,124,125
IDN,202108,2,0,0,0,146,148
IDN,202109,0,0,0,0,143,143
IDN,202110,3,1,3,0,124,131
IDN,202111,0,0,3,0,127,130
IDN,202112,0,0,2,0,111,113
IDN,202113,2,1,4,0,58,65
IDN,202114,2,0,14,0,106,122
IDN,202115,0,1,5,0,71,77
IDN,202116,4,0,8,0,99,111
IDN,202117,12,1,17,0,103,133
IDN,202118,4,8,12,0,158,182
IDN,202119,11,3,10,0,127,151
IDN,202120,3,1,18,0,228,250
IDN,202121,7,2,116,0,156,281
IDN,202122,9,2,194,0,149,354
IDN,202123,1,0,259,0,93,353
IDN,202124,1,0,400,0,89,490
IDN,202125,0,0,511,0,48,559
IDN,202126,8,0,456,0,46,510
IDN,202127,0,0,450,0,27,477
IDN,202128,0,0,396,0,17,413
IDN,202129,1,0,323,0,8,332
IDN,202130,0,0,410,0,5,415
IDN,202131,0,0,532,0,11,543
IDN,202132,0,0,260,0,1,261
IDN,202133,0,0,286,0,0,286
IDN,202134,0,0,287,0,1,288
IDN,202135,0,0,316,0,3,319
IDN,202136,0,0,226,0,2,228
IDN,202137,0,0,199,0,2,201
IDN,202138,0,0,155,0,1,156
IDN,202139,0,0,118,0,5,123
IDN,202140,0,0,128,0,1,129
IDN,202141,0,0,123,0,3,126
IDN,202142,0,0,74,0,0,74
IDN,202143,0,0,78,0,0,78
IDN,202144,0,0,46,0,0,46
IDN,202145,1,0,82,0,0,83
IDN,202146,0,0,73,0,0,73
IDN,202147,0,0,100,0,1,101
IDN,202148,0,0,99,2,2,103
IDN,202149,0,0,112,3,2,117
IDN,202150,0,0,193,18,0,211
IDN,202151,0,0,155,106,16,277
IDN,202152,0,0,180,390,2,572
IDN,202201,0,0,183,608,2,793
IDN,202202,0,0,28,369,0,397
IDN,202203,0,0,1,171,0,172
