Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
IND,202005,0,0,0,0,2,2
IND,202010,0,0,0,0,25,25
IND,202011,0,0,0,0,27,27
IND,202012,0,0,0,0,38,38
IND,202013,0,0,0,0,37,37
IND,202014,0,0,0,0,140,140
IND,202015,0,0,0,0,89,89
IND,202016,0,0,0,0,107,107
IND,202017,0,0,0,0,104,104
IND,202018,0,0,0,0,210,210
IND,202019,0,0,0,0,238,238
IND,202020,0,0,0,0,262,262
IND,202021,0,0,0,0,353,353
IND,202022,0,0,0,0,399,399
IND,202023,0,0,0,0,251,251
IND,202024,0,0,0,0,356,356
IND,202025,0,0,0,0,397,397
IND,202026,0,0,0,0,125,125
IND,202027,0,0,0,0,149,149
IND,202028,0,0,0,0,130,130
IND,202029,0,0,0,0,183,183
IND,202030,0,0,0,0,118,118
IND,202031,0,0,0,0,199,199
IND,202032,0,0,0,0,225,225
IND,202033,0,0,0,0,280,280
IND,202034,0,0,0,0,71,71
IND,202035,0,0,0,0,224,224
IND,202036,0,0,2,0,224,226
IND,202037,0,0,3,0,238,241
IND,202038,0,0,0,0,227,227
IND,202039,0,0,0,0,170,170
IND,202040,0,0,0,0,196,196
IND,202041,0,0,0,0,166,166
IND,202042,0,0,0,0,140,140
IND,202043,0,0,2,0,177,179
IND,202044,1,0,3,0,111,115
IND,202045,0,0,7,0,194,201
IND,202046,0,0,5,0,140,145
IND,202047,0,0,2,0,135,137
IND,202048,3,0,3,0,383,389
IND,202049,1,0,8,0,410,419
IND,202050,2,0,5,0,402,409
IND,202051,7,0,0,0,620,627
IND,202052,43,0,0,0,575,618
IND,202053,14,2,3,0,234,253
IND,202101,4,0,39,0,299,342
IND,202102,6,0,31,0,347,384
IND,202103,14,1,5,0,362,382
IND,202104,9,0,9,0,265,283
IND,202105,30,5,24,0,427,486
IND,202106,30,0,99,0,360,489
IND,202107,85,3,13,0,743,844
IND,202108,103,8,13,0,787,911
IND,202109,157,13,56,0,870,1096
IND,202110,496,19,66,0,901,1482
IND,202111,426,15,129,0,971,1541
IND,202112,410,33,238,0,980,1661
IND,202113,325,10,576,0,984,1895
IND,202114,191,10,1300,0,1186,2687
IND,202115,128,14,1679,0,833,2654
IND,202116,194,13,2104,0,683,2994
IND,202117,121,19,2427,0,806,3373
IND,202118,40,6,2341,0,533,2920
IND,202119,16,2,2181,0,396,2595
IND,202120,7,1,2194,0,499,2701
IND,202121,4,3,1564,0,327,1898
IND,202122,9,1,1784,0,287,2081
IND,202123,2,0,1425,0,163,1590
IND,202124,1,2,1439,0,174,1616
IND,202125,1,1,1343,0,184,1529
IND,202126,0,0,1329,0,183,1512
IND,202127,0,0,1297,0,174,1471
IND,202128,0,0,1138,0,120,1258
IND,202129,0,0,1345,0,94,1439
IND,202130,0,0,969,0,39,1008
IND,202131,1,0,1132,0,97,1230
IND,202132,1,0,1088,0,89,1178
IND,202133,0,0,1103,0,65,1168
IND,202134,0,0,1741,0,93,1834
IND,202135,0,0,1785,0,55,1840
IND,202136,1,0,1378,0,68,1447
IND,202137,0,0,1349,0,46,1395
IND,202138,0,0,1464,0,70,1534
IND,202139,0,0,1334,0,85,1419
IND,202140,2,0,1890,0,142,2034
IND,202141,0,0,1711,0,52,1763
IND,202142,0,0,1481,0,51,1532
IND,202143,0,0,1483,0,75,1558
IND,202144,0,0,1282,0,96,1378
IND,202145,0,0,1273,2,97,1372
IND,202146,0,0,1131,1,69,1201
IND,202147,2,0,1249,9,98,1358
IND,202148,0,0,1270,34,104,1408
IND,202149,0,0,1356,74,152,1582
IND,202150,0,0,1168,230,112,1510
IND,202151,0,0,1513,1339,220,3072
IND,202152,0,0,1480,4661,602,6743
IND,202201,0,0,316,3751,457,4524
IND,202202,0,0,83,2992,238,3313
IND,202203,0,0,19,2585,283,2887
IND,202204,0,0,14,2185,153,2352
IND,202205,0,0,20,5052,164,5236
IND,202206,0,0,2,3768,202,3972
IND,202207,0,0,0,1760,19,1779
IND,202208,0,0,0,954,16,970
IND,202209,0,0,0,132,6,138
