Country,Week,Gender,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
IND,202005,Female,0,0,0,0,0,1,1
IND,202005,Male,0,0,0,0,0,1,1
IND,202010,Female,0,0,0,0,0,12,12
IND,202010,Male,0,0,0,0,0,13,13
IND,202011,Female,0,0,0,0,0,14,14
IND,202011,Male,0,0,0,0,0,13,13
IND,202012,Female,0,0,0,0,0,13,13
IND,202012,Male,0,0,0,0,0,24,24
IND,202013,Female,0,0,0,0,0,15,15
IND,202013,Male,0,0,0,0,0,22,22
IND,202014,Female,0,0,0,0,0,27,27
IND,202014,Male,0,0,0,0,0,113,113
IND,202015,Female,0,0,0,0,0,31,31
IND,202015,Male,0,0,0,0,0,61,61
IND,202016,Female,0,0,0,0,0,45,45
IND,202016,Male,0,0,0,0,0,62,62
IND,202017,Female,0,0,0,0,0,54,54
IND,202017,Male,0,0,0,0,0,49,49
IND,202018,Female,0,0,0,0,0,95,95
IND,202018,Male,0,0,0,0,0,116,116
IND,202019,Female,0,0,0,0,0,80,80
IND,202019,Male,0,0,0,0,0,158,158
IND,202020,Female,0,0,0,0,0,92,92
IND,202020,Male,0,0,0,0,0,170,170
IND,202021,Female,0,0,0,0,0,97,97
IND,202021,Male,0,0,0,0,0,257,257
IND,202022,Female,0,0,0,0,0,123,123
IND,202022,Male,0,0,0,0,0,276,276
IND,202023,Female,0,0,0,0,0,77,77
IND,202023,Male,0,0,0,0,0,177,177
IND,202024,Female,0,0,0,0,0,98,98
IND,202024,Male,0,0,0,0,0,260,260
IND,202025,Female,0,0,0,0,0,131,131
IND,202025,Male,0,0,0,0,0,266,266
IND,202026,Female,0,0,0,0,0,42,42
IND,202026,Male,0,0,0,0,0,83,83
IND,202027,Female,0,0,0,0,0,66,66
IND,202027,Male,0,0,0,0,0,83,83
IND,202028,Female,0,0,0,0,0,33,33
IND,202028,Male,0,0,0,0,0,97,97
IND,202029,Female,0,0,0,0,0,58,58
IND,202029,Male,0,0,0,0,0,121,121
IND,202030,Female,0,0,0,0,0,45,45
IND,202030,Male,0,0,0,0,0,73,73
IND,202031,Female,0,0,0,0,0,82,82
IND,202031,Male,0,0,0,0,0,113,113
IND,202032,Female,0,0,0,0,0,85,85
IND,202032,Male,0,0,0,0,0,140,140
IND,202033,Female,0,0,0,0,0,106,106
IND,202033,Male,0,0,0,0,0,155,155
IND,202034,Female,0,0,0,0,0,33,33
IND,202034,Male,0,0,0,0,0,37,37
IND,202035,Female,0,0,0,0,0,52,52
IND,202035,Male,0,0,0,0,0,152,152
IND,202036,Female,0,0,2,0,0,79,81
IND,202036,Male,0,0,0,0,0,142,142
IND,202037,Female,0,0,2,0,0,85,87
IND,202037,Male,0,0,1,0,0,113,114
IND,202038,Female,0,0,0,0,0,56,56
IND,202038,Male,0,0,0,0,0,96,96
IND,202039,Female,0,0,0,0,0,52,52
IND,202039,Male,0,0,0,0,0,64,64
IND,202040,Female,0,0,0,0,0,65,65
IND,202040,Male,0,0,0,0,0,93,93
IND,202041,Female,0,0,0,0,0,43,43
IND,202041,Male,0,0,0,0,0,59,59
IND,202042,Female,0,0,0,0,0,32,32
IND,202042,Male,0,0,0,0,0,105,105
IND,202043,Female,0,0,0,0,0,45,45
IND,202043,Male,0,0,2,0,0,83,85
IND,202043,Others,0,0,0,0,0,1,1
IND,202044,Female,0,0,2,0,0,28,30
IND,202044,Male,1,0,1,0,0,51,53
IND,202045,Female,0,0,3,0,0,91,94
IND,202045,Male,0,0,4,0,0,101,105
IND,202046,Female,0,0,0,0,0,53,53
IND,202046,Male,0,0,5,0,0,86,91
IND,202047,Female,0,0,0,0,0,52,52
IND,202047,Male,0,0,2,0,0,80,82
IND,202048,Female,0,0,0,0,0,135,135
IND,202048,Male,3,0,3,0,0,247,253
IND,202049,Female,0,0,6,0,0,154,160
IND,202049,Male,1,0,1,0,0,255,257
IND,202050,Female,0,0,2,0,0,137,139
IND,202050,Male,2,0,3,0,0,264,269
IND,202051,Female,1,0,0,0,0,227,228
IND,202051,Male,6,0,0,0,0,393,399
IND,202052,Female,17,0,0,0,0,215,232
IND,202052,Male,26,0,0,0,0,367,393
IND,202053,Female,9,0,2,1,0,95,107
IND,202053,Male,5,2,1,0,0,139,147
IND,202101,Female,3,0,19,0,0,128,150
IND,202101,Male,1,0,20,0,0,172,193
IND,202102,Female,2,0,12,0,0,145,159
IND,202102,Male,4,0,17,0,0,204,225
IND,202103,Female,6,1,4,0,0,157,168
IND,202103,Male,8,0,1,0,0,205,214
IND,202104,Female,2,0,4,0,0,100,106
IND,202104,Male,7,0,7,0,0,163,177
IND,202105,Female,11,2,10,0,0,143,166
IND,202105,Male,20,3,15,0,0,275,313
IND,202106,Female,13,0,33,0,0,118,164
IND,202106,Male,17,0,66,0,0,241,324
IND,202107,Female,30,0,3,0,0,273,306
IND,202107,Male,55,3,10,0,0,463,531
IND,202108,Female,34,3,6,0,0,287,330
IND,202108,Male,69,5,8,0,0,492,574
IND,202109,Female,58,0,24,0,0,323,405
IND,202109,Male,99,13,33,0,0,545,690
IND,202110,Female,203,3,27,0,0,320,553
IND,202110,Male,293,16,39,0,0,578,926
IND,202111,Female,186,1,54,0,0,373,614
IND,202111,Male,241,14,77,0,0,598,930
IND,202112,Female,157,4,94,0,0,373,628
IND,202112,Male,252,29,144,0,0,609,1034
IND,202112,Others,0,0,1,0,0,0,1
IND,202113,Female,131,2,247,0,0,398,778
IND,202113,Male,194,8,330,0,0,586,1118
IND,202114,Female,86,3,519,0,0,440,1048
IND,202114,Male,105,7,783,0,0,746,1641
IND,202115,Female,52,2,698,0,0,321,1073
IND,202115,Male,76,12,986,0,0,512,1586
IND,202116,Female,80,2,848,0,0,278,1208
IND,202116,Male,114,11,1274,0,0,436,1835
IND,202117,Female,44,4,935,0,0,279,1262
IND,202117,Male,77,15,1498,0,0,525,2115
IND,202118,Female,13,1,993,0,0,182,1189
IND,202118,Male,29,5,1363,0,0,305,1702
IND,202119,Female,10,0,862,0,0,139,1011
IND,202119,Male,6,2,1329,0,0,227,1564
IND,202120,Female,3,0,879,0,0,168,1050
IND,202120,Male,4,1,1297,0,0,321,1623
IND,202120,Others,0,0,1,0,0,0,1
IND,202121,Female,0,1,642,0,0,106,749
IND,202121,Male,4,2,924,0,0,212,1142
IND,202122,Female,7,0,745,0,0,93,845
IND,202122,Male,2,1,1060,0,0,193,1256
IND,202123,Female,0,0,598,0,0,62,660
IND,202123,Male,2,0,832,0,0,103,937
IND,202124,Female,0,0,597,0,0,65,662
IND,202124,Male,1,2,838,0,0,110,951
IND,202125,Female,0,0,554,0,0,62,616
IND,202125,Male,1,1,787,0,0,121,910
IND,202126,Female,0,0,527,0,0,67,594
IND,202126,Male,0,0,774,0,0,123,897
IND,202127,Female,0,0,552,0,0,78,630
IND,202127,Male,0,0,731,0,0,92,823
IND,202128,Female,0,0,460,0,0,49,509
IND,202128,Male,0,0,649,0,0,66,715
IND,202129,Female,0,0,581,0,0,32,613
IND,202129,Male,0,0,746,0,0,59,805
IND,202130,Female,0,0,433,0,0,13,446
IND,202130,Male,0,0,530,0,0,23,553
IND,202131,Female,0,0,472,0,0,33,505
IND,202131,Male,1,0,640,0,0,62,703
IND,202132,Female,1,0,466,0,0,33,500
IND,202132,Male,0,0,598,0,0,54,652
IND,202133,Female,0,0,488,0,0,26,514
IND,202133,Male,0,0,614,0,0,39,653
IND,202134,Female,0,0,792,0,0,49,841
IND,202134,Male,0,0,946,0,0,45,991
