Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
IND,202005,0,0,0,0,0,2,2
IND,202010,0,0,0,0,0,25,25
IND,202011,0,0,0,0,0,27,27
IND,202012,0,0,0,0,0,37,37
IND,202013,0,0,0,0,0,37,37
IND,202014,0,0,0,0,0,140,140
IND,202015,0,0,0,0,0,92,92
IND,202016,0,0,0,0,0,107,107
IND,202017,0,0,0,0,0,103,103
IND,202018,0,0,0,0,0,211,211
IND,202019,0,0,0,0,0,238,238
IND,202020,0,0,0,0,0,262,262
IND,202021,0,0,0,0,0,354,354
IND,202022,0,0,0,0,0,399,399
IND,202023,0,0,0,0,0,254,254
IND,202024,0,0,0,0,0,358,358
IND,202025,0,0,0,0,0,397,397
IND,202026,0,0,0,0,0,125,125
IND,202027,0,0,0,0,0,149,149
IND,202028,0,0,0,0,0,130,130
IND,202029,0,0,0,0,0,179,179
IND,202030,0,0,0,0,0,118,118
IND,202031,0,0,0,0,0,195,195
IND,202032,0,0,0,0,0,225,225
IND,202033,0,0,0,0,0,261,261
IND,202034,0,0,0,0,0,70,70
IND,202035,0,0,0,0,0,204,204
IND,202036,0,0,2,0,0,221,223
IND,202037,0,0,3,0,0,198,201
IND,202038,0,0,0,0,0,152,152
IND,202039,0,0,0,0,0,116,116
IND,202040,0,0,0,0,0,158,158
IND,202041,0,0,0,0,0,102,102
IND,202042,0,0,0,0,0,137,137
IND,202043,0,0,2,0,0,129,131
IND,202044,1,0,3,0,0,79,83
IND,202045,0,0,7,0,0,192,199
IND,202046,0,0,5,0,0,139,144
IND,202047,0,0,2,0,0,132,134
IND,202048,3,0,3,0,0,382,388
IND,202049,1,0,7,0,0,409,417
IND,202050,2,0,5,0,0,401,408
IND,202051,7,0,0,0,0,620,627
IND,202052,43,0,0,0,0,582,625
IND,202053,14,2,3,1,0,234,254
IND,202101,4,0,39,0,0,300,343
IND,202102,6,0,29,0,0,349,384
IND,202103,14,1,5,0,0,362,382
IND,202104,9,0,11,0,0,263,283
IND,202105,31,5,25,0,0,418,479
IND,202106,30,0,99,0,0,359,488
IND,202107,85,3,13,0,0,736,837
IND,202108,103,8,14,0,0,779,904
IND,202109,157,13,57,0,0,868,1095
IND,202110,496,19,66,0,0,898,1479
IND,202111,427,15,131,0,0,971,1544
IND,202112,409,33,239,0,0,982,1663
IND,202113,325,10,577,0,0,984,1896
IND,202114,191,10,1302,0,0,1186,2689
IND,202115,128,14,1684,0,0,833,2659
IND,202116,194,13,2122,0,0,714,3043
IND,202117,121,19,2433,0,0,804,3377
IND,202118,42,6,2356,0,0,487,2891
IND,202119,16,2,2191,0,0,366,2575
IND,202120,7,1,2177,0,0,489,2674
IND,202121,4,3,1566,0,0,318,1891
IND,202122,9,1,1805,0,0,286,2101
IND,202123,2,0,1430,0,0,165,1597
IND,202124,1,2,1435,0,0,175,1613
IND,202125,1,1,1341,0,0,183,1526
IND,202126,0,0,1301,0,0,190,1491
IND,202127,0,0,1283,0,0,170,1453
IND,202128,0,0,1109,0,0,115,1224
IND,202129,0,0,1327,0,0,91,1418
IND,202130,0,0,963,0,0,36,999
IND,202131,1,0,1112,0,0,95,1208
IND,202132,1,0,1064,0,0,87,1152
IND,202133,0,0,1102,0,0,65,1167
IND,202134,0,0,1738,0,0,94,1832
IND,202135,0,0,1760,0,0,55,1815
IND,202136,1,0,1355,0,0,68,1424
IND,202137,0,0,1332,0,0,46,1378
IND,202138,0,0,1447,0,0,69,1516
IND,202139,0,0,1334,0,0,85,1419
IND,202140,2,0,1830,0,0,138,1970
IND,202141,0,0,1617,0,0,51,1668
IND,202142,0,0,1461,0,0,50,1511
IND,202143,0,0,1466,0,0,71,1537
IND,202144,0,0,1263,0,0,95,1358
IND,202145,0,0,1235,2,0,95,1332
IND,202146,0,0,1094,1,0,68,1163
IND,202147,2,0,1184,6,0,93,1285
IND,202148,0,0,1119,18,8,107,1252
IND,202149,0,0,1165,25,16,169,1375
IND,202150,0,0,1050,111,7,190,1358
IND,202151,0,0,1416,712,214,578,2920
IND,202152,0,0,1154,1082,1791,1609,5636
IND,202201,0,0,192,504,1432,1185,3313
IND,202202,0,0,57,160,1186,463,1866
IND,202203,0,0,4,157,1092,412,1665
IND,202204,0,0,6,35,714,147,902
IND,202205,0,0,2,25,858,160,1045
IND,202206,0,0,0,6,228,87,321
