Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
IND,202005,0,0,0,0,0,2,2
IND,202007,0,0,0,0,0,1,1
IND,202009,0,0,0,0,0,2,2
IND,202010,0,0,0,0,0,29,29
IND,202011,0,0,0,0,0,27,27
IND,202012,0,0,0,0,0,37,37
IND,202013,0,0,0,0,0,37,37
IND,202014,0,0,0,0,0,143,143
IND,202015,0,0,0,0,0,94,94
IND,202016,0,0,0,0,0,126,126
IND,202017,0,0,0,0,0,108,108
IND,202018,0,0,0,0,0,222,222
IND,202019,0,0,0,0,0,247,247
IND,202020,0,0,0,0,0,272,272
IND,202021,0,0,0,0,0,359,359
IND,202022,0,0,0,0,0,408,408
IND,202023,0,0,0,0,0,260,260
IND,202024,0,0,0,0,0,371,371
IND,202025,0,0,0,0,0,430,430
IND,202026,0,0,0,0,0,125,125
IND,202027,0,0,0,0,0,161,161
IND,202028,0,0,0,0,0,130,130
IND,202029,0,0,0,0,0,180,180
IND,202030,0,0,0,0,0,118,118
IND,202031,0,0,0,0,0,195,195
IND,202032,0,0,0,0,0,229,229
IND,202033,0,0,0,0,0,286,286
IND,202034,0,0,0,0,0,71,71
IND,202035,0,0,0,0,0,206,206
IND,202036,0,0,2,0,0,225,227
IND,202037,0,0,3,0,0,258,261
IND,202038,0,0,0,0,0,254,254
IND,202039,0,0,0,0,0,179,179
IND,202040,0,0,0,0,0,214,214
IND,202041,0,0,0,0,0,188,188
IND,202042,0,0,0,0,0,151,151
IND,202043,0,0,2,0,0,185,187
IND,202044,1,0,3,0,0,139,143
IND,202045,0,0,7,0,0,199,206
IND,202046,0,0,5,0,0,151,156
IND,202047,0,0,2,0,0,136,138
IND,202048,3,0,3,0,0,446,452
IND,202049,1,0,7,0,0,599,607
IND,202050,2,0,6,0,0,659,667
IND,202051,7,0,0,0,0,884,891
IND,202052,54,0,0,0,0,786,840
IND,202053,20,2,3,1,0,482,508
IND,202101,7,0,40,0,0,520,567
IND,202102,14,0,29,0,0,508,551
IND,202103,30,1,5,0,0,621,657
IND,202104,12,0,11,0,0,402,425
IND,202105,44,6,38,0,0,827,915
IND,202106,70,0,102,0,0,491,663
IND,202107,87,4,13,0,0,896,1000
IND,202108,134,9,15,0,0,933,1091
IND,202109,193,16,74,0,0,1074,1357
IND,202110,528,26,99,0,0,1149,1802
IND,202111,484,26,155,0,0,1285,1950
IND,202112,532,44,291,0,0,1407,2274
IND,202113,483,18,700,0,0,1239,2440
IND,202114,440,28,1663,0,0,1587,3718
IND,202115,380,31,2189,0,0,1104,3704
IND,202116,253,15,2407,0,0,830,3505
IND,202117,226,21,3165,0,0,941,4353
IND,202118,55,6,2953,0,0,547,3561
IND,202119,27,2,2767,0,0,396,3192
IND,202120,18,2,2849,0,0,526,3395
IND,202121,5,3,1939,0,0,363,2310
IND,202122,9,1,2063,0,0,307,2380
IND,202123,4,0,1749,0,0,179,1932
IND,202124,1,4,1765,0,0,195,1965
IND,202125,4,1,1668,0,0,210,1883
IND,202126,3,1,1679,0,0,222,1905
IND,202127,1,0,1583,0,0,191,1775
IND,202128,0,0,1429,0,0,127,1556
IND,202129,0,0,1677,0,0,100,1777
IND,202130,0,0,1174,0,0,39,1213
IND,202131,1,0,1666,0,0,98,1765
IND,202132,1,0,1253,0,0,90,1344
IND,202133,0,0,1346,0,0,71,1417
IND,202134,0,0,1999,0,0,97,2096
IND,202135,0,0,1944,0,0,59,2003
IND,202136,1,0,1690,0,0,79,1770
IND,202137,0,0,1491,0,0,47,1538
IND,202138,0,0,1496,0,0,69,1565
IND,202139,0,0,1408,0,0,85,1493
IND,202140,2,0,1925,0,0,141,2068
IND,202141,0,0,1723,0,0,51,1774
IND,202142,0,0,1511,0,0,50,1561
IND,202143,0,0,1514,0,0,76,1590
IND,202144,0,0,1295,0,0,95,1390
IND,202145,0,0,1321,2,0,101,1424
IND,202146,0,0,1244,1,0,69,1314
IND,202147,2,0,1419,6,0,102,1529
IND,202148,0,0,1443,18,8,133,1602
IND,202149,0,0,1180,26,16,174,1396
IND,202150,0,0,1059,112,7,193,1371
IND,202151,0,0,1444,730,222,585,2981
IND,202152,0,0,1228,1114,1810,1651,5803
IND,202201,0,0,195,512,1441,1220,3368
IND,202202,0,0,57,172,1202,515,1946
IND,202203,0,0,4,159,1095,412,1670
IND,202204,0,0,6,35,714,147,902
IND,202205,0,0,4,29,926,163,1122
IND,202206,0,0,0,6,229,87,322
