Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
IRL,202008,,0,0,0,0,1,1
IRL,202010,,0,0,0,0,1,1
IRL,202010,10 – 20,0,0,0,0,2,2
IRL,202010,40 – 50,0,0,0,0,3,3
IRL,202010,60 – 70,0,0,0,0,2,2
IRL,202011,,0,0,0,0,50,50
IRL,202011,20 – 30,0,0,0,0,2,2
IRL,202011,30 – 40,0,0,0,0,1,1
IRL,202011,40 – 50,0,0,0,0,2,2
IRL,202011,60 – 70,0,0,0,0,1,1
IRL,202011,>= 80,0,0,0,0,1,1
IRL,202012,,0,0,0,0,189,189
IRL,202012,>= 80,0,0,0,0,5,5
IRL,202013,,0,0,0,0,87,87
IRL,202013,50 – 60,0,0,0,0,1,1
IRL,202013,70 – 80,0,0,0,0,3,3
IRL,202013,>= 80,0,0,0,0,44,44
IRL,202014,,0,0,0,0,135,135
IRL,202014,20 – 30,0,0,0,0,1,1
IRL,202014,30 – 40,0,0,0,0,1,1
IRL,202014,40 – 50,0,0,0,0,2,2
IRL,202014,50 – 60,0,0,0,0,2,2
IRL,202014,60 – 70,0,0,0,0,2,2
IRL,202014,70 – 80,0,0,0,0,4,4
IRL,202014,>= 80,0,0,0,0,72,72
IRL,202015,,0,0,0,0,116,116
IRL,202015,20 – 30,0,0,0,0,1,1
IRL,202015,40 – 50,0,0,0,0,3,3
IRL,202015,50 – 60,0,0,0,0,1,1
IRL,202015,60 – 70,0,0,0,0,4,4
IRL,202015,70 – 80,0,0,0,0,4,4
IRL,202015,>= 80,0,0,0,0,22,22
IRL,202016,,0,0,0,0,120,120
IRL,202016,50 – 60,0,0,0,0,1,1
IRL,202016,70 – 80,0,0,0,0,2,2
IRL,202016,>= 80,0,0,0,0,48,48
IRL,202017,,0,0,0,0,34,34
IRL,202017,>= 80,0,0,0,0,10,10
IRL,202018,,0,0,0,0,43,43
IRL,202018,30 – 40,0,0,0,0,1,1
IRL,202018,40 – 50,0,0,0,0,2,2
IRL,202018,50 – 60,0,0,0,0,3,3
IRL,202018,70 – 80,0,0,0,0,1,1
IRL,202018,>= 80,0,0,0,0,17,17
IRL,202019,,0,0,0,0,29,29
IRL,202019,50 – 60,0,0,0,0,1,1
IRL,202019,>= 80,0,0,0,0,6,6
IRL,202020,,0,0,0,0,16,16
IRL,202020,70 – 80,0,0,0,0,1,1
IRL,202020,>= 80,0,0,0,0,3,3
IRL,202021,,0,0,0,0,12,12
IRL,202021,50 – 60,0,0,0,0,1,1
IRL,202021,70 – 80,0,0,0,0,1,1
IRL,202021,>= 80,0,0,0,0,1,1
IRL,202022,,0,0,0,0,1,1
IRL,202022,30 – 40,0,0,0,0,1,1
IRL,202022,40 – 50,0,0,0,0,1,1
IRL,202022,>= 80,0,0,0,0,1,1
IRL,202023,50 – 60,0,0,0,0,1,1
IRL,202024,,0,0,0,0,2,2
IRL,202027,,0,0,0,0,1,1
IRL,202027,20 – 30,0,0,0,0,2,2
IRL,202027,30 – 40,0,0,0,0,2,2
IRL,202027,40 – 50,0,0,0,0,2,2
IRL,202027,60 – 70,0,0,0,0,1,1
IRL,202028,,0,0,0,0,1,1
IRL,202028,20 – 30,0,0,0,0,12,12
IRL,202028,30 – 40,0,0,0,0,7,7
IRL,202028,40 – 50,0,0,0,0,1,1
IRL,202028,5 – 10,0,0,0,0,1,1
IRL,202028,50 – 60,0,0,0,0,1,1
IRL,202028,60 – 70,0,0,0,0,1,1
IRL,202029,40 – 50,0,0,0,0,1,1
IRL,202030,20 – 30,0,0,0,0,6,6
IRL,202030,30 – 40,0,0,0,0,5,5
IRL,202030,40 – 50,0,0,0,0,4,4
IRL,202030,50 – 60,0,0,0,0,2,2
IRL,202030,60 – 70,0,0,0,0,1,1
IRL,202030,70 – 80,0,0,0,0,1,1
IRL,202031,20 – 30,0,0,0,0,11,11
IRL,202031,30 – 40,0,0,0,0,13,13
IRL,202031,40 – 50,0,0,0,0,3,3
IRL,202031,50 – 60,0,0,0,0,2,2
IRL,202031,60 – 70,0,0,0,0,3,3
IRL,202031,70 – 80,0,0,0,0,1,1
IRL,202032,20 – 30,0,0,0,0,5,5
IRL,202032,30 – 40,0,0,0,0,9,9
IRL,202032,40 – 50,0,0,0,0,11,11
IRL,202032,50 – 60,0,0,0,0,3,3
IRL,202033,10 – 20,0,0,0,0,2,2
IRL,202033,20 – 30,0,0,0,0,23,23
IRL,202033,30 – 40,0,0,0,0,11,11
IRL,202033,40 – 50,0,0,0,0,5,5
IRL,202033,50 – 60,0,0,0,0,6,6
IRL,202033,60 – 70,0,0,0,0,5,5
IRL,202033,70 – 80,0,0,0,0,2,2
IRL,202034,20 – 30,0,0,0,0,2,2
IRL,202034,30 – 40,0,0,0,0,7,7
IRL,202034,40 – 50,0,0,0,0,2,2
IRL,202034,50 – 60,0,0,0,0,3,3
IRL,202034,60 – 70,0,0,0,0,3,3
IRL,202034,70 – 80,0,0,0,0,1,1
IRL,202036,,0,0,0,0,7,7
IRL,202036,20 – 30,0,0,0,0,5,5
IRL,202036,30 – 40,0,0,0,0,4,4
IRL,202036,40 – 50,0,0,0,0,4,4
IRL,202036,50 – 60,0,0,0,0,2,2
IRL,202036,60 – 70,0,0,0,0,4,4
IRL,202037,,0,0,0,0,8,8
IRL,202037,10 – 20,0,0,0,0,3,3
IRL,202037,20 – 30,0,0,0,0,8,8
IRL,202037,30 – 40,0,0,0,0,6,6
IRL,202037,40 – 50,0,0,0,0,6,6
IRL,202037,50 – 60,0,0,0,0,4,4
IRL,202037,60 – 70,0,0,0,0,4,4
IRL,202038,,0,0,0,0,14,14
IRL,202038,20 – 30,0,0,0,0,6,6
IRL,202038,30 – 40,0,0,0,0,6,6
IRL,202038,40 – 50,0,0,0,0,11,11
