Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
IRL,202008,0,0,0,0,1,1
IRL,202010,0,0,0,0,8,8
IRL,202011,0,0,0,0,57,57
IRL,202012,0,0,0,0,194,194
IRL,202013,0,0,0,0,135,135
IRL,202014,0,0,0,0,219,219
IRL,202015,0,0,0,0,151,151
IRL,202016,0,0,0,0,171,171
IRL,202017,0,0,0,0,44,44
IRL,202018,0,0,0,0,67,67
IRL,202019,0,0,0,0,36,36
IRL,202020,0,0,0,0,20,20
IRL,202021,0,0,0,0,15,15
IRL,202022,0,0,0,0,4,4
IRL,202023,0,0,0,0,1,1
IRL,202024,0,0,0,0,2,2
IRL,202027,0,0,0,0,8,8
IRL,202028,0,0,0,0,24,24
IRL,202029,0,0,0,0,1,1
IRL,202030,0,0,0,0,19,19
IRL,202031,0,0,0,0,33,33
IRL,202032,0,0,0,0,28,28
IRL,202033,0,0,0,0,54,54
IRL,202034,0,0,0,0,18,18
IRL,202036,0,0,0,0,26,26
IRL,202037,0,0,0,0,39,39
IRL,202038,0,0,0,0,64,64
IRL,202039,0,0,0,0,5,5
IRL,202040,0,0,0,0,15,15
IRL,202041,0,0,0,0,59,59
IRL,202042,0,0,0,0,30,30
IRL,202043,0,0,0,0,46,46
IRL,202044,0,0,0,0,12,12
IRL,202045,0,0,0,0,40,40
IRL,202046,0,0,0,0,33,33
IRL,202047,0,0,0,0,7,7
IRL,202048,0,0,0,0,59,59
IRL,202049,0,0,0,0,18,18
IRL,202050,0,0,0,0,15,15
IRL,202051,6,0,0,0,56,62
IRL,202052,21,3,0,0,15,39
IRL,202053,64,3,0,0,80,147
IRL,202101,42,2,0,0,39,83
IRL,202102,121,2,0,0,122,245
IRL,202103,118,2,0,0,54,174
IRL,202104,224,0,0,0,81,305
IRL,202105,484,1,0,0,98,583
IRL,202106,661,2,0,0,112,775
IRL,202107,391,5,0,0,52,448
IRL,202108,625,11,1,0,52,689
IRL,202109,536,0,0,0,32,568
IRL,202110,557,5,0,0,20,582
IRL,202111,629,11,0,0,24,664
IRL,202112,571,4,0,0,34,609
IRL,202113,435,3,4,0,11,453
IRL,202114,476,7,6,0,39,528
IRL,202115,490,0,6,0,28,524
IRL,202116,596,1,19,0,29,645
IRL,202117,642,0,32,0,77,751
IRL,202118,613,0,29,0,49,691
IRL,202119,390,0,17,0,217,624
IRL,202120,893,0,26,0,68,987
IRL,202121,695,0,26,0,49,770
IRL,202122,403,0,46,0,26,475
IRL,202123,556,0,80,0,15,651
IRL,202124,446,0,228,0,14,688
IRL,202125,235,1,275,0,13,524
IRL,202126,69,1,292,0,6,368
IRL,202127,81,0,840,0,6,927
IRL,202128,60,2,1105,0,2,1169
IRL,202129,31,0,1159,0,3,1193
IRL,202130,20,0,1236,0,3,1259
IRL,202131,4,0,1046,0,0,1050
IRL,202132,1,0,879,0,2,882
IRL,202133,0,0,653,0,0,653
IRL,202134,0,0,584,0,0,584
IRL,202135,0,0,786,0,1,787
IRL,202136,0,0,896,0,0,896
IRL,202137,0,0,616,0,0,616
IRL,202138,0,0,482,0,0,482
IRL,202139,0,0,853,0,0,853
IRL,202140,0,0,1054,0,1,1055
IRL,202141,0,0,1356,0,0,1356
IRL,202142,0,0,1049,0,0,1049
IRL,202143,0,0,1797,0,0,1797
IRL,202144,0,0,627,0,0,627
IRL,202145,0,0,191,0,0,191
IRL,202146,0,0,174,0,0,174
IRL,202147,0,0,275,4,0,279
IRL,202148,0,0,1007,32,1,1040
IRL,202149,1,0,591,151,4,747
IRL,202150,0,0,757,1143,4,1904
IRL,202151,0,0,79,494,3,576
IRL,202152,0,0,47,747,2,796
IRL,202201,0,0,49,1537,0,1586
IRL,202202,0,0,15,812,4,831
IRL,202203,0,0,13,1128,0,1141
IRL,202204,0,0,3,620,0,623
IRL,202205,0,0,1,446,0,447
IRL,202206,0,0,0,201,0,201
IRL,202207,0,0,1,255,0,256
IRL,202208,0,0,0,17,0,17
IRL,202209,0,0,0,4,0,4
